# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.753196e-05	3.803203e-07	3.803203e-07
1.000000e+01	2.000000e+01	1.741020e-04	7.072577e-07	7.072577e-07
2.000000e+01	3.000000e+01	2.831274e-04	7.819434e-07	7.819434e-07
3.000000e+01	4.000000e+01	3.837190e-04	9.241562e-07	9.241562e-07
4.000000e+01	5.000000e+01	4.767205e-04	1.104172e-06	1.104172e-06
5.000000e+01	6.000000e+01	5.546332e-04	1.230822e-06	1.230822e-06
6.000000e+01	7.000000e+01	6.233566e-04	1.297923e-06	1.297923e-06
7.000000e+01	8.000000e+01	6.787654e-04	1.384279e-06	1.384279e-06
8.000000e+01	9.000000e+01	7.254154e-04	1.364015e-06	1.364015e-06
9.000000e+01	1.000000e+02	7.618084e-04	1.445969e-06	1.445969e-06
1.000000e+02	1.100000e+02	7.895436e-04	1.443511e-06	1.443511e-06
1.100000e+02	1.200000e+02	8.074866e-04	1.457834e-06	1.457834e-06
1.200000e+02	1.300000e+02	8.204203e-04	1.583967e-06	1.583967e-06
1.300000e+02	1.400000e+02	8.237353e-04	1.563633e-06	1.563633e-06
1.400000e+02	1.500000e+02	8.207283e-04	1.553339e-06	1.553339e-06
1.500000e+02	1.600000e+02	8.147617e-04	1.563730e-06	1.563730e-06
1.600000e+02	1.700000e+02	8.002047e-04	1.442526e-06	1.442526e-06
1.700000e+02	1.800000e+02	7.875307e-04	1.481088e-06	1.481088e-06
1.800000e+02	1.900000e+02	7.661103e-04	1.476766e-06	1.476766e-06
1.900000e+02	2.000000e+02	7.434663e-04	1.655730e-06	1.655730e-06
2.000000e+02	2.100000e+02	7.206192e-04	1.410531e-06	1.410531e-06
2.100000e+02	2.200000e+02	6.923850e-04	1.358219e-06	1.358219e-06
2.200000e+02	2.300000e+02	6.638647e-04	1.273386e-06	1.273386e-06
2.300000e+02	2.400000e+02	6.405628e-04	1.312064e-06	1.312064e-06
2.400000e+02	2.500000e+02	6.108696e-04	1.429133e-06	1.429133e-06
2.500000e+02	2.600000e+02	5.800720e-04	1.201818e-06	1.201818e-06
2.600000e+02	2.700000e+02	5.553846e-04	1.247166e-06	1.247166e-06
2.700000e+02	2.800000e+02	5.292839e-04	1.100455e-06	1.100455e-06
2.800000e+02	2.900000e+02	5.026025e-04	1.158060e-06	1.158060e-06
2.900000e+02	3.000000e+02	4.798483e-04	1.244201e-06	1.244201e-06
3.000000e+02	3.100000e+02	4.523374e-04	1.108411e-06	1.108411e-06
3.100000e+02	3.200000e+02	4.277919e-04	9.769604e-07	9.769604e-07
3.200000e+02	3.300000e+02	4.042224e-04	1.088232e-06	1.088232e-06
3.300000e+02	3.400000e+02	3.849243e-04	9.725421e-07	9.725421e-07
3.400000e+02	3.500000e+02	3.636362e-04	9.942367e-07	9.942367e-07
3.500000e+02	3.600000e+02	3.453777e-04	9.936982e-07	9.936982e-07
3.600000e+02	3.700000e+02	3.267356e-04	9.473885e-07	9.473885e-07
3.700000e+02	3.800000e+02	3.079069e-04	9.395938e-07	9.395938e-07
3.800000e+02	3.900000e+02	2.934352e-04	9.669374e-07	9.669374e-07
3.900000e+02	4.000000e+02	2.768817e-04	9.251698e-07	9.251698e-07
4.000000e+02	4.100000e+02	2.615395e-04	8.053879e-07	8.053879e-07
4.100000e+02	4.200000e+02	2.481298e-04	7.780134e-07	7.780134e-07
4.200000e+02	4.300000e+02	2.348901e-04	8.623448e-07	8.623448e-07
4.300000e+02	4.400000e+02	2.215919e-04	7.379560e-07	7.379560e-07
