# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,h}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,h}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.220411e-04	6.553656e-07	6.553656e-07
1.000000e+01	2.000000e+01	6.555416e-04	1.136545e-06	1.136545e-06
2.000000e+01	3.000000e+01	1.065372e-03	1.469895e-06	1.469895e-06
3.000000e+01	4.000000e+01	1.444117e-03	1.786926e-06	1.786926e-06
4.000000e+01	5.000000e+01	1.782953e-03	2.044927e-06	2.044927e-06
5.000000e+01	6.000000e+01	2.076443e-03	2.246285e-06	2.246285e-06
6.000000e+01	7.000000e+01	2.325950e-03	2.344187e-06	2.344187e-06
7.000000e+01	8.000000e+01	2.539124e-03	2.562891e-06	2.562891e-06
8.000000e+01	9.000000e+01	2.725315e-03	3.042232e-06	3.042232e-06
9.000000e+01	1.000000e+02	2.868823e-03	2.682684e-06	2.682684e-06
1.000000e+02	1.100000e+02	2.974155e-03	2.824560e-06	2.824560e-06
1.100000e+02	1.200000e+02	3.057343e-03	2.784441e-06	2.784441e-06
1.200000e+02	1.300000e+02	3.087963e-03	3.285074e-06	3.285074e-06
1.300000e+02	1.400000e+02	3.107970e-03	2.852905e-06	2.852905e-06
1.400000e+02	1.500000e+02	3.093975e-03	2.722766e-06	2.722766e-06
1.500000e+02	1.600000e+02	3.055502e-03	2.767100e-06	2.767100e-06
1.600000e+02	1.700000e+02	2.997606e-03	2.639619e-06	2.639619e-06
1.700000e+02	1.800000e+02	2.929325e-03	2.634985e-06	2.634985e-06
1.800000e+02	1.900000e+02	2.841630e-03	2.948100e-06	2.948100e-06
1.900000e+02	2.000000e+02	2.741891e-03	2.651348e-06	2.651348e-06
2.000000e+02	2.100000e+02	2.646810e-03	2.510589e-06	2.510589e-06
2.100000e+02	2.200000e+02	2.535277e-03	2.456617e-06	2.456617e-06
2.200000e+02	2.300000e+02	2.424265e-03	2.849648e-06	2.849648e-06
2.300000e+02	2.400000e+02	2.312697e-03	2.374786e-06	2.374786e-06
2.400000e+02	2.500000e+02	2.200520e-03	2.392053e-06	2.392053e-06
2.500000e+02	2.600000e+02	2.097482e-03	2.274610e-06	2.274610e-06
2.600000e+02	2.700000e+02	1.988391e-03	2.590864e-06	2.590864e-06
2.700000e+02	2.800000e+02	1.881898e-03	2.120042e-06	2.120042e-06
2.800000e+02	2.900000e+02	1.783728e-03	2.043738e-06	2.043738e-06
2.900000e+02	3.000000e+02	1.686827e-03	1.967634e-06	1.967634e-06
3.000000e+02	3.100000e+02	1.596656e-03	1.913166e-06	1.913166e-06
3.100000e+02	3.200000e+02	1.512924e-03	1.881403e-06	1.881403e-06
3.200000e+02	3.300000e+02	1.420558e-03	1.775084e-06	1.775084e-06
3.300000e+02	3.400000e+02	1.345477e-03	1.894397e-06	1.894397e-06
3.400000e+02	3.500000e+02	1.270470e-03	1.709434e-06	1.709434e-06
3.500000e+02	3.600000e+02	1.196940e-03	2.250561e-06	2.250561e-06
3.600000e+02	3.700000e+02	1.132822e-03	1.854360e-06	1.854360e-06
3.700000e+02	3.800000e+02	1.068624e-03	1.564296e-06	1.564296e-06
3.800000e+02	3.900000e+02	1.007954e-03	1.804877e-06	1.804877e-06
3.900000e+02	4.000000e+02	9.523937e-04	1.587591e-06	1.587591e-06
4.000000e+02	4.100000e+02	9.025495e-04	1.529230e-06	1.529230e-06
4.100000e+02	4.200000e+02	8.495725e-04	1.526277e-06	1.526277e-06
4.200000e+02	4.300000e+02	8.049380e-04	1.547685e-06	1.547685e-06
4.300000e+02	4.400000e+02	7.598992e-04	1.654380e-06	1.654380e-06
4.400000e+02	4.500000e+02	7.153645e-04	1.360359e-06	1.360359e-06
4.500000e+02	4.600000e+02	6.776808e-04	1.283543e-06	1.283543e-06
4.600000e+02	4.700000e+02	6.415419e-04	1.309144e-06	1.309144e-06
4.700000e+02	4.800000e+02	6.074832e-04	1.343420e-06	1.343420e-06
4.800000e+02	4.900000e+02	5.745577e-04	1.617808e-06	1.617808e-06
4.900000e+02	5.000000e+02	5.436675e-04	1.265746e-06	1.265746e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
