# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_y_abs //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_y_abs
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_y_abs //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_y_abs
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_y_abs
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
XLabel=$|y_{h}|$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  |y_{h}|$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_y_abs
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_y_abs
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/H_y_abs
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	5.874561e-01	3.237220e-04	3.237220e-04
1.600000e-01	3.200000e-01	5.804171e-01	4.361059e-04	4.361059e-04
3.200000e-01	4.800000e-01	5.670493e-01	4.314409e-04	4.314409e-04
4.800000e-01	6.400000e-01	5.450031e-01	2.936878e-04	2.936878e-04
6.400000e-01	8.000000e-01	5.185915e-01	2.944281e-04	2.944281e-04
8.000000e-01	9.600000e-01	4.877658e-01	3.006615e-04	3.006615e-04
9.600000e-01	1.120000e+00	4.515326e-01	3.053765e-04	3.053765e-04
1.120000e+00	1.280000e+00	4.126759e-01	2.626228e-04	2.626228e-04
1.280000e+00	1.440000e+00	3.706696e-01	2.379346e-04	2.379346e-04
1.440000e+00	1.600000e+00	3.290097e-01	2.496532e-04	2.496532e-04
1.600000e+00	1.760000e+00	2.861533e-01	2.315671e-04	2.315671e-04
1.760000e+00	1.920000e+00	2.442158e-01	2.031551e-04	2.031551e-04
1.920000e+00	2.080000e+00	2.045061e-01	1.657456e-04	1.657456e-04
2.080000e+00	2.240000e+00	1.670504e-01	1.503889e-04	1.503889e-04
2.240000e+00	2.400000e+00	1.336992e-01	1.587837e-04	1.587837e-04
2.400000e+00	2.560000e+00	1.030572e-01	1.138014e-04	1.138014e-04
2.560000e+00	2.720000e+00	7.737569e-02	9.672731e-05	9.672731e-05
2.720000e+00	2.880000e+00	5.565053e-02	8.715837e-05	8.715837e-05
2.880000e+00	3.040000e+00	3.819084e-02	6.281340e-05	6.281340e-05
3.040000e+00	3.200000e+00	2.466779e-02	7.079148e-05	7.079148e-05
3.200000e+00	3.360000e+00	1.499896e-02	3.603321e-05	3.603321e-05
3.360000e+00	3.520000e+00	8.379225e-03	3.046960e-05	3.046960e-05
3.520000e+00	3.680000e+00	4.169300e-03	1.833476e-05	1.833476e-05
3.680000e+00	3.840000e+00	1.798663e-03	1.206803e-05	1.206803e-05
3.840000e+00	4.000000e+00	6.338700e-04	5.882495e-06	5.882495e-06
4.000000e+00	4.160000e+00	1.697214e-04	2.296288e-06	2.296288e-06
4.160000e+00	4.320000e+00	2.856427e-05	6.126646e-07	6.126646e-07
4.320000e+00	4.480000e+00	2.084220e-06	5.331759e-08	5.331759e-08
4.480000e+00	4.640000e+00	2.966997e-08	6.773953e-09	6.773953e-09
4.640000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.960000e+00	5.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.120000e+00	5.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.280000e+00	5.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.440000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.760000e+00	5.920000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.920000e+00	6.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.080000e+00	6.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.240000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.560000e+00	6.720000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.720000e+00	6.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.880000e+00	7.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.040000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.360000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.360000e+00	7.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.520000e+00	7.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.680000e+00	7.840000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.840000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_y_abs
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/H_y_abs
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	5.143377e-02	1.901641e-05	1.901641e-05
1.600000e-01	3.200000e-01	5.103587e-02	1.904665e-05	1.904665e-05
3.200000e-01	4.800000e-01	5.017767e-02	2.066053e-05	2.066053e-05
4.800000e-01	6.400000e-01	4.892635e-02	1.844105e-05	1.844105e-05
6.400000e-01	8.000000e-01	4.728923e-02	1.836363e-05	1.836363e-05
8.000000e-01	9.600000e-01	4.526843e-02	2.337177e-05	2.337177e-05
9.600000e-01	1.120000e+00	4.287037e-02	1.744217e-05	1.744217e-05
1.120000e+00	1.280000e+00	4.016581e-02	1.642987e-05	1.642987e-05
