# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.810035e-04	1.339414e-06	1.339414e-06
1.000000e+01	2.000000e+01	6.210844e-04	1.495803e-06	1.495803e-06
2.000000e+01	3.000000e+01	1.555835e-03	2.313687e-06	2.313687e-06
3.000000e+01	4.000000e+01	3.165186e-03	2.624456e-06	2.624456e-06
4.000000e+01	5.000000e+01	4.702915e-03	5.722613e-06	5.722613e-06
5.000000e+01	6.000000e+01	5.853802e-03	3.170183e-06	3.170183e-06
6.000000e+01	7.000000e+01	6.520253e-03	5.135243e-06	5.135243e-06
7.000000e+01	8.000000e+01	6.761770e-03	3.785968e-06	3.785968e-06
8.000000e+01	9.000000e+01	6.678676e-03	3.913510e-06	3.913510e-06
9.000000e+01	1.000000e+02	6.358028e-03	3.873909e-06	3.873909e-06
1.000000e+02	1.100000e+02	5.929728e-03	3.797716e-06	3.797716e-06
1.100000e+02	1.200000e+02	5.422401e-03	3.661419e-06	3.661419e-06
1.200000e+02	1.300000e+02	4.900497e-03	4.770412e-06	4.770412e-06
1.300000e+02	1.400000e+02	4.385212e-03	3.595601e-06	3.595601e-06
1.400000e+02	1.500000e+02	3.911868e-03	3.224940e-06	3.224940e-06
1.500000e+02	1.600000e+02	3.474570e-03	2.989638e-06	2.989638e-06
1.600000e+02	1.700000e+02	3.083130e-03	3.469364e-06	3.469364e-06
1.700000e+02	1.800000e+02	2.717632e-03	2.713530e-06	2.713530e-06
1.800000e+02	1.900000e+02	2.420429e-03	2.576887e-06	2.576887e-06
1.900000e+02	2.000000e+02	2.134511e-03	2.729822e-06	2.729822e-06
2.000000e+02	2.100000e+02	1.893087e-03	2.611967e-06	2.611967e-06
2.100000e+02	2.200000e+02	1.673864e-03	2.342799e-06	2.342799e-06
2.200000e+02	2.300000e+02	1.490176e-03	2.098279e-06	2.098279e-06
2.300000e+02	2.400000e+02	1.319247e-03	2.035729e-06	2.035729e-06
2.400000e+02	2.500000e+02	1.174968e-03	1.980298e-06	1.980298e-06
2.500000e+02	2.600000e+02	1.049603e-03	1.837205e-06	1.837205e-06
2.600000e+02	2.700000e+02	9.378866e-04	1.859283e-06	1.859283e-06
2.700000e+02	2.800000e+02	8.389543e-04	1.662353e-06	1.662353e-06
2.800000e+02	2.900000e+02	7.489099e-04	1.576700e-06	1.576700e-06
2.900000e+02	3.000000e+02	6.740160e-04	1.475843e-06	1.475843e-06
3.000000e+02	3.100000e+02	6.024804e-04	1.399684e-06	1.399684e-06
3.100000e+02	3.200000e+02	5.485434e-04	1.970573e-06	1.970573e-06
3.200000e+02	3.300000e+02	4.905454e-04	1.269375e-06	1.269375e-06
3.300000e+02	3.400000e+02	4.419058e-04	1.211718e-06	1.211718e-06
3.400000e+02	3.500000e+02	4.014193e-04	1.088981e-06	1.088981e-06
3.500000e+02	3.600000e+02	3.617288e-04	1.183649e-06	1.183649e-06
3.600000e+02	3.700000e+02	3.271760e-04	1.074514e-06	1.074514e-06
3.700000e+02	3.800000e+02	2.976495e-04	1.026814e-06	1.026814e-06
3.800000e+02	3.900000e+02	2.697880e-04	9.365069e-07	9.365069e-07
3.900000e+02	4.000000e+02	2.464527e-04	9.822852e-07	9.822852e-07
4.000000e+02	4.100000e+02	2.250131e-04	8.943107e-07	8.943107e-07
4.100000e+02	4.200000e+02	2.050912e-04	7.832274e-07	7.832274e-07
4.200000e+02	4.300000e+02	1.877079e-04	8.590253e-07	8.590253e-07
4.300000e+02	4.400000e+02	1.721847e-04	8.546200e-07	8.546200e-07
4.400000e+02	4.500000e+02	1.576528e-04	1.849368e-06	1.849368e-06
4.500000e+02	4.600000e+02	1.431742e-04	7.313171e-07	7.313171e-07
4.600000e+02	4.700000e+02	1.313474e-04	7.098999e-07	7.098999e-07
4.700000e+02	4.800000e+02	1.219660e-04	7.293322e-07	7.293322e-07
4.800000e+02	4.900000e+02	1.106797e-04	5.941415e-07	5.941415e-07
4.900000e+02	5.000000e+02	1.013290e-04	6.949584e-07	6.949584e-07
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.665686e-05	7.497694e-08	7.497694e-08
1.000000e+01	2.000000e+01	1.025225e-04	1.069739e-07	1.069739e-07
2.000000e+01	3.000000e+01	3.205032e-04	1.946156e-07	1.946156e-07
3.000000e+01	4.000000e+01	7.327529e-04	2.741358e-07	2.741358e-07
4.000000e+01	5.000000e+01	1.070164e-03	2.287649e-06	2.287649e-06
5.000000e+01	6.000000e+01	1.233934e-03	3.924514e-07	3.924514e-07
6.000000e+01	7.000000e+01	1.232915e-03	3.789507e-07	3.789507e-07
7.000000e+01	8.000000e+01	1.115748e-03	4.519314e-07	4.519314e-07
8.000000e+01	9.000000e+01	9.432419e-04	3.483269e-07	3.483269e-07
9.000000e+01	1.000000e+02	7.576986e-04	3.088662e-07	3.088662e-07
1.000000e+02	1.100000e+02	5.879659e-04	2.617091e-07	2.617091e-07
1.100000e+02	1.200000e+02	4.450903e-04	2.281662e-07	2.281662e-07
1.200000e+02	1.300000e+02	3.317173e-04	2.194007e-07	2.194007e-07
1.300000e+02	1.400000e+02	2.431362e-04	1.621848e-07	1.621848e-07
1.400000e+02	1.500000e+02	1.775848e-04	1.456011e-07	1.456011e-07
1.500000e+02	1.600000e+02	1.287314e-04	1.151173e-07	1.151173e-07
1.600000e+02	1.700000e+02	9.321113e-05	9.854416e-08	9.854416e-08
1.700000e+02	1.800000e+02	6.750460e-05	8.249006e-08	8.249006e-08
1.800000e+02	1.900000e+02	4.887980e-05	6.427504e-08	6.427504e-08
1.900000e+02	2.000000e+02	3.553936e-05	5.556695e-08	5.556695e-08
2.000000e+02	2.100000e+02	2.579482e-05	4.427158e-08	4.427158e-08
