# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
YLabel=$\langle N_{gap} \rangle$
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/avgNGapJets_mjj
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
Title=h(2*) $\oplus$ PS
XLabel=mjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+02	nan	nan	nan
1.500000e+02	3.000000e+02	1.130027e+00	5.285418e-04	5.285418e-04
3.000000e+02	4.500000e+02	1.154719e+00	4.450451e-04	4.450451e-04
4.500000e+02	6.000000e+02	1.173633e+00	6.453673e-04	6.453673e-04
6.000000e+02	7.500000e+02	1.186169e+00	5.874990e-04	5.874990e-04
7.500000e+02	9.000000e+02	1.193177e+00	7.014515e-04	7.014515e-04
9.000000e+02	1.050000e+03	1.200955e+00	7.760368e-04	7.760368e-04
1.050000e+03	1.200000e+03	1.206033e+00	1.841901e-03	1.841901e-03
1.200000e+03	1.350000e+03	1.204988e+00	9.515741e-04	9.515741e-04
1.350000e+03	1.500000e+03	1.207663e+00	1.296432e-03	1.296432e-03
1.500000e+03	1.650000e+03	1.206361e+00	1.249760e-03	1.249760e-03
1.650000e+03	1.800000e+03	1.210163e+00	1.329240e-03	1.329240e-03
1.800000e+03	1.950000e+03	1.206895e+00	1.468035e-03	1.468035e-03
1.950000e+03	2.100000e+03	1.211125e+00	1.648002e-03	1.648002e-03
2.100000e+03	2.250000e+03	1.210333e+00	1.982915e-03	1.982915e-03
2.250000e+03	2.400000e+03	1.204584e+00	2.240712e-03	2.240712e-03
2.400000e+03	2.550000e+03	1.202848e+00	2.731878e-03	2.731878e-03
2.550000e+03	2.700000e+03	1.202190e+00	2.451953e-03	2.451953e-03
2.700000e+03	2.850000e+03	1.208009e+00	3.865767e-03	3.865767e-03
2.850000e+03	3.000000e+03	1.194578e+00	3.443260e-03	3.443260e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/avgNGapJets_mjj
Title=h(2*) $\oplus$ PS-ffac
XLabel=mjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+02	nan	nan	nan
1.500000e+02	3.000000e+02	1.080437e+00	2.773477e-04	2.773477e-04
3.000000e+02	4.500000e+02	1.092928e+00	2.663476e-04	2.663476e-04
4.500000e+02	6.000000e+02	1.100980e+00	5.839232e-04	5.839232e-04
6.000000e+02	7.500000e+02	1.105502e+00	3.458833e-04	3.458833e-04
7.500000e+02	9.000000e+02	1.108441e+00	4.009472e-04	4.009472e-04
9.000000e+02	1.050000e+03	1.109153e+00	4.632885e-04	4.632885e-04
1.050000e+03	1.200000e+03	1.111675e+00	5.590930e-04	5.590930e-04
1.200000e+03	1.350000e+03	1.111741e+00	6.616242e-04	6.616242e-04
1.350000e+03	1.500000e+03	1.113378e+00	7.763416e-04	7.763416e-04
1.500000e+03	1.650000e+03	1.110977e+00	8.281166e-04	8.281166e-04
1.650000e+03	1.800000e+03	1.110643e+00	9.536403e-04	9.536403e-04
1.800000e+03	1.950000e+03	1.111924e+00	1.075464e-03	1.075464e-03
1.950000e+03	2.100000e+03	1.110784e+00	1.243970e-03	1.243970e-03
2.100000e+03	2.250000e+03	1.108748e+00	1.391974e-03	1.391974e-03
2.250000e+03	2.400000e+03	1.109350e+00	1.550538e-03	1.550538e-03
2.400000e+03	2.550000e+03	1.106093e+00	1.700152e-03	1.700152e-03
2.550000e+03	2.700000e+03	1.105131e+00	2.026297e-03	2.026297e-03
2.700000e+03	2.850000e+03	1.101924e+00	2.073914e-03	2.073914e-03
2.850000e+03	3.000000e+03	1.107445e+00	2.323133e-03	2.323133e-03
# END HISTO1D

