# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{h,j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	5.139545e-03	3.547968e-05	3.547968e-05
1.047198e-01	2.094395e-01	5.222631e-03	4.386645e-05	4.386645e-05
2.094395e-01	3.141593e-01	5.303052e-03	3.406551e-05	3.406551e-05
3.141593e-01	4.188790e-01	5.407055e-03	3.701278e-05	3.701278e-05
4.188790e-01	5.235988e-01	5.642034e-03	3.745820e-05	3.745820e-05
5.235988e-01	6.283185e-01	5.808859e-03	3.771359e-05	3.771359e-05
6.283185e-01	7.330383e-01	6.074788e-03	4.154151e-05	4.154151e-05
7.330383e-01	8.377580e-01	6.442713e-03	4.115515e-05	4.115515e-05
8.377580e-01	9.424778e-01	6.960920e-03	4.130367e-05	4.130367e-05
9.424778e-01	1.047198e+00	7.535961e-03	4.120020e-05	4.120020e-05
1.047198e+00	1.151917e+00	8.154506e-03	4.653832e-05	4.653832e-05
1.151917e+00	1.256637e+00	9.040225e-03	4.833111e-05	4.833111e-05
1.256637e+00	1.361357e+00	1.009208e-02	5.029399e-05	5.029399e-05
1.361357e+00	1.466077e+00	1.136545e-02	5.387269e-05	5.387269e-05
1.466077e+00	1.570796e+00	1.286597e-02	5.551145e-05	5.551145e-05
1.570796e+00	1.675516e+00	1.495685e-02	6.339326e-05	6.339326e-05
1.675516e+00	1.780236e+00	1.756574e-02	6.905500e-05	6.905500e-05
1.780236e+00	1.884956e+00	2.097592e-02	7.227634e-05	7.227634e-05
1.884956e+00	1.989675e+00	2.550730e-02	8.095518e-05	8.095518e-05
1.989675e+00	2.094395e+00	3.150976e-02	9.635459e-05	9.635459e-05
2.094395e+00	2.199115e+00	3.964025e-02	1.034673e-04	1.034673e-04
2.199115e+00	2.303835e+00	5.178149e-02	1.406925e-04	1.406925e-04
2.303835e+00	2.408554e+00	6.923108e-02	1.450064e-04	1.450064e-04
2.408554e+00	2.513274e+00	9.683375e-02	1.722613e-04	1.722613e-04
2.513274e+00	2.617994e+00	1.421380e-01	2.699826e-04	2.699826e-04
2.617994e+00	2.722714e+00	2.209275e-01	2.517191e-04	2.517191e-04
2.722714e+00	2.827433e+00	3.709594e-01	3.211240e-04	3.211240e-04
2.827433e+00	2.932153e+00	6.912449e-01	4.559454e-04	4.559454e-04
2.932153e+00	3.036873e+00	1.550999e+00	6.328527e-04	6.328527e-04
3.036873e+00	3.141593e+00	6.037516e+00	1.378874e-03	1.378874e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	5.564907e-04	2.334694e-06	2.334694e-06
1.047198e-01	2.094395e-01	5.626807e-04	2.460601e-06	2.460601e-06
