# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}$ 
LegendAlign=r
YLabel=$ 1/ \sigma \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaphi_jfjb
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	2.877123e-01	2.626501e-04	2.626501e-04
-3.036873e+00	-2.932153e+00	3.183803e-01	3.489186e-04	3.489186e-04
-2.932153e+00	-2.827433e+00	3.419128e-01	3.417187e-04	3.417187e-04
-2.827433e+00	-2.722714e+00	3.568144e-01	3.443835e-04	3.443835e-04
-2.722714e+00	-2.617994e+00	3.633260e-01	3.502119e-04	3.502119e-04
-2.617994e+00	-2.513274e+00	3.613981e-01	3.545500e-04	3.545500e-04
-2.513274e+00	-2.408554e+00	3.525176e-01	3.454898e-04	3.454898e-04
-2.408554e+00	-2.303835e+00	3.372926e-01	3.512896e-04	3.512896e-04
-2.303835e+00	-2.199115e+00	3.177673e-01	3.141412e-04	3.141412e-04
-2.199115e+00	-2.094395e+00	2.939667e-01	3.029038e-04	3.029038e-04
-2.094395e+00	-1.989675e+00	2.680244e-01	2.715145e-04	2.715145e-04
-1.989675e+00	-1.884956e+00	2.409433e-01	2.510544e-04	2.510544e-04
-1.884956e+00	-1.780236e+00	2.133294e-01	2.486397e-04	2.486397e-04
-1.780236e+00	-1.675516e+00	1.864891e-01	2.251433e-04	2.251433e-04
-1.675516e+00	-1.570796e+00	1.607615e-01	1.764123e-04	1.764123e-04
-1.570796e+00	-1.466077e+00	1.369768e-01	1.640973e-04	1.640973e-04
-1.466077e+00	-1.361357e+00	1.151185e-01	1.951304e-04	1.951304e-04
-1.361357e+00	-1.256637e+00	9.682181e-02	1.242398e-04	1.242398e-04
-1.256637e+00	-1.151917e+00	8.126454e-02	4.565423e-04	4.565423e-04
-1.151917e+00	-1.047198e+00	6.876193e-02	3.303245e-04	3.303245e-04
-1.047198e+00	-9.424778e-01	5.902558e-02	7.989642e-05	7.989642e-05
-9.424778e-01	-8.377580e-01	5.273144e-02	9.334747e-05	9.334747e-05
-8.377580e-01	-7.330383e-01	4.966650e-02	8.638887e-05	8.638887e-05
-7.330383e-01	-6.283185e-01	4.911560e-02	8.902409e-05	8.902409e-05
-6.283185e-01	-5.235988e-01	5.168063e-02	8.211470e-05	8.211470e-05
-5.235988e-01	-4.188790e-01	5.657482e-02	1.481123e-04	1.481123e-04
-4.188790e-01	-3.141593e-01	6.319819e-02	1.200213e-04	1.200213e-04
-3.141593e-01	-2.094395e-01	7.162473e-02	1.918165e-04	1.918165e-04
