# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
XLabel=$\Delta y_{h,j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta y_{h,j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltay_H_jj
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-01	6.314806e-01	2.905503e-04	2.905503e-04
3.200000e-01	6.400000e-01	5.883841e-01	2.773711e-04	2.773711e-04
6.400000e-01	9.600000e-01	5.114184e-01	2.096016e-04	2.096016e-04
9.600000e-01	1.280000e+00	4.177378e-01	1.930026e-04	1.930026e-04
1.280000e+00	1.600000e+00	3.206541e-01	1.535694e-04	1.535694e-04
1.600000e+00	1.920000e+00	2.320427e-01	1.256370e-04	1.256370e-04
1.920000e+00	2.240000e+00	1.592871e-01	1.025685e-04	1.025685e-04
2.240000e+00	2.560000e+00	1.037976e-01	8.411979e-05	8.411979e-05
2.560000e+00	2.880000e+00	6.398700e-02	6.027500e-05	6.027500e-05
2.880000e+00	3.200000e+00	3.748378e-02	4.895355e-05	4.895355e-05
3.200000e+00	3.520000e+00	2.082079e-02	4.189278e-05	4.189278e-05
3.520000e+00	3.840000e+00	1.090171e-02	2.802408e-05	2.802408e-05
3.840000e+00	4.160000e+00	5.325056e-03	1.835421e-05	1.835421e-05
4.160000e+00	4.480000e+00	2.444437e-03	1.575396e-05	1.575396e-05
4.480000e+00	4.800000e+00	1.048392e-03	2.444477e-05	2.444477e-05
4.800000e+00	5.120000e+00	4.127137e-04	8.302947e-06	8.302947e-06
5.120000e+00	5.440000e+00	1.593987e-04	5.373424e-06	5.373424e-06
5.440000e+00	5.760000e+00	5.326738e-05	2.103762e-06	2.103762e-06
5.760000e+00	6.080000e+00	1.468672e-05	1.355312e-06	1.355312e-06
6.080000e+00	6.400000e+00	4.192528e-06	3.132304e-07	3.132304e-07
6.400000e+00	6.720000e+00	9.541378e-07	3.062307e-07	3.062307e-07
6.720000e+00	7.040000e+00	8.708494e-08	1.961481e-08	1.961481e-08
7.040000e+00	7.360000e+00	-2.661192e-09	1.025498e-08	1.025498e-08
7.360000e+00	7.680000e+00	1.549520e-10	1.287618e-10	1.287618e-10
7.680000e+00	8.000000e+00	5.424009e-11	4.112701e-11	4.112701e-11
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
