# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
XLabel=$P_{T,jets}^{gap}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$\text{d} \sigma/ \text{d} P_{T,jets}^{gap}$
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/gapjet1_pt_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.564405e-03	2.695237e-06	2.695237e-06
3.000000e+01	4.000000e+01	3.775515e-03	3.579624e-06	3.579624e-06
4.000000e+01	5.000000e+01	2.584756e-03	3.236294e-06	3.236294e-06
5.000000e+01	6.000000e+01	1.823048e-03	2.348557e-06	2.348557e-06
6.000000e+01	7.000000e+01	1.306842e-03	2.040078e-06	2.040078e-06
7.000000e+01	8.000000e+01	9.535731e-04	3.723876e-06	3.723876e-06
8.000000e+01	9.000000e+01	7.002139e-04	1.509632e-06	1.509632e-06
9.000000e+01	1.000000e+02	5.206036e-04	1.307287e-06	1.307287e-06
1.000000e+02	1.100000e+02	3.917740e-04	1.110207e-06	1.110207e-06
1.100000e+02	1.200000e+02	2.964322e-04	9.488160e-07	9.488160e-07
1.200000e+02	1.300000e+02	2.300940e-04	9.648903e-07	9.648903e-07
1.300000e+02	1.400000e+02	1.781752e-04	7.256525e-07	7.256525e-07
1.400000e+02	1.500000e+02	1.406486e-04	7.243910e-07	7.243910e-07
1.500000e+02	1.600000e+02	1.122189e-04	6.543232e-07	6.543232e-07
1.600000e+02	1.700000e+02	8.925685e-05	5.150925e-07	5.150925e-07
1.700000e+02	1.800000e+02	7.152567e-05	4.867048e-07	4.867048e-07
1.800000e+02	1.900000e+02	5.878596e-05	4.444174e-07	4.444174e-07
1.900000e+02	2.000000e+02	4.705789e-05	3.783484e-07	3.783484e-07
2.000000e+02	2.100000e+02	3.903265e-05	3.361119e-07	3.361119e-07
2.100000e+02	2.200000e+02	3.192943e-05	4.004305e-07	4.004305e-07
2.200000e+02	2.300000e+02	2.733314e-05	3.187254e-07	3.187254e-07
2.300000e+02	2.400000e+02	2.226654e-05	2.641407e-07	2.641407e-07
2.400000e+02	2.500000e+02	1.860073e-05	2.468621e-07	2.468621e-07
2.500000e+02	2.600000e+02	1.546350e-05	2.562944e-07	2.562944e-07
2.600000e+02	2.700000e+02	1.293955e-05	2.315126e-07	2.315126e-07
2.700000e+02	2.800000e+02	1.089825e-05	2.161990e-07	2.161990e-07
2.800000e+02	2.900000e+02	9.743646e-06	3.005374e-07	3.005374e-07
2.900000e+02	3.000000e+02	7.975439e-06	1.403790e-07	1.403790e-07
3.000000e+02	3.100000e+02	7.043655e-06	1.738078e-07	1.738078e-07
3.100000e+02	3.200000e+02	6.005755e-06	1.234351e-07	1.234351e-07
3.200000e+02	3.300000e+02	4.982602e-06	1.316690e-07	1.316690e-07
3.300000e+02	3.400000e+02	4.388230e-06	1.471641e-07	1.471641e-07
3.400000e+02	3.500000e+02	3.707631e-06	1.012863e-07	1.012863e-07
3.500000e+02	3.600000e+02	3.123742e-06	9.030439e-08	9.030439e-08
3.600000e+02	3.700000e+02	2.846008e-06	7.592340e-08	7.592340e-08
3.700000e+02	3.800000e+02	2.649544e-06	1.189605e-07	1.189605e-07
3.800000e+02	3.900000e+02	2.165498e-06	7.126207e-08	7.126207e-08
3.900000e+02	4.000000e+02	1.836782e-06	8.185405e-08	8.185405e-08
4.000000e+02	4.100000e+02	1.569517e-06	5.223969e-08	5.223969e-08
4.100000e+02	4.200000e+02	1.416577e-06	5.308239e-08	5.308239e-08
4.200000e+02	4.300000e+02	1.267365e-06	7.595534e-08	7.595534e-08
4.300000e+02	4.400000e+02	1.149134e-06	5.252286e-08	5.252286e-08
4.400000e+02	4.500000e+02	9.008320e-07	4.877915e-08	4.877915e-08
4.500000e+02	4.600000e+02	7.934489e-07	5.297806e-08	5.297806e-08
4.600000e+02	4.700000e+02	7.390042e-07	4.474670e-08	4.474670e-08
4.700000e+02	4.800000e+02	6.301633e-07	6.380313e-08	6.380313e-08
4.800000e+02	4.900000e+02	5.720379e-07	5.084263e-08	5.084263e-08
4.900000e+02	5.000000e+02	5.116967e-07	3.063916e-08	3.063916e-08
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.577302e-04	2.951684e-07	2.951684e-07
3.000000e+01	4.000000e+01	3.357995e-04	2.063286e-07	2.063286e-07
4.000000e+01	5.000000e+01	1.844897e-04	1.589952e-07	1.589952e-07
5.000000e+01	6.000000e+01	9.967787e-05	1.114275e-07	1.114275e-07
6.000000e+01	7.000000e+01	5.326164e-05	7.579418e-08	7.579418e-08
7.000000e+01	8.000000e+01	2.846544e-05	5.709764e-08	5.709764e-08
8.000000e+01	9.000000e+01	1.537267e-05	4.065008e-08	4.065008e-08
9.000000e+01	1.000000e+02	8.362904e-06	2.583327e-08	2.583327e-08
1.000000e+02	1.100000e+02	4.642082e-06	1.802740e-08	1.802740e-08
1.100000e+02	1.200000e+02	2.596490e-06	1.329009e-08	1.329009e-08
1.200000e+02	1.300000e+02	1.482121e-06	9.245031e-09	9.245031e-09
1.300000e+02	1.400000e+02	8.864531e-07	6.819807e-09	6.819807e-09
1.400000e+02	1.500000e+02	5.105403e-07	4.600899e-09	4.600899e-09
1.500000e+02	1.600000e+02	3.092546e-07	3.250785e-09	3.250785e-09
1.600000e+02	1.700000e+02	1.913436e-07	2.346159e-09	2.346159e-09
1.700000e+02	1.800000e+02	1.193693e-07	1.668118e-09	1.668118e-09
1.800000e+02	1.900000e+02	7.632263e-08	1.187204e-09	1.187204e-09
1.900000e+02	2.000000e+02	4.827252e-08	8.503676e-10	8.503676e-10
2.000000e+02	2.100000e+02	3.153140e-08	7.211347e-10	7.211347e-10
2.100000e+02	2.200000e+02	1.986518e-08	4.269020e-10	4.269020e-10
2.200000e+02	2.300000e+02	1.370793e-08	3.395170e-10	3.395170e-10
2.300000e+02	2.400000e+02	9.328681e-09	2.618824e-10	2.618824e-10
2.400000e+02	2.500000e+02	6.586550e-09	2.216799e-10	2.216799e-10
2.500000e+02	2.600000e+02	4.504418e-09	1.340643e-10	1.340643e-10
2.600000e+02	2.700000e+02	2.972210e-09	9.986286e-11	9.986286e-11
2.700000e+02	2.800000e+02	2.162820e-09	7.689734e-11	7.689734e-11
2.800000e+02	2.900000e+02	1.690330e-09	8.125475e-11	8.125475e-11
2.900000e+02	3.000000e+02	1.149141e-09	6.984608e-11	6.984608e-11
3.000000e+02	3.100000e+02	9.113992e-10	5.302395e-11	5.302395e-11
3.100000e+02	3.200000e+02	6.224858e-10	2.946101e-11	2.946101e-11
3.200000e+02	3.300000e+02	4.475757e-10	2.305828e-11	2.305828e-11
3.300000e+02	3.400000e+02	3.699706e-10	2.277893e-11	2.277893e-11
3.400000e+02	3.500000e+02	2.794081e-10	2.370671e-11	2.370671e-11
3.500000e+02	3.600000e+02	2.038873e-10	1.454817e-11	1.454817e-11
3.600000e+02	3.700000e+02	1.684860e-10	1.386653e-11	1.386653e-11
3.700000e+02	3.800000e+02	1.389457e-10	1.624846e-11	1.624846e-11
3.800000e+02	3.900000e+02	9.831854e-11	9.030942e-12	9.030942e-12
3.900000e+02	4.000000e+02	7.229921e-11	6.104593e-12	6.104593e-12
4.000000e+02	4.100000e+02	7.242785e-11	1.737430e-11	1.737430e-11
4.100000e+02	4.200000e+02	4.895373e-11	5.207256e-12	5.207256e-12
4.200000e+02	4.300000e+02	3.753728e-11	5.621585e-12	5.621585e-12
4.300000e+02	4.400000e+02	2.379483e-11	1.991793e-12	1.991793e-12
4.400000e+02	4.500000e+02	2.184236e-11	2.467165e-12	2.467165e-12
4.500000e+02	4.600000e+02	2.458696e-11	5.623590e-12	5.623590e-12
4.600000e+02	4.700000e+02	1.858070e-11	2.204023e-12	2.204023e-12
4.700000e+02	4.800000e+02	9.640086e-12	1.181005e-12	1.181005e-12
4.800000e+02	4.900000e+02	1.220340e-11	1.556693e-12	1.556693e-12
4.900000e+02	5.000000e+02	1.083272e-11	2.177761e-12	2.177761e-12
# END HISTO1D

