# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	3.409419e-06	2.387946e-07	2.387946e-07
-4.400000e+00	-4.200000e+00	4.808117e-05	1.107896e-06	1.107896e-06
-4.200000e+00	-4.000000e+00	1.902371e-04	2.730338e-06	2.730338e-06
-4.000000e+00	-3.800000e+00	4.866659e-04	5.077832e-06	5.077832e-06
-3.800000e+00	-3.600000e+00	9.905370e-04	8.386576e-06	8.386576e-06
-3.600000e+00	-3.400000e+00	1.772775e-03	1.151828e-05	1.151828e-05
-3.400000e+00	-3.200000e+00	2.956783e-03	1.589800e-05	1.589800e-05
-3.200000e+00	-3.000000e+00	4.524291e-03	3.417125e-05	3.417125e-05
-3.000000e+00	-2.800000e+00	6.537745e-03	3.252002e-05	3.252002e-05
-2.800000e+00	-2.600000e+00	8.977460e-03	3.507157e-05	3.507157e-05
-2.600000e+00	-2.400000e+00	1.185872e-02	4.639062e-05	4.639062e-05
-2.400000e+00	-2.200000e+00	1.492028e-02	4.533271e-05	4.533271e-05
-2.200000e+00	-2.000000e+00	1.823774e-02	5.042103e-05	5.042103e-05
-2.000000e+00	-1.800000e+00	2.164383e-02	5.407597e-05	5.407597e-05
-1.800000e+00	-1.600000e+00	2.492730e-02	5.897851e-05	5.897851e-05
-1.600000e+00	-1.400000e+00	2.809501e-02	6.696701e-05	6.696701e-05
-1.400000e+00	-1.200000e+00	3.101017e-02	8.158770e-05	8.158770e-05
-1.200000e+00	-1.000000e+00	3.349411e-02	8.055084e-05	8.055084e-05
-1.000000e+00	-8.000000e-01	3.571299e-02	7.953502e-05	7.953502e-05
-8.000000e-01	-6.000000e-01	3.735468e-02	7.311563e-05	7.311563e-05
-6.000000e-01	-4.000000e-01	3.893753e-02	7.810904e-05	7.810904e-05
-4.000000e-01	-2.000000e-01	3.945438e-02	8.001842e-05	8.001842e-05
-2.000000e-01	0.000000e+00	4.003515e-02	7.767120e-05	7.767120e-05
0.000000e+00	2.000000e-01	4.013966e-02	7.791027e-05	7.791027e-05
2.000000e-01	4.000000e-01	3.952332e-02	8.170382e-05	8.170382e-05
4.000000e-01	6.000000e-01	3.871098e-02	8.033824e-05	8.033824e-05
6.000000e-01	8.000000e-01	3.749089e-02	1.087047e-04	1.087047e-04
8.000000e-01	1.000000e+00	3.566833e-02	7.576261e-05	7.576261e-05
1.000000e+00	1.200000e+00	3.354555e-02	7.162266e-05	7.162266e-05
1.200000e+00	1.400000e+00	3.118816e-02	1.777364e-04	1.777364e-04
1.400000e+00	1.600000e+00	2.814199e-02	7.714940e-05	7.714940e-05
1.600000e+00	1.800000e+00	2.494829e-02	6.101668e-05	6.101668e-05
1.800000e+00	2.000000e+00	2.167315e-02	6.072804e-05	6.072804e-05
2.000000e+00	2.200000e+00	1.813253e-02	4.760160e-05	4.760160e-05
2.200000e+00	2.400000e+00	1.498450e-02	4.499320e-05	4.499320e-05
2.400000e+00	2.600000e+00	1.187847e-02	3.962057e-05	3.962057e-05
2.600000e+00	2.800000e+00	8.979740e-03	3.913504e-05	3.913504e-05
2.800000e+00	3.000000e+00	6.585795e-03	3.035407e-05	3.035407e-05
3.000000e+00	3.200000e+00	4.502561e-03	2.071906e-05	2.071906e-05
3.200000e+00	3.400000e+00	2.974892e-03	1.637021e-05	1.637021e-05
3.400000e+00	3.600000e+00	1.756048e-03	1.224666e-05	1.224666e-05
3.600000e+00	3.800000e+00	9.642040e-04	1.061421e-05	1.061421e-05
3.800000e+00	4.000000e+00	4.739861e-04	5.425002e-06	5.425002e-06
4.000000e+00	4.200000e+00	1.834571e-04	3.874152e-06	3.874152e-06
4.200000e+00	4.400000e+00	4.942606e-05	1.550923e-06	1.550923e-06
4.400000e+00	4.600000e+00	3.903539e-06	3.985618e-07	3.985618e-07
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	9.294465e-07	5.174519e-08	5.174519e-08
-4.400000e+00	-4.200000e+00	1.164512e-05	1.837656e-07	1.837656e-07
-4.200000e+00	-4.000000e+00	4.289441e-05	3.825761e-07	3.825761e-07
-4.000000e+00	-3.800000e+00	1.042821e-04	6.840404e-07	6.840404e-07
-3.800000e+00	-3.600000e+00	1.931654e-04	9.477232e-07	9.477232e-07
-3.600000e+00	-3.400000e+00	3.146171e-04	1.284754e-06	1.284754e-06
-3.400000e+00	-3.200000e+00	4.640290e-04	1.557550e-06	1.557550e-06
-3.200000e+00	-3.000000e+00	6.351060e-04	1.921653e-06	1.921653e-06
-3.000000e+00	-2.800000e+00	8.114715e-04	2.240590e-06	2.240590e-06
-2.800000e+00	-2.600000e+00	9.820430e-04	2.616091e-06	2.616091e-06
-2.600000e+00	-2.400000e+00	1.139938e-03	3.265319e-06	3.265319e-06
-2.400000e+00	-2.200000e+00	1.293524e-03	1.190063e-05	1.190063e-05
-2.200000e+00	-2.000000e+00	1.407179e-03	2.947074e-06	2.947074e-06
-2.000000e+00	-1.800000e+00	1.510616e-03	2.961850e-06	2.961850e-06
-1.800000e+00	-1.600000e+00	1.592352e-03	3.137270e-06	3.137270e-06
-1.600000e+00	-1.400000e+00	1.661323e-03	3.524090e-06	3.524090e-06
-1.400000e+00	-1.200000e+00	1.710176e-03	3.076031e-06	3.076031e-06
-1.200000e+00	-1.000000e+00	1.760108e-03	3.133243e-06	3.133243e-06
-1.000000e+00	-8.000000e-01	1.795780e-03	3.181805e-06	3.181805e-06
-8.000000e-01	-6.000000e-01	1.828708e-03	3.126975e-06	3.126975e-06
-6.000000e-01	-4.000000e-01	1.861079e-03	4.213320e-06	4.213320e-06
-4.000000e-01	-2.000000e-01	1.865692e-03	3.095277e-06	3.095277e-06
-2.000000e-01	0.000000e+00	1.878809e-03	3.343237e-06	3.343237e-06
0.000000e+00	2.000000e-01	1.878475e-03	3.289215e-06	3.289215e-06
2.000000e-01	4.000000e-01	1.869369e-03	3.460939e-06	3.460939e-06
4.000000e-01	6.000000e-01	1.852238e-03	3.143469e-06	3.143469e-06
6.000000e-01	8.000000e-01	1.831430e-03	3.193531e-06	3.193531e-06
8.000000e-01	1.000000e+00	1.798845e-03	3.143235e-06	3.143235e-06
1.000000e+00	1.200000e+00	1.758591e-03	3.408940e-06	3.408940e-06
1.200000e+00	1.400000e+00	1.715398e-03	3.179037e-06	3.179037e-06
1.400000e+00	1.600000e+00	1.661019e-03	4.063412e-06	4.063412e-06
1.600000e+00	1.800000e+00	1.586876e-03	3.065113e-06	3.065113e-06
1.800000e+00	2.000000e+00	1.501451e-03	3.422756e-06	3.422756e-06
2.000000e+00	2.200000e+00	1.404201e-03	2.836768e-06	2.836768e-06
2.200000e+00	2.400000e+00	1.286538e-03	3.004401e-06	3.004401e-06
2.400000e+00	2.600000e+00	1.142046e-03	2.615817e-06	2.615817e-06
2.600000e+00	2.800000e+00	9.819805e-04	2.432859e-06	2.432859e-06
2.800000e+00	3.000000e+00	8.080775e-04	2.215363e-06	2.215363e-06
3.000000e+00	3.200000e+00	6.326850e-04	2.060104e-06	2.060104e-06
3.200000e+00	3.400000e+00	4.649539e-04	1.794382e-06	1.794382e-06
3.400000e+00	3.600000e+00	3.138431e-04	1.315156e-06	1.315156e-06
3.600000e+00	3.800000e+00	1.930143e-04	9.508684e-07	9.508684e-07
3.800000e+00	4.000000e+00	1.037310e-04	6.360615e-07	6.360615e-07
4.000000e+00	4.200000e+00	4.245231e-05	4.606127e-07	4.606127e-07
4.200000e+00	4.400000e+00	1.219613e-05	1.646848e-07	1.646848e-07
4.400000e+00	4.600000e+00	1.093454e-06	1.095758e-07	1.095758e-07
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

