# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_3}$ (GeV)
LegendAlign=r
XMax=1000
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.844469e-04	3.366217e-07	3.366217e-07
4.000000e+01	8.000000e+01	9.999967e-04	8.421906e-07	8.421906e-07
8.000000e+01	1.200000e+02	9.204510e-04	8.423346e-07	8.423346e-07
1.200000e+02	1.600000e+02	7.935077e-04	1.128786e-06	1.128786e-06
1.600000e+02	2.000000e+02	7.117640e-04	7.058597e-07	7.058597e-07
2.000000e+02	2.400000e+02	6.373022e-04	7.947732e-07	7.947732e-07
2.400000e+02	2.800000e+02	5.647377e-04	6.177476e-07	6.177476e-07
2.800000e+02	3.200000e+02	4.994155e-04	6.527946e-07	6.527946e-07
3.200000e+02	3.600000e+02	4.414170e-04	6.296661e-07	6.296661e-07
3.600000e+02	4.000000e+02	3.916918e-04	5.214902e-07	5.214902e-07
4.000000e+02	4.400000e+02	3.487718e-04	4.738264e-07	4.738264e-07
4.400000e+02	4.800000e+02	3.115570e-04	4.639910e-07	4.639910e-07
4.800000e+02	5.200000e+02	2.805338e-04	1.258615e-06	1.258615e-06
5.200000e+02	5.600000e+02	2.520918e-04	9.481587e-07	9.481587e-07
5.600000e+02	6.000000e+02	2.268977e-04	4.613946e-07	4.613946e-07
6.000000e+02	6.400000e+02	2.046785e-04	3.770651e-07	3.770651e-07
6.400000e+02	6.800000e+02	1.853517e-04	3.871515e-07	3.871515e-07
6.800000e+02	7.200000e+02	1.674943e-04	3.521268e-07	3.521268e-07
7.200000e+02	7.600000e+02	1.524248e-04	3.506552e-07	3.506552e-07
7.600000e+02	8.000000e+02	1.391138e-04	3.741563e-07	3.741563e-07
8.000000e+02	8.400000e+02	1.266801e-04	3.096459e-07	3.096459e-07
8.400000e+02	8.800000e+02	1.154673e-04	3.138713e-07	3.138713e-07
8.800000e+02	9.200000e+02	1.057011e-04	2.783923e-07	2.783923e-07
9.200000e+02	9.600000e+02	9.708090e-05	2.920139e-07	2.920139e-07
9.600000e+02	1.000000e+03	8.872727e-05	2.533065e-07	2.533065e-07
1.000000e+03	1.040000e+03	8.097107e-05	2.486862e-07	2.486862e-07
1.040000e+03	1.080000e+03	7.429800e-05	2.381360e-07	2.381360e-07
1.080000e+03	1.120000e+03	6.805490e-05	2.264804e-07	2.264804e-07
1.120000e+03	1.160000e+03	6.228927e-05	2.091597e-07	2.091597e-07
1.160000e+03	1.200000e+03	5.775498e-05	2.338870e-07	2.338870e-07
1.200000e+03	1.240000e+03	5.307598e-05	2.005176e-07	2.005176e-07
1.240000e+03	1.280000e+03	4.874760e-05	2.143746e-07	2.143746e-07
1.280000e+03	1.320000e+03	4.499607e-05	1.866996e-07	1.866996e-07
1.320000e+03	1.360000e+03	4.148625e-05	1.836114e-07	1.836114e-07
1.360000e+03	1.400000e+03	3.817293e-05	1.571882e-07	1.571882e-07
1.400000e+03	1.440000e+03	3.538510e-05	1.473419e-07	1.473419e-07
1.440000e+03	1.480000e+03	3.254285e-05	1.494590e-07	1.494590e-07
1.480000e+03	1.520000e+03	2.994223e-05	1.415063e-07	1.415063e-07
1.520000e+03	1.560000e+03	2.777185e-05	1.386116e-07	1.386116e-07
1.560000e+03	1.600000e+03	2.536182e-05	1.367286e-07	1.367286e-07
1.600000e+03	1.640000e+03	2.354568e-05	1.451446e-07	1.451446e-07
1.640000e+03	1.680000e+03	2.191194e-05	1.085941e-07	1.085941e-07
1.680000e+03	1.720000e+03	1.991068e-05	1.222822e-07	1.222822e-07
1.720000e+03	1.760000e+03	1.837916e-05	1.186867e-07	1.186867e-07
1.760000e+03	1.800000e+03	1.734805e-05	1.034995e-07	1.034995e-07
1.800000e+03	1.840000e+03	1.595558e-05	1.522523e-07	1.522523e-07
1.840000e+03	1.880000e+03	1.491653e-05	1.057923e-07	1.057923e-07
1.880000e+03	1.920000e+03	1.355948e-05	1.077865e-07	1.077865e-07
1.920000e+03	1.960000e+03	1.251101e-05	9.812674e-08	9.812674e-08
1.960000e+03	2.000000e+03	1.170742e-05	8.036281e-08	8.036281e-08
2.000000e+03	2.040000e+03	1.084568e-05	7.858233e-08	7.858233e-08
2.040000e+03	2.080000e+03	1.001535e-05	7.019468e-08	7.019468e-08
2.080000e+03	2.120000e+03	9.240940e-06	8.386190e-08	8.386190e-08
2.120000e+03	2.160000e+03	8.469015e-06	7.337573e-08	7.337573e-08
2.160000e+03	2.200000e+03	7.832098e-06	6.254795e-08	6.254795e-08
2.200000e+03	2.240000e+03	7.297808e-06	7.519168e-08	7.519168e-08
2.240000e+03	2.280000e+03	6.903090e-06	6.265031e-08	6.265031e-08
2.280000e+03	2.320000e+03	6.193245e-06	1.023186e-07	1.023186e-07
