# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j2j3_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	3.466695e-06	9.525292e-08	9.525292e-08
1.200000e+01	1.600000e+01	1.185207e-04	6.623718e-07	6.623718e-07
1.600000e+01	2.000000e+01	4.420713e-04	1.320536e-06	1.320536e-06
2.000000e+01	2.400000e+01	8.569830e-04	1.969146e-06	1.969146e-06
2.400000e+01	2.800000e+01	1.229414e-03	2.665891e-06	2.665891e-06
2.800000e+01	3.200000e+01	1.504942e-03	2.883632e-06	2.883632e-06
3.200000e+01	3.600000e+01	1.667848e-03	3.338349e-06	3.338349e-06
3.600000e+01	4.000000e+01	1.754601e-03	3.324347e-06	3.324347e-06
4.000000e+01	4.400000e+01	1.781998e-03	3.905399e-06	3.905399e-06
4.400000e+01	4.800000e+01	1.758759e-03	3.583738e-06	3.583738e-06
4.800000e+01	5.200000e+01	1.722411e-03	3.590823e-06	3.590823e-06
5.200000e+01	5.600000e+01	1.673511e-03	3.462854e-06	3.462854e-06
5.600000e+01	6.000000e+01	1.611798e-03	3.500526e-06	3.500526e-06
6.000000e+01	6.400000e+01	1.548098e-03	3.355081e-06	3.355081e-06
6.400000e+01	6.800000e+01	1.485381e-03	3.535903e-06	3.535903e-06
6.800000e+01	7.200000e+01	1.428251e-03	3.425255e-06	3.425255e-06
7.200000e+01	7.600000e+01	1.378821e-03	5.234218e-06	5.234218e-06
7.600000e+01	8.000000e+01	1.329229e-03	3.232190e-06	3.232190e-06
8.000000e+01	8.400000e+01	1.270281e-03	2.968155e-06	2.968155e-06
8.400000e+01	8.800000e+01	1.237379e-03	3.725734e-06	3.725734e-06
8.800000e+01	9.200000e+01	1.193010e-03	3.348448e-06	3.348448e-06
9.200000e+01	9.600000e+01	1.152954e-03	3.525398e-06	3.525398e-06
9.600000e+01	1.000000e+02	1.120534e-03	3.183409e-06	3.183409e-06
1.000000e+02	1.040000e+02	1.086331e-03	2.793290e-06	2.793290e-06
1.040000e+02	1.080000e+02	1.051588e-03	2.834415e-06	2.834415e-06
1.080000e+02	1.120000e+02	1.021762e-03	3.590279e-06	3.590279e-06
1.120000e+02	1.160000e+02	9.983823e-04	2.731102e-06	2.731102e-06
1.160000e+02	1.200000e+02	9.679370e-04	2.861844e-06	2.861844e-06
1.200000e+02	1.240000e+02	9.392782e-04	2.675537e-06	2.675537e-06
1.240000e+02	1.280000e+02	9.196195e-04	2.667252e-06	2.667252e-06
1.280000e+02	1.320000e+02	8.958300e-04	3.354614e-06	3.354614e-06
1.320000e+02	1.360000e+02	8.758050e-04	2.545807e-06	2.545807e-06
1.360000e+02	1.400000e+02	8.529255e-04	3.553992e-06	3.553992e-06
1.400000e+02	1.440000e+02	8.308932e-04	2.799429e-06	2.799429e-06
1.440000e+02	1.480000e+02	8.155695e-04	2.609280e-06	2.609280e-06
1.480000e+02	1.520000e+02	7.964578e-04	2.233405e-06	2.233405e-06
1.520000e+02	1.560000e+02	7.772320e-04	2.324736e-06	2.324736e-06
1.560000e+02	1.600000e+02	7.621085e-04	2.274262e-06	2.274262e-06
1.600000e+02	1.640000e+02	7.431215e-04	2.185198e-06	2.185198e-06
1.640000e+02	1.680000e+02	7.331327e-04	8.492990e-06	8.492990e-06
1.680000e+02	1.720000e+02	7.119863e-04	3.339496e-06	3.339496e-06
1.720000e+02	1.760000e+02	7.055053e-04	8.083942e-06	8.083942e-06
1.760000e+02	1.800000e+02	6.852868e-04	2.184224e-06	2.184224e-06
1.800000e+02	1.840000e+02	6.703288e-04	2.117969e-06	2.117969e-06
1.840000e+02	1.880000e+02	6.562470e-04	2.422719e-06	2.422719e-06
1.880000e+02	1.920000e+02	6.433505e-04	1.936032e-06	1.936032e-06
1.920000e+02	1.960000e+02	6.339505e-04	2.726377e-06	2.726377e-06
1.960000e+02	2.000000e+02	6.195330e-04	1.952337e-06	1.952337e-06
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	8.864810e-07	1.479785e-08	1.479785e-08
1.200000e+01	1.600000e+01	2.703255e-05	9.418828e-08	9.418828e-08
1.600000e+01	2.000000e+01	9.019522e-05	5.949032e-07	5.949032e-07
2.000000e+01	2.400000e+01	1.477575e-04	2.104786e-07	2.104786e-07
2.400000e+01	2.800000e+01	1.799578e-04	2.760173e-07	2.760173e-07
2.800000e+01	3.200000e+01	1.877399e-04	2.429720e-07	2.429720e-07
3.200000e+01	3.600000e+01	1.812858e-04	2.424876e-07	2.424876e-07
3.600000e+01	4.000000e+01	1.687283e-04	2.352739e-07	2.352739e-07
4.000000e+01	4.400000e+01	1.550077e-04	2.377881e-07	2.377881e-07
4.400000e+01	4.800000e+01	1.419949e-04	2.579078e-07	2.579078e-07
4.800000e+01	5.200000e+01	1.297430e-04	2.186786e-07	2.186786e-07
5.200000e+01	5.600000e+01	1.196151e-04	1.979091e-07	1.979091e-07
5.600000e+01	6.000000e+01	1.111802e-04	2.096592e-07	2.096592e-07
6.000000e+01	6.400000e+01	1.044540e-04	1.791503e-07	1.791503e-07
6.400000e+01	6.800000e+01	9.766583e-05	1.750945e-07	1.750945e-07
6.800000e+01	7.200000e+01	9.207958e-05	2.273660e-07	2.273660e-07
7.200000e+01	7.600000e+01	8.656942e-05	1.689661e-07	1.689661e-07
7.600000e+01	8.000000e+01	8.193425e-05	1.654645e-07	1.654645e-07
8.000000e+01	8.400000e+01	7.803330e-05	1.486746e-07	1.486746e-07
8.400000e+01	8.800000e+01	7.383215e-05	1.518764e-07	1.518764e-07
8.800000e+01	9.200000e+01	7.047080e-05	1.495538e-07	1.495538e-07
9.200000e+01	9.600000e+01	6.703530e-05	1.362002e-07	1.362002e-07
9.600000e+01	1.000000e+02	6.397503e-05	1.334569e-07	1.334569e-07
1.000000e+02	1.040000e+02	6.114005e-05	1.392001e-07	1.392001e-07
1.040000e+02	1.080000e+02	5.836493e-05	1.314207e-07	1.314207e-07
1.080000e+02	1.120000e+02	5.572813e-05	1.263175e-07	1.263175e-07
1.120000e+02	1.160000e+02	5.317132e-05	1.293229e-07	1.293229e-07
1.160000e+02	1.200000e+02	5.111985e-05	1.288577e-07	1.288577e-07
1.200000e+02	1.240000e+02	4.876545e-05	1.134348e-07	1.134348e-07
1.240000e+02	1.280000e+02	4.702037e-05	1.072125e-07	1.072125e-07
1.280000e+02	1.320000e+02	4.539545e-05	1.694972e-07	1.694972e-07
1.320000e+02	1.360000e+02	4.360722e-05	1.028252e-07	1.028252e-07
1.360000e+02	1.400000e+02	4.211425e-05	1.176108e-07	1.176108e-07
1.400000e+02	1.440000e+02	4.059125e-05	1.133648e-07	1.133648e-07
1.440000e+02	1.480000e+02	3.951897e-05	1.066501e-07	1.066501e-07
1.480000e+02	1.520000e+02	3.821455e-05	1.017622e-07	1.017622e-07
1.520000e+02	1.560000e+02	3.677338e-05	9.337605e-08	9.337605e-08
1.560000e+02	1.600000e+02	3.577518e-05	9.395212e-08	9.395212e-08
1.600000e+02	1.640000e+02	3.492955e-05	8.733710e-08	8.733710e-08
1.640000e+02	1.680000e+02	3.416900e-05	8.971925e-08	8.971925e-08
1.680000e+02	1.720000e+02	3.313325e-05	8.920874e-08	8.920874e-08
1.720000e+02	1.760000e+02	3.253845e-05	9.329647e-08	9.329647e-08
1.760000e+02	1.800000e+02	3.191470e-05	1.072692e-07	1.072692e-07
1.800000e+02	1.840000e+02	3.097685e-05	8.899519e-08	8.899519e-08
1.840000e+02	1.880000e+02	3.031057e-05	8.227165e-08	8.227165e-08
1.880000e+02	1.920000e+02	2.984685e-05	9.075510e-08	9.075510e-08
1.920000e+02	1.960000e+02	2.912800e-05	8.394865e-08	8.394865e-08
1.960000e+02	2.000000e+02	2.850655e-05	8.074892e-08	8.074892e-08
# END HISTO1D

