# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_x //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_x
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_x //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_x
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_x
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$x_{j_4}^{\star}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} x_{j_4}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet4_x
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_x
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/jet4_x
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.831390e-04	4.079078e-06	4.079078e-06
-4.600000e+00	-4.200000e+00	8.004895e-04	6.600894e-06	6.600894e-06
-4.200000e+00	-3.800000e+00	1.533285e-03	9.639697e-06	9.639697e-06
-3.800000e+00	-3.400000e+00	2.641760e-03	1.352513e-05	1.352513e-05
-3.400000e+00	-3.000000e+00	4.361038e-03	1.840392e-05	1.840392e-05
-3.000000e+00	-2.600000e+00	6.957720e-03	1.185016e-04	1.185016e-04
-2.600000e+00	-2.200000e+00	1.024448e-02	2.846126e-05	2.846126e-05
-2.200000e+00	-1.800000e+00	1.469084e-02	3.385400e-05	3.385400e-05
-1.800000e+00	-1.400000e+00	2.060584e-02	4.312616e-05	4.312616e-05
-1.400000e+00	-1.000000e+00	2.848153e-02	9.361744e-05	9.361744e-05
-1.000000e+00	-6.000000e-01	4.114215e-02	5.901568e-05	5.901568e-05
-6.000000e-01	-2.000000e-01	5.695352e-02	7.592532e-05	7.592532e-05
-2.000000e-01	2.000000e-01	4.201725e-02	6.415563e-05	6.415563e-05
2.000000e-01	6.000000e-01	4.397830e-02	7.298634e-05	7.298634e-05
6.000000e-01	1.000000e+00	2.118672e-02	4.588215e-05	4.588215e-05
1.000000e+00	1.400000e+00	8.533243e-03	8.651889e-05	8.651889e-05
1.400000e+00	1.800000e+00	3.301445e-03	1.627147e-05	1.627147e-05
1.800000e+00	2.200000e+00	1.165454e-03	9.139967e-06	9.139967e-06
2.200000e+00	2.600000e+00	3.551915e-04	5.046749e-06	5.046749e-06
2.600000e+00	3.000000e+00	9.035728e-05	2.204995e-06	2.204995e-06
3.000000e+00	3.400000e+00	1.948190e-05	1.049201e-06	1.049201e-06
3.400000e+00	3.800000e+00	2.544293e-06	3.260419e-07	3.260419e-07
3.800000e+00	4.200000e+00	2.904670e-07	1.007293e-07	1.007293e-07
4.200000e+00	4.600000e+00	2.565418e-09	2.398410e-09	2.398410e-09
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_x
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/jet4_x
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.771301e-05	1.847272e-07	1.847272e-07
-4.600000e+00	-4.200000e+00	3.351215e-05	2.765400e-07	2.765400e-07
-4.200000e+00	-3.800000e+00	5.692167e-05	3.416344e-07	3.416344e-07
-3.800000e+00	-3.400000e+00	9.213530e-05	5.544188e-07	5.544188e-07
-3.400000e+00	-3.000000e+00	1.442689e-04	5.670737e-07	5.670737e-07
-3.000000e+00	-2.600000e+00	2.147207e-04	7.340785e-07	7.340785e-07
-2.600000e+00	-2.200000e+00	3.121293e-04	1.011615e-06	1.011615e-06
-2.200000e+00	-1.800000e+00	4.492025e-04	1.185203e-06	1.185203e-06
