# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_d_23 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/log10_d_23
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_d_23
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_d_23 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/log10_d_23
XLabel=$\sqrt{d_{23}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{23}}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/log10_d_23
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_d_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_d_23
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361291e-01	2.695072e-03	3.919582e-05	3.919582e-05
2.361291e-01	2.722583e-01	4.330148e-03	4.105322e-05	4.105322e-05
2.722583e-01	3.083874e-01	7.039594e-03	5.431786e-05	5.431786e-05
3.083874e-01	3.445165e-01	1.082328e-02	8.729584e-05	8.729584e-05
3.445165e-01	3.806457e-01	1.603107e-02	8.620172e-05	8.620172e-05
3.806457e-01	4.167748e-01	2.347880e-02	1.058668e-04	1.058668e-04
4.167748e-01	4.529039e-01	3.319634e-02	1.160573e-04	1.160573e-04
4.529039e-01	4.890331e-01	4.645284e-02	1.480126e-04	1.480126e-04
4.890331e-01	5.251622e-01	6.334982e-02	1.619958e-04	1.619958e-04
5.251622e-01	5.612913e-01	8.423703e-02	2.030372e-04	2.030372e-04
5.612913e-01	5.974205e-01	1.097451e-01	2.218858e-04	2.218858e-04
5.974205e-01	6.335496e-01	1.398477e-01	2.635561e-04	2.635561e-04
6.335496e-01	6.696787e-01	1.745676e-01	2.855378e-04	2.855378e-04
6.696787e-01	7.058079e-01	2.147778e-01	5.043528e-04	5.043528e-04
7.058079e-01	7.419370e-01	2.576177e-01	3.392971e-04	3.392971e-04
7.419370e-01	7.780661e-01	3.020853e-01	3.772242e-04	3.772242e-04
7.780661e-01	8.141953e-01	3.518176e-01	4.145926e-04	4.145926e-04
8.141953e-01	8.503244e-01	3.998979e-01	5.048102e-04	5.048102e-04
8.503244e-01	8.864535e-01	4.515338e-01	4.737191e-04	4.737191e-04
8.864535e-01	9.225827e-01	5.031534e-01	4.816173e-04	4.816173e-04
9.225827e-01	9.587118e-01	5.537522e-01	5.192333e-04	5.192333e-04
9.587118e-01	9.948409e-01	6.047934e-01	5.817233e-04	5.817233e-04
