# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/H3_y //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H3_y
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/H3_y //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H3_y
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/H3_y
XLabel=$y_{h}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}^{\star}$ (pb)
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/H3_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/H3_y
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.760000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.280000e+00	-2.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.040000e+00	-1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.800000e+00	-1.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.560000e+00	-1.320000e+00	5.341271e-09	2.941110e-09	2.941110e-09
-1.320000e+00	-1.080000e+00	3.532138e-06	1.828813e-07	1.828813e-07
-1.080000e+00	-8.400000e-01	2.299572e-04	2.761398e-05	2.761398e-05
-8.400000e-01	-6.000000e-01	5.459150e-03	2.368046e-05	2.368046e-05
-6.000000e-01	-3.600000e-01	4.551913e-02	6.073991e-05	6.073991e-05
-3.600000e-01	-1.200000e-01	1.533612e-01	1.192798e-04	1.192798e-04
-1.200000e-01	1.200000e-01	2.237443e-01	1.542782e-04	1.542782e-04
1.200000e-01	3.600000e-01	1.535459e-01	1.144539e-04	1.144539e-04
3.600000e-01	6.000000e-01	4.550158e-02	5.800180e-05	5.800180e-05
6.000000e-01	8.400000e-01	5.475583e-03	1.800843e-05	1.800843e-05
8.400000e-01	1.080000e+00	2.624447e-04	2.952120e-06	2.952120e-06
1.080000e+00	1.320000e+00	3.640420e-06	1.553025e-07	1.553025e-07
1.320000e+00	1.560000e+00	6.900371e-09	4.970386e-09	4.970386e-09
1.560000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	2.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.040000e+00	2.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.280000e+00	2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.520000e+00	2.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.760000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H3_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H3_y
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.760000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.280000e+00	-2.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.040000e+00	-1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.800000e+00	-1.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.560000e+00	-1.320000e+00	3.347508e-12	1.963375e-12	1.963375e-12
-1.320000e+00	-1.080000e+00	7.288954e-08	8.182832e-09	8.182832e-09
-1.080000e+00	-8.400000e-01	1.114229e-05	2.259308e-07	2.259308e-07
-8.400000e-01	-6.000000e-01	5.308513e-04	1.661416e-06	1.661416e-06
-6.000000e-01	-3.600000e-01	7.426958e-03	5.907704e-06	5.907704e-06
-3.600000e-01	-1.200000e-01	3.116732e-02	1.303673e-05	1.303673e-05
-1.200000e-01	1.200000e-01	4.774542e-02	1.565960e-05	1.565960e-05
1.200000e-01	3.600000e-01	3.116200e-02	1.306770e-05	1.306770e-05
3.600000e-01	6.000000e-01	7.426125e-03	5.921279e-06	5.921279e-06
6.000000e-01	8.400000e-01	5.330333e-04	1.584320e-06	1.584320e-06
8.400000e-01	1.080000e+00	1.089408e-05	1.450768e-07	1.450768e-07
1.080000e+00	1.320000e+00	8.853179e-08	1.766135e-08	1.766135e-08
1.320000e+00	1.560000e+00	8.939629e-10	8.830073e-10	8.830073e-10
1.560000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	2.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.040000e+00	2.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.280000e+00	2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.520000e+00	2.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.760000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

