# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
XLabel=$p_{T,hj_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1j_2}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/Hjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.866275e-03	2.940549e-06	2.940549e-06
1.000000e+01	2.000000e+01	3.568517e-03	2.713082e-06	2.713082e-06
2.000000e+01	3.000000e+01	2.168293e-03	2.003579e-06	2.003579e-06
3.000000e+01	4.000000e+01	1.422513e-03	2.409197e-06	2.409197e-06
4.000000e+01	5.000000e+01	9.672721e-04	1.575606e-06	1.575606e-06
5.000000e+01	6.000000e+01	6.653133e-04	1.183870e-06	1.183870e-06
6.000000e+01	7.000000e+01	4.586821e-04	1.325964e-06	1.325964e-06
7.000000e+01	8.000000e+01	3.166928e-04	8.685302e-07	8.685302e-07
8.000000e+01	9.000000e+01	2.200995e-04	7.887832e-07	7.887832e-07
9.000000e+01	1.000000e+02	1.535473e-04	6.228634e-07	6.228634e-07
1.000000e+02	1.100000e+02	1.090446e-04	5.934568e-07	5.934568e-07
1.100000e+02	1.200000e+02	7.669904e-05	4.588297e-07	4.588297e-07
1.200000e+02	1.300000e+02	5.415556e-05	3.962052e-07	3.962052e-07
1.300000e+02	1.400000e+02	3.953380e-05	3.736925e-07	3.736925e-07
1.400000e+02	1.500000e+02	2.823273e-05	2.586818e-07	2.586818e-07
1.500000e+02	1.600000e+02	2.018059e-05	2.518424e-07	2.518424e-07
1.600000e+02	1.700000e+02	1.496219e-05	1.867242e-07	1.867242e-07
1.700000e+02	1.800000e+02	1.066882e-05	3.509292e-07	3.509292e-07
1.800000e+02	1.900000e+02	8.214961e-06	1.426943e-07	1.426943e-07
1.900000e+02	2.000000e+02	6.249475e-06	1.184210e-07	1.184210e-07
2.000000e+02	2.100000e+02	4.645944e-06	1.032796e-07	1.032796e-07
2.100000e+02	2.200000e+02	3.397850e-06	9.318175e-08	9.318175e-08
2.200000e+02	2.300000e+02	2.623485e-06	7.272420e-08	7.272420e-08
2.300000e+02	2.400000e+02	2.083125e-06	1.104123e-07	1.104123e-07
2.400000e+02	2.500000e+02	1.486526e-06	7.287337e-08	7.287337e-08
2.500000e+02	2.600000e+02	1.114403e-06	4.164504e-08	4.164504e-08
2.600000e+02	2.700000e+02	8.909771e-07	4.673684e-08	4.673684e-08
2.700000e+02	2.800000e+02	7.028300e-07	3.464924e-08	3.464924e-08
2.800000e+02	2.900000e+02	5.335664e-07	3.479142e-08	3.479142e-08
2.900000e+02	3.000000e+02	4.206067e-07	2.559644e-08	2.559644e-08
3.000000e+02	3.100000e+02	3.073638e-07	3.235688e-08	3.235688e-08
3.100000e+02	3.200000e+02	2.054799e-07	2.998876e-08	2.998876e-08
3.200000e+02	3.300000e+02	2.023071e-07	1.391259e-08	1.391259e-08
3.300000e+02	3.400000e+02	1.533190e-07	1.257811e-08	1.257811e-08
3.400000e+02	3.500000e+02	1.146411e-07	1.714729e-08	1.714729e-08
3.500000e+02	3.600000e+02	1.065882e-07	1.152433e-08	1.152433e-08
3.600000e+02	3.700000e+02	8.568713e-08	1.004570e-08	1.004570e-08
3.700000e+02	3.800000e+02	6.320025e-08	5.634082e-09	5.634082e-09
3.800000e+02	3.900000e+02	5.092271e-08	9.791145e-09	9.791145e-09
3.900000e+02	4.000000e+02	3.577623e-08	4.401843e-09	4.401843e-09
4.000000e+02	4.100000e+02	3.292433e-08	4.818686e-09	4.818686e-09
4.100000e+02	4.200000e+02	3.165530e-08	5.797202e-09	5.797202e-09
4.200000e+02	4.300000e+02	2.479068e-08	5.760166e-09	5.760166e-09
4.300000e+02	4.400000e+02	1.139793e-08	3.932150e-09	3.932150e-09
4.400000e+02	4.500000e+02	1.800204e-08	4.055493e-09	4.055493e-09
4.500000e+02	4.600000e+02	9.647438e-09	1.774630e-09	1.774630e-09
4.600000e+02	4.700000e+02	1.132838e-08	2.390285e-09	2.390285e-09
4.700000e+02	4.800000e+02	6.819966e-09	1.308299e-09	1.308299e-09
4.800000e+02	4.900000e+02	6.491860e-09	1.447097e-09	1.447097e-09
4.900000e+02	5.000000e+02	5.198913e-09	1.465535e-09	1.465535e-09
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.142189e-03	3.647085e-07	3.647085e-07
1.000000e+01	2.000000e+01	7.625189e-04	3.134454e-07	3.134454e-07
2.000000e+01	3.000000e+01	4.351601e-04	2.353089e-07	2.353089e-07
