# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_y //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/Hjj_y
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_y //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/Hjj_y
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_y
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/Hjj_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/Hjj_y
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.600000e+00	-6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.400000e+00	-6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.200000e+00	-6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.000000e+00	-5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.800000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.400000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	1.496181e-14	1.496181e-14	1.496181e-14
-2.800000e+00	-2.600000e+00	4.126432e-08	1.139542e-08	1.139542e-08
-2.600000e+00	-2.400000e+00	2.168416e-06	2.851518e-07	2.851518e-07
-2.400000e+00	-2.200000e+00	3.021714e-05	1.080660e-06	1.080660e-06
-2.200000e+00	-2.000000e+00	1.987251e-04	2.691630e-06	2.691630e-06
-2.000000e+00	-1.800000e+00	8.274980e-04	5.940513e-06	5.940513e-06
-1.800000e+00	-1.600000e+00	2.476584e-03	1.175876e-05	1.175876e-05
-1.600000e+00	-1.400000e+00	5.864135e-03	1.816504e-05	1.816504e-05
-1.400000e+00	-1.200000e+00	1.195531e-02	2.859365e-05	2.859365e-05
-1.200000e+00	-1.000000e+00	2.116196e-02	3.730384e-05	3.730384e-05
-1.000000e+00	-8.000000e-01	3.422711e-02	5.479562e-05	5.479562e-05
-8.000000e-01	-6.000000e-01	5.059615e-02	6.847041e-05	6.847041e-05
-6.000000e-01	-4.000000e-01	6.923470e-02	8.304244e-05	8.304244e-05
-4.000000e-01	-2.000000e-01	8.623360e-02	9.848313e-05	9.848313e-05
-2.000000e-01	0.000000e+00	9.699310e-02	1.014502e-04	1.014502e-04
0.000000e+00	2.000000e-01	9.704550e-02	1.446374e-04	1.446374e-04
2.000000e-01	4.000000e-01	8.631270e-02	9.826515e-05	9.826515e-05
4.000000e-01	6.000000e-01	6.922265e-02	8.785932e-05	8.785932e-05
6.000000e-01	8.000000e-01	5.070760e-02	6.837560e-05	6.837560e-05
8.000000e-01	1.000000e+00	3.412130e-02	5.343269e-05	5.343269e-05
1.000000e+00	1.200000e+00	2.116765e-02	3.944158e-05	3.944158e-05
1.200000e+00	1.400000e+00	1.193611e-02	3.094716e-05	3.094716e-05
1.400000e+00	1.600000e+00	5.885500e-03	1.803976e-05	1.803976e-05
1.600000e+00	1.800000e+00	2.456429e-03	1.209145e-05	1.209145e-05
1.800000e+00	2.000000e+00	8.404530e-04	6.737672e-06	6.737672e-06
2.000000e+00	2.200000e+00	1.975130e-04	3.508645e-06	3.508645e-06
2.200000e+00	2.400000e+00	3.072502e-05	9.073814e-07	9.073814e-07
2.400000e+00	2.600000e+00	2.257198e-06	2.443533e-07	2.443533e-07
2.600000e+00	2.800000e+00	2.209029e-08	3.782223e-09	3.782223e-09
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
