# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
YLabel=$\langle N_{gap} \rangle$
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/avgNGapJets_mjj
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj
Title=h(2*) $\oplus$ PS
XLabel=mjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+02	nan	nan	nan
1.500000e+02	3.000000e+02	nan	nan	nan
3.000000e+02	4.500000e+02	nan	nan	nan
4.500000e+02	6.000000e+02	nan	nan	nan
6.000000e+02	7.500000e+02	1.125878e+00	1.806409e-03	1.806409e-03
7.500000e+02	9.000000e+02	1.132873e+00	1.430241e-03	1.430241e-03
9.000000e+02	1.050000e+03	1.143679e+00	1.366451e-03	1.366451e-03
1.050000e+03	1.200000e+03	1.147789e+00	1.434692e-03	1.434692e-03
1.200000e+03	1.350000e+03	1.153515e+00	1.535335e-03	1.535335e-03
1.350000e+03	1.500000e+03	1.157183e+00	1.634146e-03	1.634146e-03
1.500000e+03	1.650000e+03	1.157489e+00	1.785692e-03	1.785692e-03
1.650000e+03	1.800000e+03	1.165010e+00	1.740234e-03	1.740234e-03
1.800000e+03	1.950000e+03	1.165559e+00	1.871077e-03	1.871077e-03
1.950000e+03	2.100000e+03	1.168846e+00	2.030370e-03	2.030370e-03
2.100000e+03	2.250000e+03	1.170702e+00	2.220872e-03	2.220872e-03
2.250000e+03	2.400000e+03	1.166512e+00	2.524574e-03	2.524574e-03
2.400000e+03	2.550000e+03	1.163220e+00	2.829174e-03	2.829174e-03
2.550000e+03	2.700000e+03	1.169270e+00	2.986685e-03	2.986685e-03
2.700000e+03	2.850000e+03	1.166910e+00	3.714451e-03	3.714451e-03
2.850000e+03	3.000000e+03	1.158208e+00	4.265571e-03	4.265571e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_mjj
Title=h(2*) $\oplus$ PS-ffac
XLabel=mjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+02	nan	nan	nan
1.500000e+02	3.000000e+02	nan	nan	nan
3.000000e+02	4.500000e+02	nan	nan	nan
4.500000e+02	6.000000e+02	nan	nan	nan
6.000000e+02	7.500000e+02	1.088839e+00	6.496080e-04	6.496080e-04
7.500000e+02	9.000000e+02	1.094959e+00	5.858462e-04	5.858462e-04
9.000000e+02	1.050000e+03	1.099555e+00	5.967594e-04	5.967594e-04
1.050000e+03	1.200000e+03	1.104178e+00	6.596020e-04	6.596020e-04
1.200000e+03	1.350000e+03	1.106032e+00	7.462507e-04	7.462507e-04
1.350000e+03	1.500000e+03	1.108952e+00	8.376118e-04	8.376118e-04
1.500000e+03	1.650000e+03	1.107402e+00	8.736742e-04	8.736742e-04
1.650000e+03	1.800000e+03	1.107644e+00	9.861380e-04	9.861380e-04
1.800000e+03	1.950000e+03	1.110136e+00	1.106984e-03	1.106984e-03
1.950000e+03	2.100000e+03	1.109015e+00	1.267271e-03	1.267271e-03
2.100000e+03	2.250000e+03	1.107350e+00	1.409202e-03	1.409202e-03
2.250000e+03	2.400000e+03	1.108222e+00	1.563474e-03	1.563474e-03
2.400000e+03	2.550000e+03	1.105378e+00	1.711585e-03	1.711585e-03
2.550000e+03	2.700000e+03	1.104280e+00	2.031253e-03	2.031253e-03
2.700000e+03	2.850000e+03	1.101531e+00	2.081980e-03	2.081980e-03
2.850000e+03	3.000000e+03	1.107220e+00	2.330217e-03	2.330217e-03
# END HISTO1D

