# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.060165e-04	6.074617e-06	6.074617e-06
2.000000e-01	4.000000e-01	1.808770e-03	1.178273e-05	1.178273e-05
4.000000e-01	6.000000e-01	3.145543e-03	1.397844e-05	1.397844e-05
6.000000e-01	8.000000e-01	4.669545e-03	1.728677e-05	1.728677e-05
8.000000e-01	1.000000e+00	6.358740e-03	2.266118e-05	2.266118e-05
1.000000e+00	1.200000e+00	8.358890e-03	2.712042e-05	2.712042e-05
1.200000e+00	1.400000e+00	1.076737e-02	3.253086e-05	3.253086e-05
1.400000e+00	1.600000e+00	1.365584e-02	3.785517e-05	3.785517e-05
1.600000e+00	1.800000e+00	1.712833e-02	4.225182e-05	4.225182e-05
1.800000e+00	2.000000e+00	2.093450e-02	4.675552e-05	4.675552e-05
2.000000e+00	2.200000e+00	2.486735e-02	5.246358e-05	5.246358e-05
2.200000e+00	2.400000e+00	2.890632e-02	5.706597e-05	5.706597e-05
2.400000e+00	2.600000e+00	3.303293e-02	5.528892e-05	5.528892e-05
2.600000e+00	2.800000e+00	3.727336e-02	5.864906e-05	5.864906e-05
2.800000e+00	3.000000e+00	4.184494e-02	7.497106e-05	7.497106e-05
3.000000e+00	3.200000e+00	4.616424e-02	6.872663e-05	6.872663e-05
3.200000e+00	3.400000e+00	4.608766e-02	6.859229e-05	6.859229e-05
3.400000e+00	3.600000e+00	4.568177e-02	6.536048e-05	6.536048e-05
3.600000e+00	3.800000e+00	4.451905e-02	7.531910e-05	7.531910e-05
3.800000e+00	4.000000e+00	4.278832e-02	6.873069e-05	6.873069e-05
