# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hj1_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	7.549156e-04	1.035185e-05	1.035185e-05
1.047198e-01	2.094395e-01	7.525548e-04	1.133344e-05	1.133344e-05
2.094395e-01	3.141593e-01	7.826710e-04	1.202117e-05	1.202117e-05
3.141593e-01	4.188790e-01	8.302590e-04	1.038413e-05	1.038413e-05
4.188790e-01	5.235988e-01	8.850940e-04	1.236726e-05	1.236726e-05
5.235988e-01	6.283185e-01	9.372379e-04	1.247724e-05	1.247724e-05
6.283185e-01	7.330383e-01	1.045778e-03	1.211073e-05	1.211073e-05
7.330383e-01	8.377580e-01	1.139736e-03	1.685534e-05	1.685534e-05
8.377580e-01	9.424778e-01	1.301815e-03	1.415177e-05	1.415177e-05
9.424778e-01	1.047198e+00	1.486950e-03	1.659524e-05	1.659524e-05
1.047198e+00	1.151917e+00	1.753845e-03	2.155128e-05	2.155128e-05
1.151917e+00	1.256637e+00	2.070437e-03	2.269952e-05	2.269952e-05
1.256637e+00	1.361357e+00	2.554227e-03	2.650385e-05	2.650385e-05
1.361357e+00	1.466077e+00	3.210028e-03	2.459429e-05	2.459429e-05
1.466077e+00	1.570796e+00	4.136136e-03	3.074814e-05	3.074814e-05
1.570796e+00	1.675516e+00	5.640392e-03	3.826000e-05	3.826000e-05
1.675516e+00	1.780236e+00	8.060260e-03	5.119197e-05	5.119197e-05
1.780236e+00	1.884956e+00	1.185432e-02	6.176847e-05	6.176847e-05
1.884956e+00	1.989675e+00	1.785277e-02	7.089672e-05	7.089672e-05
1.989675e+00	2.094395e+00	2.618536e-02	8.757304e-05	8.757304e-05
