# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{excl}$ (pb)
Legend=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_jj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.782428e-02	5.516411e-05	5.516411e-05
1.047198e-01	2.094395e-01	2.793926e-02	5.268726e-05	5.268726e-05
2.094395e-01	3.141593e-01	2.792853e-02	5.604765e-05	5.604765e-05
3.141593e-01	4.188790e-01	2.815457e-02	6.761737e-05	6.761737e-05
4.188790e-01	5.235988e-01	2.847070e-02	7.059973e-05	7.059973e-05
5.235988e-01	6.283185e-01	2.876447e-02	6.989175e-05	6.989175e-05
6.283185e-01	7.330383e-01	2.902218e-02	7.439851e-05	7.439851e-05
7.330383e-01	8.377580e-01	2.932618e-02	7.419727e-05	7.419727e-05
8.377580e-01	9.424778e-01	2.996364e-02	7.050351e-05	7.050351e-05
9.424778e-01	1.047198e+00	3.025644e-02	1.680341e-04	1.680341e-04
1.047198e+00	1.151917e+00	3.093451e-02	6.934620e-05	6.934620e-05
1.151917e+00	1.256637e+00	3.157798e-02	6.511633e-05	6.511633e-05
1.256637e+00	1.361357e+00	3.212378e-02	7.276404e-05	7.276404e-05
1.361357e+00	1.466077e+00	3.282044e-02	6.217593e-05	6.217593e-05
1.466077e+00	1.570796e+00	3.366592e-02	6.071389e-05	6.071389e-05
1.570796e+00	1.675516e+00	3.434352e-02	6.075737e-05	6.075737e-05
1.675516e+00	1.780236e+00	3.536117e-02	7.529985e-05	7.529985e-05
1.780236e+00	1.884956e+00	3.610716e-02	9.355938e-05	9.355938e-05
1.884956e+00	1.989675e+00	3.718913e-02	7.870298e-05	7.870298e-05
1.989675e+00	2.094395e+00	3.808832e-02	8.816569e-05	8.816569e-05
2.094395e+00	2.199115e+00	3.924841e-02	9.358538e-05	9.358538e-05
2.199115e+00	2.303835e+00	4.034571e-02	9.548315e-05	9.548315e-05
2.303835e+00	2.408554e+00	4.148392e-02	1.010908e-04	1.010908e-04
2.408554e+00	2.513274e+00	4.233922e-02	1.025196e-04	1.025196e-04
2.513274e+00	2.617994e+00	4.329661e-02	1.009478e-04	1.009478e-04
2.617994e+00	2.722714e+00	4.440651e-02	1.096822e-04	1.096822e-04
2.722714e+00	2.827433e+00	4.529653e-02	9.044427e-05	9.044427e-05
2.827433e+00	2.932153e+00	4.583200e-02	8.869622e-05	8.869622e-05
2.932153e+00	3.036873e+00	4.623558e-02	9.337725e-05	9.337725e-05
3.036873e+00	3.141593e+00	4.681499e-02	8.507589e-05	8.507589e-05
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	6.334107e-03	6.989108e-06	6.989108e-06
1.047198e-01	2.094395e-01	6.348274e-03	7.956383e-06	7.956383e-06
2.094395e-01	3.141593e-01	6.366708e-03	7.445487e-06	7.445487e-06
3.141593e-01	4.188790e-01	6.398152e-03	7.974454e-06	7.974454e-06
4.188790e-01	5.235988e-01	6.436896e-03	8.533648e-06	8.533648e-06
5.235988e-01	6.283185e-01	6.480683e-03	8.457697e-06	8.457697e-06
6.283185e-01	7.330383e-01	6.560657e-03	9.051939e-06	9.051939e-06
7.330383e-01	8.377580e-01	6.612888e-03	9.049947e-06	9.049947e-06
8.377580e-01	9.424778e-01	6.721565e-03	9.570283e-06	9.570283e-06
9.424778e-01	1.047198e+00	6.819912e-03	9.821864e-06	9.821864e-06
1.047198e+00	1.151917e+00	6.915080e-03	8.676282e-06	8.676282e-06
1.151917e+00	1.256637e+00	7.022057e-03	8.188168e-06	8.188168e-06
1.256637e+00	1.361357e+00	7.163737e-03	8.195574e-06	8.195574e-06
1.361357e+00	1.466077e+00	7.290830e-03	7.748137e-06	7.748137e-06
1.466077e+00	1.570796e+00	7.447259e-03	7.947619e-06	7.947619e-06
1.570796e+00	1.675516e+00	7.609158e-03	8.356532e-06	8.356532e-06
1.675516e+00	1.780236e+00	7.761621e-03	8.470099e-06	8.470099e-06
1.780236e+00	1.884956e+00	7.943874e-03	1.115551e-05	1.115551e-05
1.884956e+00	1.989675e+00	8.130326e-03	9.299325e-06	9.299325e-06
1.989675e+00	2.094395e+00	8.323824e-03	9.948900e-06	9.948900e-06
2.094395e+00	2.199115e+00	8.507626e-03	1.079019e-05	1.079019e-05
2.199115e+00	2.303835e+00	8.700167e-03	1.123611e-05	1.123611e-05
2.303835e+00	2.408554e+00	8.897033e-03	1.162381e-05	1.162381e-05
2.408554e+00	2.513274e+00	9.089154e-03	1.270057e-05	1.270057e-05
2.513274e+00	2.617994e+00	9.240893e-03	1.150791e-05	1.150791e-05
2.617994e+00	2.722714e+00	9.407211e-03	1.160766e-05	1.160766e-05
2.722714e+00	2.827433e+00	9.569925e-03	1.052914e-05	1.052914e-05
2.827433e+00	2.932153e+00	9.670655e-03	1.069022e-05	1.069022e-05
2.932153e+00	3.036873e+00	9.730672e-03	9.863309e-06	9.863309e-06
3.036873e+00	3.141593e+00	9.786956e-03	9.765612e-06	9.765612e-06
# END HISTO1D

