# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltay_H_j2
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/deltay_H_j2
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.083142e-02	2.837648e-05	2.837648e-05
2.000000e-01	4.000000e-01	1.160824e-02	3.030935e-05	3.030935e-05
4.000000e-01	6.000000e-01	1.302994e-02	3.243133e-05	3.243133e-05
6.000000e-01	8.000000e-01	1.508148e-02	3.460697e-05	3.460697e-05
8.000000e-01	1.000000e+00	1.778197e-02	3.898486e-05	3.898486e-05
1.000000e+00	1.200000e+00	2.094583e-02	4.545973e-05	4.545973e-05
1.200000e+00	1.400000e+00	2.433142e-02	4.794930e-05	4.794930e-05
1.400000e+00	1.600000e+00	2.802953e-02	5.355731e-05	5.355731e-05
1.600000e+00	1.800000e+00	3.156175e-02	5.474336e-05	5.474336e-05
1.800000e+00	2.000000e+00	3.486713e-02	7.131553e-05	7.131553e-05
2.000000e+00	2.200000e+00	3.792020e-02	5.955393e-05	5.955393e-05
2.200000e+00	2.400000e+00	4.036826e-02	6.600347e-05	6.600347e-05
2.400000e+00	2.600000e+00	4.224873e-02	6.382889e-05	6.382889e-05
2.600000e+00	2.800000e+00	4.308735e-02	6.389286e-05	6.389286e-05
2.800000e+00	3.000000e+00	4.343060e-02	7.202503e-05	7.202503e-05
3.000000e+00	3.200000e+00	4.267144e-02	7.513566e-05	7.513566e-05
3.200000e+00	3.400000e+00	4.110084e-02	1.015091e-04	1.015091e-04
3.400000e+00	3.600000e+00	3.883920e-02	6.083860e-05	6.083860e-05
3.600000e+00	3.800000e+00	3.605065e-02	6.968466e-05	6.968466e-05
3.800000e+00	4.000000e+00	3.272057e-02	5.879745e-05	5.879745e-05
