# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j1j3_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j3_mass
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j1j3_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j1j3_mass //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j1j3_mass
XLabel=$m_{j_1j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j1j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j1j3_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j1j3_mass
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.332870e-05	1.512497e-07	1.512497e-07
4.000000e+01	8.000000e+01	1.600112e-04	3.559731e-07	3.559731e-07
8.000000e+01	1.200000e+02	1.051606e-04	2.994217e-07	2.994217e-07
1.200000e+02	1.600000e+02	6.765597e-05	2.125599e-07	2.125599e-07
1.600000e+02	2.000000e+02	4.477362e-05	1.677500e-07	1.677500e-07
2.000000e+02	2.400000e+02	3.028095e-05	1.416138e-07	1.416138e-07
2.400000e+02	2.800000e+02	2.094641e-05	1.054416e-07	1.054416e-07
2.800000e+02	3.200000e+02	1.569933e-05	1.040822e-07	1.040822e-07
3.200000e+02	3.600000e+02	1.294562e-05	8.253018e-08	8.253018e-08
3.600000e+02	4.000000e+02	1.159963e-05	7.686360e-08	7.686360e-08
4.000000e+02	4.400000e+02	1.127636e-05	7.821904e-08	7.821904e-08
4.400000e+02	4.800000e+02	1.154975e-05	7.821175e-08	7.821175e-08
4.800000e+02	5.200000e+02	1.207201e-05	8.343485e-08	8.343485e-08
5.200000e+02	5.600000e+02	1.268005e-05	8.794817e-08	8.794817e-08
5.600000e+02	6.000000e+02	1.332966e-05	8.372347e-08	8.372347e-08
6.000000e+02	6.400000e+02	1.384941e-05	8.995023e-08	8.995023e-08
6.400000e+02	6.800000e+02	1.425115e-05	9.836348e-08	9.836348e-08
6.800000e+02	7.200000e+02	1.465924e-05	9.782967e-08	9.782967e-08
7.200000e+02	7.600000e+02	1.487015e-05	1.118874e-07	1.118874e-07
7.600000e+02	8.000000e+02	1.522196e-05	8.544556e-08	8.544556e-08
8.000000e+02	8.400000e+02	1.525693e-05	9.177203e-08	9.177203e-08
8.400000e+02	8.800000e+02	1.521804e-05	9.061626e-08	9.061626e-08
8.800000e+02	9.200000e+02	1.505766e-05	9.061115e-08	9.061115e-08
9.200000e+02	9.600000e+02	1.492294e-05	9.095603e-08	9.095603e-08
9.600000e+02	1.000000e+03	1.472150e-05	8.881754e-08	8.881754e-08
1.000000e+03	1.040000e+03	1.434545e-05	1.029257e-07	1.029257e-07
1.040000e+03	1.080000e+03	1.401855e-05	8.668286e-08	8.668286e-08
1.080000e+03	1.120000e+03	1.367745e-05	9.099365e-08	9.099365e-08
1.120000e+03	1.160000e+03	1.308804e-05	9.342002e-08	9.342002e-08
1.160000e+03	1.200000e+03	1.272178e-05	1.184920e-07	1.184920e-07
1.200000e+03	1.240000e+03	1.235389e-05	9.314850e-08	9.314850e-08
1.240000e+03	1.280000e+03	1.165539e-05	8.193004e-08	8.193004e-08
1.280000e+03	1.320000e+03	1.125811e-05	7.408609e-08	7.408609e-08
1.320000e+03	1.360000e+03	1.072451e-05	1.018870e-07	1.018870e-07
1.360000e+03	1.400000e+03	1.026683e-05	7.230674e-08	7.230674e-08
1.400000e+03	1.440000e+03	9.685395e-06	7.769995e-08	7.769995e-08
1.440000e+03	1.480000e+03	9.282635e-06	7.300165e-08	7.300165e-08
1.480000e+03	1.520000e+03	8.802192e-06	7.100625e-08	7.100625e-08
1.520000e+03	1.560000e+03	8.425265e-06	7.445125e-08	7.445125e-08
1.560000e+03	1.600000e+03	7.854872e-06	7.059103e-08	7.059103e-08
1.600000e+03	1.640000e+03	7.601150e-06	7.951026e-08	7.951026e-08
1.640000e+03	1.680000e+03	7.133798e-06	5.806029e-08	5.806029e-08
1.680000e+03	1.720000e+03	6.570242e-06	6.028632e-08	6.028632e-08
1.720000e+03	1.760000e+03	6.260143e-06	6.031089e-08	6.031089e-08
1.760000e+03	1.800000e+03	6.013040e-06	6.403451e-08	6.403451e-08
1.800000e+03	1.840000e+03	5.645968e-06	5.401777e-08	5.401777e-08
1.840000e+03	1.880000e+03	5.428540e-06	7.571972e-08	7.571972e-08
1.880000e+03	1.920000e+03	5.019632e-06	5.922326e-08	5.922326e-08
1.920000e+03	1.960000e+03	4.655885e-06	5.853034e-08	5.853034e-08
1.960000e+03	2.000000e+03	4.401345e-06	4.583472e-08	4.583472e-08
2.000000e+03	2.040000e+03	4.178255e-06	4.438447e-08	4.438447e-08
2.040000e+03	2.080000e+03	3.916570e-06	4.217563e-08	4.217563e-08
2.080000e+03	2.120000e+03	3.635795e-06	4.865981e-08	4.865981e-08
2.120000e+03	2.160000e+03	3.403717e-06	4.557205e-08	4.557205e-08
2.160000e+03	2.200000e+03	3.177640e-06	4.019067e-08	4.019067e-08
2.200000e+03	2.240000e+03	2.960627e-06	4.239931e-08	4.239931e-08
2.240000e+03	2.280000e+03	2.813565e-06	3.697928e-08	3.697928e-08
2.280000e+03	2.320000e+03	2.499288e-06	8.933931e-08	8.933931e-08
2.320000e+03	2.360000e+03	2.431799e-06	2.946219e-08	2.946219e-08
2.360000e+03	2.400000e+03	2.266193e-06	3.933276e-08	3.933276e-08
2.400000e+03	2.440000e+03	2.149501e-06	3.849152e-08	3.849152e-08
2.440000e+03	2.480000e+03	1.982392e-06	3.517870e-08	3.517870e-08
2.480000e+03	2.520000e+03	1.879982e-06	3.504308e-08	3.504308e-08
2.520000e+03	2.560000e+03	1.663277e-06	2.827641e-08	2.827641e-08
