# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j2j3_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	8.357662e-07	5.828271e-08	5.828271e-08
1.200000e+01	1.600000e+01	2.963590e-05	2.974029e-07	2.974029e-07
1.600000e+01	2.000000e+01	1.056182e-04	6.004914e-07	6.004914e-07
2.000000e+01	2.400000e+01	1.924449e-04	9.051281e-07	9.051281e-07
2.400000e+01	2.800000e+01	2.539755e-04	1.182861e-06	1.182861e-06
2.800000e+01	3.200000e+01	2.881338e-04	1.239503e-06	1.239503e-06
3.200000e+01	3.600000e+01	2.973690e-04	1.310442e-06	1.310442e-06
3.600000e+01	4.000000e+01	2.911150e-04	1.210910e-06	1.210910e-06
4.000000e+01	4.400000e+01	2.753095e-04	1.288112e-06	1.288112e-06
4.400000e+01	4.800000e+01	2.568428e-04	1.275495e-06	1.275495e-06
4.800000e+01	5.200000e+01	2.359928e-04	1.271695e-06	1.271695e-06
5.200000e+01	5.600000e+01	2.190969e-04	1.291682e-06	1.291682e-06
5.600000e+01	6.000000e+01	2.005664e-04	1.140492e-06	1.140492e-06
6.000000e+01	6.400000e+01	1.831834e-04	1.055334e-06	1.055334e-06
6.400000e+01	6.800000e+01	1.660651e-04	1.341651e-06	1.341651e-06
6.800000e+01	7.200000e+01	1.543520e-04	9.013150e-07	9.013150e-07
7.200000e+01	7.600000e+01	1.432077e-04	9.396010e-07	9.396010e-07
7.600000e+01	8.000000e+01	1.333581e-04	8.570360e-07	8.570360e-07
8.000000e+01	8.400000e+01	1.216276e-04	8.593839e-07	8.593839e-07
8.400000e+01	8.800000e+01	1.130771e-04	8.707795e-07	8.707795e-07
8.800000e+01	9.200000e+01	1.052207e-04	1.131945e-06	1.131945e-06
9.200000e+01	9.600000e+01	9.688055e-05	7.960602e-07	7.960602e-07
9.600000e+01	1.000000e+02	8.881348e-05	7.784878e-07	7.784878e-07
1.000000e+02	1.040000e+02	8.333095e-05	7.568707e-07	7.568707e-07
1.040000e+02	1.080000e+02	7.699563e-05	6.558000e-07	6.558000e-07
1.080000e+02	1.120000e+02	7.187890e-05	6.568542e-07	6.568542e-07
1.120000e+02	1.160000e+02	6.675432e-05	5.786388e-07	5.786388e-07
1.160000e+02	1.200000e+02	6.298825e-05	5.422756e-07	5.422756e-07
1.200000e+02	1.240000e+02	5.788887e-05	5.544498e-07	5.544498e-07
1.240000e+02	1.280000e+02	5.245430e-05	9.357387e-07	9.357387e-07
1.280000e+02	1.320000e+02	5.059295e-05	6.047725e-07	6.047725e-07
1.320000e+02	1.360000e+02	4.609378e-05	5.497516e-07	5.497516e-07
1.360000e+02	1.400000e+02	4.316470e-05	4.918070e-07	4.918070e-07
1.400000e+02	1.440000e+02	4.138198e-05	5.796427e-07	5.796427e-07
1.440000e+02	1.480000e+02	3.875330e-05	4.572283e-07	4.572283e-07
1.480000e+02	1.520000e+02	3.686857e-05	4.945919e-07	4.945919e-07
1.520000e+02	1.560000e+02	3.357025e-05	3.979415e-07	3.979415e-07
1.560000e+02	1.600000e+02	3.158727e-05	5.457352e-07	5.457352e-07
1.600000e+02	1.640000e+02	2.957123e-05	4.627516e-07	4.627516e-07
1.640000e+02	1.680000e+02	2.798852e-05	4.339428e-07	4.339428e-07
1.680000e+02	1.720000e+02	2.629055e-05	3.944319e-07	3.944319e-07
1.720000e+02	1.760000e+02	2.439706e-05	4.458408e-07	4.458408e-07
1.760000e+02	1.800000e+02	2.301827e-05	3.561080e-07	3.561080e-07
1.800000e+02	1.840000e+02	2.270526e-05	4.357566e-07	4.357566e-07
1.840000e+02	1.880000e+02	2.015621e-05	3.898788e-07	3.898788e-07
1.880000e+02	1.920000e+02	1.906489e-05	2.961778e-07	2.961778e-07
1.920000e+02	1.960000e+02	1.846983e-05	3.197379e-07	3.197379e-07
1.960000e+02	2.000000e+02	1.730783e-05	3.219810e-07	3.219810e-07
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass_fine
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	2.735650e-07	9.280682e-09	9.280682e-09
1.200000e+01	1.600000e+01	8.920947e-06	6.312830e-08	6.312830e-08
1.600000e+01	2.000000e+01	2.992545e-05	9.296434e-08	9.296434e-08
2.000000e+01	2.400000e+01	4.864185e-05	1.334522e-07	1.334522e-07
2.400000e+01	2.800000e+01	5.762243e-05	1.393743e-07	1.393743e-07
2.800000e+01	3.200000e+01	5.826000e-05	1.435839e-07	1.435839e-07
3.200000e+01	3.600000e+01	5.456752e-05	1.398044e-07	1.398044e-07
3.600000e+01	4.000000e+01	4.949742e-05	1.423018e-07	1.423018e-07
4.000000e+01	4.400000e+01	4.442868e-05	1.289773e-07	1.289773e-07
4.400000e+01	4.800000e+01	3.967115e-05	1.202267e-07	1.202267e-07
4.800000e+01	5.200000e+01	3.540830e-05	1.198554e-07	1.198554e-07
5.200000e+01	5.600000e+01	3.203678e-05	1.124226e-07	1.124226e-07
5.600000e+01	6.000000e+01	2.909723e-05	1.087175e-07	1.087175e-07
6.000000e+01	6.400000e+01	2.666987e-05	9.663925e-08	9.663925e-08
6.400000e+01	6.800000e+01	2.417282e-05	9.493527e-08	9.493527e-08
6.800000e+01	7.200000e+01	2.197556e-05	8.941148e-08	8.941148e-08
7.200000e+01	7.600000e+01	2.017451e-05	8.815923e-08	8.815923e-08
7.600000e+01	8.000000e+01	1.857569e-05	8.072070e-08	8.072070e-08
8.000000e+01	8.400000e+01	1.718107e-05	7.431793e-08	7.431793e-08
8.400000e+01	8.800000e+01	1.563660e-05	7.350549e-08	7.350549e-08
8.800000e+01	9.200000e+01	1.448092e-05	7.438066e-08	7.438066e-08
9.200000e+01	9.600000e+01	1.307376e-05	6.429608e-08	6.429608e-08
9.600000e+01	1.000000e+02	1.219966e-05	6.431399e-08	6.431399e-08
1.000000e+02	1.040000e+02	1.114221e-05	5.901958e-08	5.901958e-08
1.040000e+02	1.080000e+02	1.025486e-05	5.411938e-08	5.411938e-08
1.080000e+02	1.120000e+02	9.398900e-06	5.224955e-08	5.224955e-08
1.120000e+02	1.160000e+02	8.583100e-06	5.561640e-08	5.561640e-08
1.160000e+02	1.200000e+02	7.783385e-06	4.875565e-08	4.875565e-08
1.200000e+02	1.240000e+02	7.076928e-06	4.847583e-08	4.847583e-08
1.240000e+02	1.280000e+02	6.585787e-06	4.884052e-08	4.884052e-08
1.280000e+02	1.320000e+02	6.006963e-06	4.361391e-08	4.361391e-08
1.320000e+02	1.360000e+02	5.520790e-06	3.834679e-08	3.834679e-08
1.360000e+02	1.400000e+02	5.080430e-06	4.025155e-08	4.025155e-08
1.400000e+02	1.440000e+02	4.683935e-06	3.934229e-08	3.934229e-08
1.440000e+02	1.480000e+02	4.350600e-06	3.753719e-08	3.753719e-08
1.480000e+02	1.520000e+02	3.943235e-06	3.281175e-08	3.281175e-08
1.520000e+02	1.560000e+02	3.628423e-06	3.169614e-08	3.169614e-08
1.560000e+02	1.600000e+02	3.385445e-06	2.946529e-08	2.946529e-08
1.600000e+02	1.640000e+02	3.202917e-06	3.240703e-08	3.240703e-08
1.640000e+02	1.680000e+02	2.912440e-06	2.778473e-08	2.778473e-08
1.680000e+02	1.720000e+02	2.734608e-06	2.558170e-08	2.558170e-08
1.720000e+02	1.760000e+02	2.611230e-06	3.964666e-08	3.964666e-08
1.760000e+02	1.800000e+02	2.412367e-06	2.467933e-08	2.467933e-08
1.800000e+02	1.840000e+02	2.281236e-06	2.490413e-08	2.490413e-08
1.840000e+02	1.880000e+02	2.127509e-06	2.347747e-08	2.347747e-08
1.880000e+02	1.920000e+02	2.014452e-06	2.280125e-08	2.280125e-08
1.920000e+02	1.960000e+02	1.976656e-06	2.358064e-08	2.358064e-08
1.960000e+02	2.000000e+02	1.858189e-06	2.176962e-08	2.176962e-08
# END HISTO1D

