# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
XLabel=$y_{j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_2}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet2_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	4.106757e-03	1.466069e-05	1.466069e-05
-4.400000e+00	-4.200000e+00	1.152826e-02	2.522573e-05	2.522573e-05
-4.200000e+00	-4.000000e+00	1.670129e-02	3.395285e-05	3.395285e-05
-4.000000e+00	-3.800000e+00	2.228453e-02	3.893778e-05	3.893778e-05
-3.800000e+00	-3.600000e+00	2.807430e-02	5.001997e-05	5.001997e-05
-3.600000e+00	-3.400000e+00	3.273670e-02	5.271129e-05	5.271129e-05
-3.400000e+00	-3.200000e+00	3.611017e-02	6.200859e-05	6.200859e-05
-3.200000e+00	-3.000000e+00	3.730912e-02	1.019167e-04	1.019167e-04
-3.000000e+00	-2.800000e+00	3.676505e-02	6.501984e-05	6.501984e-05
-2.800000e+00	-2.600000e+00	3.429630e-02	6.785020e-05	6.785020e-05
-2.600000e+00	-2.400000e+00	3.028904e-02	6.104977e-05	6.104977e-05
-2.400000e+00	-2.200000e+00	2.533827e-02	5.325298e-05	5.325298e-05
-2.200000e+00	-2.000000e+00	2.022512e-02	4.803554e-05	4.803554e-05
-2.000000e+00	-1.800000e+00	1.539538e-02	4.023641e-05	4.023641e-05
-1.800000e+00	-1.600000e+00	1.105235e-02	3.250342e-05	3.250342e-05
-1.600000e+00	-1.400000e+00	7.492620e-03	2.510423e-05	2.510423e-05
-1.400000e+00	-1.200000e+00	4.786922e-03	1.969712e-05	1.969712e-05
-1.200000e+00	-1.000000e+00	2.807561e-03	3.586577e-05	3.586577e-05
-1.000000e+00	-8.000000e-01	1.515138e-03	1.047921e-05	1.047921e-05
-8.000000e-01	-6.000000e-01	7.267780e-04	6.554355e-06	6.554355e-06
-6.000000e-01	-4.000000e-01	2.938754e-04	4.394882e-06	4.394882e-06
-4.000000e-01	-2.000000e-01	9.332490e-05	2.473307e-06	2.473307e-06
-2.000000e-01	0.000000e+00	1.632093e-05	6.647987e-07	6.647987e-07
0.000000e+00	2.000000e-01	1.490416e-05	5.619150e-07	5.619150e-07
2.000000e-01	4.000000e-01	8.777045e-05	2.035507e-06	2.035507e-06
4.000000e-01	6.000000e-01	2.949255e-04	3.349844e-06	3.349844e-06
6.000000e-01	8.000000e-01	7.452290e-04	7.078602e-06	7.078602e-06
8.000000e-01	1.000000e+00	1.532014e-03	9.571081e-06	9.571081e-06
1.000000e+00	1.200000e+00	2.842627e-03	1.373873e-05	1.373873e-05
1.200000e+00	1.400000e+00	4.796927e-03	1.742338e-05	1.742338e-05
1.400000e+00	1.600000e+00	7.496595e-03	2.461334e-05	2.461334e-05
1.600000e+00	1.800000e+00	1.106198e-02	3.276811e-05	3.276811e-05
1.800000e+00	2.000000e+00	1.537221e-02	4.071348e-05	4.071348e-05
2.000000e+00	2.200000e+00	2.019426e-02	4.463702e-05	4.463702e-05
2.200000e+00	2.400000e+00	2.540411e-02	5.400588e-05	5.400588e-05
2.400000e+00	2.600000e+00	3.018948e-02	5.695900e-05	5.695900e-05
2.600000e+00	2.800000e+00	3.418142e-02	6.312456e-05	6.312456e-05
2.800000e+00	3.000000e+00	3.683710e-02	6.812489e-05	6.812489e-05
3.000000e+00	3.200000e+00	3.745610e-02	6.343572e-05	6.343572e-05
3.200000e+00	3.400000e+00	3.603802e-02	6.165989e-05	6.165989e-05
3.400000e+00	3.600000e+00	3.271189e-02	5.703212e-05	5.703212e-05
3.600000e+00	3.800000e+00	2.789670e-02	4.957341e-05	4.957341e-05
3.800000e+00	4.000000e+00	2.238934e-02	5.985510e-05	5.985510e-05
4.000000e+00	4.200000e+00	1.665755e-02	3.329651e-05	3.329651e-05
4.200000e+00	4.400000e+00	1.146020e-02	2.909945e-05	2.909945e-05
4.400000e+00	4.600000e+00	4.121140e-03	2.085407e-05	2.085407e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet2_y_incl
ScaledBy=2.18319152661033333e-07
Title=h(2*) $\oplus$ PS-ffac
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.131768e-03	2.124039e-06	2.124039e-06
-4.400000e+00	-4.200000e+00	2.991772e-03	3.726421e-06	3.726421e-06
-4.200000e+00	-4.000000e+00	4.012682e-03	4.720713e-06	4.720713e-06
-4.000000e+00	-3.800000e+00	4.999142e-03	5.658664e-06	5.658664e-06
-3.800000e+00	-3.600000e+00	5.788800e-03	6.004101e-06	6.004101e-06
-3.600000e+00	-3.400000e+00	6.359395e-03	6.683438e-06	6.683438e-06
-3.400000e+00	-3.200000e+00	6.638045e-03	6.576325e-06	6.576325e-06
-3.200000e+00	-3.000000e+00	6.629515e-03	6.415489e-06	6.415489e-06
-3.000000e+00	-2.800000e+00	6.391495e-03	6.732227e-06	6.732227e-06
-2.800000e+00	-2.600000e+00	5.944195e-03	6.245114e-06	6.245114e-06
-2.600000e+00	-2.400000e+00	5.371430e-03	6.277537e-06	6.277537e-06
-2.400000e+00	-2.200000e+00	4.697300e-03	5.392395e-06	5.392395e-06
-2.200000e+00	-2.000000e+00	3.975567e-03	4.863891e-06	4.863891e-06
-2.000000e+00	-1.800000e+00	3.247838e-03	4.176941e-06	4.176941e-06
-1.800000e+00	-1.600000e+00	2.531612e-03	3.706588e-06	3.706588e-06
-1.600000e+00	-1.400000e+00	1.871809e-03	3.186570e-06	3.186570e-06
-1.400000e+00	-1.200000e+00	1.300858e-03	2.412778e-06	2.412778e-06
-1.200000e+00	-1.000000e+00	8.365415e-04	1.946079e-06	1.946079e-06
-1.000000e+00	-8.000000e-01	4.838512e-04	1.356717e-06	1.356717e-06
-8.000000e-01	-6.000000e-01	2.470350e-04	9.355579e-07	9.355579e-07
-6.000000e-01	-4.000000e-01	1.053832e-04	5.952082e-07	5.952082e-07
-4.000000e-01	-2.000000e-01	3.309408e-05	3.012963e-07	3.012963e-07
-2.000000e-01	0.000000e+00	5.646845e-06	1.147561e-07	1.147561e-07
0.000000e+00	2.000000e-01	5.630440e-06	1.229153e-07	1.229153e-07
2.000000e-01	4.000000e-01	3.360702e-05	2.915383e-07	2.915383e-07
4.000000e-01	6.000000e-01	1.044191e-04	6.276570e-07	6.276570e-07
6.000000e-01	8.000000e-01	2.448209e-04	8.809319e-07	8.809319e-07
8.000000e-01	1.000000e+00	4.829966e-04	1.317382e-06	1.317382e-06
1.000000e+00	1.200000e+00	8.364760e-04	1.919122e-06	1.919122e-06
1.200000e+00	1.400000e+00	1.300327e-03	2.440570e-06	2.440570e-06
1.400000e+00	1.600000e+00	1.877476e-03	3.000904e-06	3.000904e-06
1.600000e+00	1.800000e+00	2.526964e-03	3.707442e-06	3.707442e-06
1.800000e+00	2.000000e+00	3.235647e-03	4.172462e-06	4.172462e-06
2.000000e+00	2.200000e+00	3.976257e-03	4.878705e-06	4.878705e-06
2.200000e+00	2.400000e+00	4.702604e-03	5.451511e-06	5.451511e-06
2.400000e+00	2.600000e+00	5.375965e-03	5.752769e-06	5.752769e-06
2.600000e+00	2.800000e+00	5.944830e-03	6.340398e-06	6.340398e-06
2.800000e+00	3.000000e+00	6.398170e-03	7.610943e-06	7.610943e-06
3.000000e+00	3.200000e+00	6.644725e-03	7.192706e-06	7.192706e-06
3.200000e+00	3.400000e+00	6.625020e-03	6.628212e-06	6.628212e-06
3.400000e+00	3.600000e+00	6.361415e-03	6.452166e-06	6.452166e-06
3.600000e+00	3.800000e+00	5.807735e-03	6.041724e-06	6.041724e-06
3.800000e+00	4.000000e+00	4.991672e-03	5.355026e-06	5.355026e-06
4.000000e+00	4.200000e+00	4.019804e-03	4.816193e-06	4.816193e-06
4.200000e+00	4.400000e+00	2.994803e-03	3.747974e-06	3.747974e-06
4.400000e+00	4.600000e+00	1.130571e-03	2.552358e-06	2.552358e-06
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

