# BEGIN PLOT
Rebin=2
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/log10_d_34
Title=CP-mixed
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/log10_d_34
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/log10_d_34
XLabel=$\sqrt{d_{34}}$ (GeV)
LegendAlign=r
XMax=3.0
YLabel=$ \text{d} \sigma / \sqrt{d_{34}}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/log10_d_34
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/log10_d_34
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_TIGHT/log10_d_34
ScaledBy=1.89207682213989584e-05
Title=h(2*) $\oplus$ PS
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361291e-01	7.578171e-03	4.789469e-05	4.789469e-05
2.361291e-01	2.722583e-01	1.097271e-02	6.520984e-05	6.520984e-05
2.722583e-01	3.083874e-01	1.615009e-02	8.449620e-05	8.449620e-05
3.083874e-01	3.445165e-01	2.237739e-02	9.253393e-05	9.253393e-05
3.445165e-01	3.806457e-01	2.996111e-02	1.053670e-04	1.053670e-04
3.806457e-01	4.167748e-01	3.905602e-02	1.149435e-04	1.149435e-04
4.167748e-01	4.529039e-01	5.009200e-02	1.318605e-04	1.318605e-04
4.529039e-01	4.890331e-01	6.305797e-02	1.705419e-04	1.705419e-04
4.890331e-01	5.251622e-01	7.757508e-02	2.015632e-04	2.015632e-04
5.251622e-01	5.612913e-01	9.270546e-02	1.966968e-04	1.966968e-04
5.612913e-01	5.974205e-01	1.082463e-01	2.263352e-04	2.263352e-04
5.974205e-01	6.335496e-01	1.235707e-01	2.153499e-04	2.153499e-04
6.335496e-01	6.696787e-01	1.386818e-01	2.735618e-04	2.735618e-04
6.696787e-01	7.058079e-01	1.522113e-01	2.768302e-04	2.768302e-04
7.058079e-01	7.419370e-01	1.639773e-01	2.665908e-04	2.665908e-04
7.419370e-01	7.780661e-01	1.734328e-01	2.922886e-04	2.922886e-04
7.780661e-01	8.141953e-01	1.815010e-01	3.509950e-04	3.509950e-04
8.141953e-01	8.503244e-01	1.855607e-01	3.046020e-04	3.046020e-04
8.503244e-01	8.864535e-01	1.885082e-01	3.536910e-04	3.536910e-04
8.864535e-01	9.225827e-01	1.888674e-01	3.338880e-04	3.338880e-04
9.225827e-01	9.587118e-01	1.874402e-01	3.564460e-04	3.564460e-04
9.587118e-01	9.948409e-01	1.832109e-01	3.166730e-04	3.166730e-04
9.948409e-01	1.030970e+00	1.779873e-01	3.187192e-04	3.187192e-04
1.030970e+00	1.067099e+00	1.706245e-01	3.074746e-04	3.074746e-04
1.067099e+00	1.103228e+00	1.617056e-01	2.946337e-04	2.946337e-04
1.103228e+00	1.139357e+00	1.514410e-01	5.209835e-04	5.209835e-04
