# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
RightMargin=0.5
RatioPlot=1
LogY=0
RatioPlotYMax=2.2
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}$ 
LegendAlign=r
YLabel=$ 1/ \sigma \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_jfjb
\rput[tl](0.25,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	1.593210e-01	3.530027e-04	3.530027e-04
-3.036873e+00	-2.932153e+00	1.589299e-01	6.140350e-04	6.140350e-04
-2.932153e+00	-2.827433e+00	1.573473e-01	4.133933e-04	4.133933e-04
-2.827433e+00	-2.722714e+00	1.550020e-01	1.118685e-03	1.118685e-03
-2.722714e+00	-2.617994e+00	1.542816e-01	3.167647e-04	3.167647e-04
-2.617994e+00	-2.513274e+00	1.524845e-01	6.959720e-04	6.959720e-04
-2.513274e+00	-2.408554e+00	1.496698e-01	5.147891e-04	5.147891e-04
-2.408554e+00	-2.303835e+00	1.460422e-01	7.324318e-04	7.324318e-04
-2.303835e+00	-2.199115e+00	1.443841e-01	5.783977e-04	5.783977e-04
-2.199115e+00	-2.094395e+00	1.410792e-01	3.831477e-04	3.831477e-04
-2.094395e+00	-1.989675e+00	1.386460e-01	3.140910e-04	3.140910e-04
-1.989675e+00	-1.884956e+00	1.359558e-01	3.509402e-04	3.509402e-04
-1.884956e+00	-1.780236e+00	1.329322e-01	3.307373e-04	3.307373e-04
-1.780236e+00	-1.675516e+00	1.295979e-01	4.677366e-04	4.677366e-04
-1.675516e+00	-1.570796e+00	1.266774e-01	1.074143e-03	1.074143e-03
-1.570796e+00	-1.466077e+00	1.251672e-01	4.667580e-04	4.667580e-04
-1.466077e+00	-1.361357e+00	1.220241e-01	3.049855e-04	3.049855e-04
-1.361357e+00	-1.256637e+00	1.204434e-01	3.384052e-04	3.384052e-04
-1.256637e+00	-1.151917e+00	1.177075e-01	4.016669e-04	4.016669e-04
-1.151917e+00	-1.047198e+00	1.163335e-01	3.904345e-04	3.904345e-04
-1.047198e+00	-9.424778e-01	1.133057e-01	9.574390e-04	9.574390e-04
-9.424778e-01	-8.377580e-01	1.126838e-01	2.689150e-04	2.689150e-04
-8.377580e-01	-7.330383e-01	1.111486e-01	2.532187e-04	2.532187e-04
-7.330383e-01	-6.283185e-01	1.100491e-01	2.970863e-04	2.970863e-04
-6.283185e-01	-5.235988e-01	1.089029e-01	3.442064e-04	3.442064e-04
-5.235988e-01	-4.188790e-01	1.085088e-01	4.526405e-04	4.526405e-04
-4.188790e-01	-3.141593e-01	1.075248e-01	2.374876e-04	2.374876e-04
-3.141593e-01	-2.094395e-01	1.067069e-01	1.947077e-04	1.947077e-04
-2.094395e-01	-1.047198e-01	1.057027e-01	6.697251e-04	6.697251e-04
-1.047198e-01	0.000000e+00	1.061947e-01	2.697917e-04	2.697917e-04
0.000000e+00	1.047198e-01	1.067363e-01	3.491475e-04	3.491475e-04
1.047198e-01	2.094395e-01	1.064950e-01	2.091222e-04	2.091222e-04
2.094395e-01	3.141593e-01	1.071338e-01	3.712606e-04	3.712606e-04
3.141593e-01	4.188790e-01	1.072840e-01	3.047516e-04	3.047516e-04
4.188790e-01	5.235988e-01	1.080590e-01	3.582931e-04	3.582931e-04
5.235988e-01	6.283185e-01	1.081966e-01	4.938077e-04	4.938077e-04
6.283185e-01	7.330383e-01	1.097139e-01	3.752995e-04	3.752995e-04
