# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/dijet_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/dijet_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/dijet_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/dijet_mass
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/dijet_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/dijet_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/dijet_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/dijet_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/dijet_mass
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/dijet_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/dijet_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/dijet_mass
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	4.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+02	5.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+02	5.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.400000e+02	7.982120e-04	2.856207e-06	2.856207e-06
6.400000e+02	6.800000e+02	8.196008e-04	1.628501e-06	1.628501e-06
6.800000e+02	7.200000e+02	8.340615e-04	2.002389e-06	2.002389e-06
7.200000e+02	7.600000e+02	8.311050e-04	1.513904e-06	1.513904e-06
7.600000e+02	8.000000e+02	8.188538e-04	2.159039e-06	2.159039e-06
8.000000e+02	8.400000e+02	8.045228e-04	1.663201e-06	1.663201e-06
8.400000e+02	8.800000e+02	7.793555e-04	1.470266e-06	1.470266e-06
8.800000e+02	9.200000e+02	7.519808e-04	1.467336e-06	1.467336e-06
9.200000e+02	9.600000e+02	7.272600e-04	1.182968e-06	1.182968e-06
9.600000e+02	1.000000e+03	6.996302e-04	1.850362e-06	1.850362e-06
1.000000e+03	1.040000e+03	6.651522e-04	1.093553e-06	1.093553e-06
1.040000e+03	1.080000e+03	6.373213e-04	1.499029e-06	1.499029e-06
1.080000e+03	1.120000e+03	6.051085e-04	2.162241e-06	2.162241e-06
1.120000e+03	1.160000e+03	5.793388e-04	1.490085e-06	1.490085e-06
1.160000e+03	1.200000e+03	5.474568e-04	1.027263e-06	1.027263e-06
1.200000e+03	1.240000e+03	5.180900e-04	2.617919e-06	2.617919e-06
1.240000e+03	1.280000e+03	4.935577e-04	7.847524e-07	7.847524e-07
1.280000e+03	1.320000e+03	4.703777e-04	1.807990e-06	1.807990e-06
1.320000e+03	1.360000e+03	4.399940e-04	3.411274e-06	3.411274e-06
1.360000e+03	1.400000e+03	4.167843e-04	8.913683e-07	8.913683e-07
1.400000e+03	1.440000e+03	3.948280e-04	1.801025e-06	1.801025e-06
1.440000e+03	1.480000e+03	3.729935e-04	1.340493e-06	1.340493e-06
1.480000e+03	1.520000e+03	3.514243e-04	2.889560e-06	2.889560e-06
