# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
XLabel=$|y_{j_1}|$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  |y_{j_1}|$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet1_y_abs_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	1.500025e-03	7.406519e-05	7.406519e-05
1.600000e-01	3.200000e-01	5.904877e-03	5.612575e-05	5.612575e-05
3.200000e-01	4.800000e-01	1.308466e-02	7.923040e-05	7.923040e-05
4.800000e-01	6.400000e-01	2.368252e-02	1.213356e-04	1.213356e-04
6.400000e-01	8.000000e-01	3.749802e-02	1.890506e-04	1.890506e-04
8.000000e-01	9.600000e-01	5.480327e-02	2.032782e-04	2.032782e-04
9.600000e-01	1.120000e+00	7.564662e-02	3.578740e-04	3.578740e-04
1.120000e+00	1.280000e+00	9.747525e-02	9.365301e-04	9.365301e-04
1.280000e+00	1.440000e+00	1.231217e-01	7.655181e-04	7.655181e-04
1.440000e+00	1.600000e+00	1.509296e-01	5.745315e-04	5.745315e-04
1.600000e+00	1.760000e+00	1.781919e-01	5.234943e-04	5.234943e-04
1.760000e+00	1.920000e+00	2.073454e-01	8.780160e-04	8.780160e-04
1.920000e+00	2.080000e+00	2.339106e-01	3.540058e-04	3.540058e-04
2.080000e+00	2.240000e+00	2.602732e-01	4.585677e-04	4.585677e-04
2.240000e+00	2.400000e+00	2.839945e-01	5.394249e-04	5.394249e-04
2.400000e+00	2.560000e+00	3.038046e-01	3.492049e-04	3.492049e-04
2.560000e+00	2.720000e+00	3.200815e-01	5.950459e-04	5.950459e-04
2.720000e+00	2.880000e+00	3.298004e-01	5.276014e-04	5.276014e-04
2.880000e+00	3.040000e+00	3.339787e-01	4.531914e-04	4.531914e-04
3.040000e+00	3.200000e+00	3.309836e-01	4.973971e-04	4.973971e-04
3.200000e+00	3.360000e+00	3.195203e-01	4.790718e-04	4.790718e-04
3.360000e+00	3.520000e+00	2.987117e-01	2.991331e-04	2.991331e-04
3.520000e+00	3.680000e+00	2.709056e-01	7.640555e-04	7.640555e-04
3.680000e+00	3.840000e+00	2.380587e-01	4.109451e-04	4.109451e-04
3.840000e+00	4.000000e+00	2.001559e-01	1.945113e-04	1.945113e-04
4.000000e+00	4.160000e+00	1.609901e-01	2.069346e-04	2.069346e-04
4.160000e+00	4.320000e+00	1.229203e-01	1.446369e-04	1.446369e-04
4.320000e+00	4.480000e+00	8.927906e-02	3.814361e-04	3.814361e-04
4.480000e+00	4.640000e+00	9.290125e-03	2.484612e-04	2.484612e-04
4.640000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.960000e+00	5.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.120000e+00	5.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.280000e+00	5.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.440000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.760000e+00	5.920000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.920000e+00	6.080000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.080000e+00	6.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
