# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
Title=h(2*,3*,4)
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
XLabel=$p_{T,j_2}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_2}$ (pb/GeV)
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet2_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	9.883620e-03	9.022363e-06	9.022363e-06
3.000000e+01	4.000000e+01	2.007159e-02	1.557945e-05	1.557945e-05
4.000000e+01	5.000000e+01	1.720212e-02	1.832959e-05	1.832959e-05
5.000000e+01	6.000000e+01	1.264366e-02	1.531188e-05	1.531188e-05
6.000000e+01	7.000000e+01	8.277156e-03	1.548940e-05	1.548940e-05
7.000000e+01	8.000000e+01	5.095626e-03	1.660101e-05	1.660101e-05
8.000000e+01	9.000000e+01	3.099636e-03	6.523973e-06	6.523973e-06
9.000000e+01	1.000000e+02	1.871354e-03	5.219126e-06	5.219126e-06
1.000000e+02	1.100000e+02	1.149341e-03	6.397575e-06	6.397575e-06
1.100000e+02	1.200000e+02	7.031719e-04	3.984211e-06	3.984211e-06
1.200000e+02	1.300000e+02	4.425182e-04	6.488504e-06	6.488504e-06
1.300000e+02	1.400000e+02	2.740597e-04	2.724257e-06	2.724257e-06
1.400000e+02	1.500000e+02	1.764899e-04	3.080582e-06	3.080582e-06
1.500000e+02	1.600000e+02	1.073240e-04	2.478873e-06	2.478873e-06
1.600000e+02	1.700000e+02	7.148437e-05	1.097624e-06	1.097624e-06
1.700000e+02	1.800000e+02	4.590334e-05	1.550461e-06	1.550461e-06
1.800000e+02	1.900000e+02	3.085069e-05	1.406915e-06	1.406915e-06
1.900000e+02	2.000000e+02	2.172077e-05	7.057674e-07	7.057674e-07
2.000000e+02	2.100000e+02	1.349480e-05	4.892052e-07	4.892052e-07
2.100000e+02	2.200000e+02	9.828064e-06	4.385440e-07	4.385440e-07
2.200000e+02	2.300000e+02	6.969363e-06	9.185782e-07	9.185782e-07
2.300000e+02	2.400000e+02	4.818998e-06	2.840962e-07	2.840962e-07
2.400000e+02	2.500000e+02	2.986439e-06	1.372276e-07	1.372276e-07
2.500000e+02	2.600000e+02	2.110095e-06	1.020338e-07	1.020338e-07
2.600000e+02	2.700000e+02	1.884825e-06	3.993830e-07	3.993830e-07
2.700000e+02	2.800000e+02	1.057171e-06	7.699076e-08	7.699076e-08
2.800000e+02	2.900000e+02	7.964589e-07	1.488095e-07	1.488095e-07
2.900000e+02	3.000000e+02	5.617858e-07	4.669470e-08	4.669470e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.909667e-04	1.707104e-06	1.707104e-06
3.000000e+01	4.000000e+01	1.154749e-03	4.659526e-06	4.659526e-06
4.000000e+01	5.000000e+01	1.562279e-03	5.363696e-06	5.363696e-06
5.000000e+01	6.000000e+01	1.749032e-03	4.811499e-06	4.811499e-06
6.000000e+01	7.000000e+01	1.719097e-03	6.587958e-06	6.587958e-06
7.000000e+01	8.000000e+01	1.550156e-03	8.896724e-06	8.896724e-06
8.000000e+01	9.000000e+01	1.356076e-03	7.711888e-06	7.711888e-06
9.000000e+01	1.000000e+02	1.144692e-03	1.005199e-05	1.005199e-05
1.000000e+02	1.100000e+02	9.532268e-04	9.093533e-06	9.093533e-06
1.100000e+02	1.200000e+02	7.673906e-04	6.354252e-06	6.354252e-06
1.200000e+02	1.300000e+02	6.224469e-04	8.183376e-06	8.183376e-06
1.300000e+02	1.400000e+02	5.003240e-04	4.867710e-06	4.867710e-06
1.400000e+02	1.500000e+02	4.108617e-04	1.201905e-05	1.201905e-05
1.500000e+02	1.600000e+02	3.232167e-04	5.164366e-06	5.164366e-06
1.600000e+02	1.700000e+02	2.559719e-04	3.037407e-06	3.037407e-06
1.700000e+02	1.800000e+02	1.969279e-04	3.783391e-06	3.783391e-06
1.800000e+02	1.900000e+02	1.631636e-04	3.658940e-06	3.658940e-06
1.900000e+02	2.000000e+02	1.350057e-04	3.407584e-06	3.407584e-06
2.000000e+02	2.100000e+02	9.880449e-05	3.198854e-06	3.198854e-06
2.100000e+02	2.200000e+02	8.527215e-05	3.111037e-06	3.111037e-06
2.200000e+02	2.300000e+02	6.238649e-05	2.456840e-06	2.456840e-06
2.300000e+02	2.400000e+02	4.791483e-05	2.475834e-06	2.475834e-06
2.400000e+02	2.500000e+02	4.099181e-05	2.782101e-06	2.782101e-06
2.500000e+02	2.600000e+02	3.098659e-05	3.214197e-06	3.214197e-06
2.600000e+02	2.700000e+02	2.792772e-05	2.524682e-06	2.524682e-06
2.700000e+02	2.800000e+02	2.161471e-05	1.053944e-06	1.053944e-06
2.800000e+02	2.900000e+02	1.618214e-05	1.126686e-06	1.126686e-06
2.900000e+02	3.000000e+02	1.448230e-05	1.258077e-06	1.258077e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
Scale=12.5152858573
Title=CP-mixed-ffac1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.669921e-04	6.406237e-07	6.406237e-07
3.000000e+01	4.000000e+01	7.701650e-04	1.290167e-06	1.290167e-06
4.000000e+01	5.000000e+01	1.000682e-03	1.841339e-06	1.841339e-06
5.000000e+01	6.000000e+01	1.082486e-03	2.156626e-06	2.156626e-06
6.000000e+01	7.000000e+01	1.005879e-03	3.871945e-06	3.871945e-06
7.000000e+01	8.000000e+01	8.686251e-04	4.256224e-06	4.256224e-06
8.000000e+01	9.000000e+01	7.119058e-04	4.499013e-06	4.499013e-06
9.000000e+01	1.000000e+02	5.620048e-04	2.928510e-06	2.928510e-06
1.000000e+02	1.100000e+02	4.311513e-04	2.379848e-06	2.379848e-06
1.100000e+02	1.200000e+02	3.322501e-04	2.459886e-06	2.459886e-06
1.200000e+02	1.300000e+02	2.464368e-04	1.648822e-06	1.648822e-06
1.300000e+02	1.400000e+02	1.832148e-04	2.298167e-06	2.298167e-06
1.400000e+02	1.500000e+02	1.394311e-04	1.333341e-06	1.333341e-06
1.500000e+02	1.600000e+02	1.016887e-04	2.584709e-06	2.584709e-06
1.600000e+02	1.700000e+02	7.495560e-05	9.608902e-07	9.608902e-07
1.700000e+02	1.800000e+02	5.395330e-05	1.360598e-06	1.360598e-06
1.800000e+02	1.900000e+02	4.001780e-05	1.088119e-06	1.088119e-06
1.900000e+02	2.000000e+02	3.078490e-05	6.582632e-07	6.582632e-07
2.000000e+02	2.100000e+02	2.197152e-05	5.610261e-07	5.610261e-07
2.100000e+02	2.200000e+02	1.596283e-05	1.014113e-06	1.014113e-06
2.200000e+02	2.300000e+02	1.218965e-05	3.504409e-07	3.504409e-07
2.300000e+02	2.400000e+02	9.526712e-06	4.780358e-07	4.780358e-07
2.400000e+02	2.500000e+02	6.638503e-06	3.495806e-07	3.495806e-07
2.500000e+02	2.600000e+02	5.119398e-06	2.951679e-07	2.951679e-07
2.600000e+02	2.700000e+02	4.173366e-06	2.642256e-07	2.642256e-07
2.700000e+02	2.800000e+02	3.095076e-06	2.353794e-07	2.353794e-07
2.800000e+02	2.900000e+02	2.414971e-06	2.271253e-07	2.271253e-07
2.900000e+02	3.000000e+02	1.837709e-06	1.603522e-07	1.603522e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
Scale=6.91285653058
Title=CP-mixed-ffac2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
