# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
XLabel=$p_{T,j_3}^{incl}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet3_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.985579e-03	1.165654e-05	1.165654e-05
3.000000e+01	4.000000e+01	4.650161e-03	1.656652e-05	1.656652e-05
4.000000e+01	5.000000e+01	2.108298e-03	1.366315e-05	1.366315e-05
5.000000e+01	6.000000e+01	9.320389e-04	7.167763e-06	7.167763e-06
6.000000e+01	7.000000e+01	4.194889e-04	5.261459e-06	5.261459e-06
7.000000e+01	8.000000e+01	1.832623e-04	3.116411e-06	3.116411e-06
8.000000e+01	9.000000e+01	8.875214e-05	1.588027e-06	1.588027e-06
9.000000e+01	1.000000e+02	4.311677e-05	1.064271e-06	1.064271e-06
1.000000e+02	1.100000e+02	2.062462e-05	1.135118e-06	1.135118e-06
1.100000e+02	1.200000e+02	1.036707e-05	3.199728e-07	3.199728e-07
1.200000e+02	1.300000e+02	4.828547e-06	1.366464e-06	1.366464e-06
1.300000e+02	1.400000e+02	3.507132e-06	4.012917e-07	4.012917e-07
1.400000e+02	1.500000e+02	1.577100e-06	1.083107e-07	1.083107e-07
1.500000e+02	1.600000e+02	4.908113e-07	6.493015e-07	6.493015e-07
1.600000e+02	1.700000e+02	5.134442e-07	6.692172e-08	6.692172e-08
1.700000e+02	1.800000e+02	2.731850e-07	2.751842e-08	2.751842e-08
1.800000e+02	1.900000e+02	2.208449e-07	6.143532e-08	6.143532e-08
1.900000e+02	2.000000e+02	5.143582e-07	3.863643e-07	3.863643e-07
2.000000e+02	2.100000e+02	3.119168e-07	3.617438e-07	3.617438e-07
2.100000e+02	2.200000e+02	5.432013e-08	2.016605e-08	2.016605e-08
2.200000e+02	2.300000e+02	9.255196e-09	8.148945e-09	8.148945e-09
2.300000e+02	2.400000e+02	1.838481e-08	6.441889e-09	6.441889e-09
2.400000e+02	2.500000e+02	7.937572e-09	7.403482e-09	7.403482e-09
2.500000e+02	2.600000e+02	6.881366e-09	1.288039e-09	1.288039e-09
2.600000e+02	2.700000e+02	8.072502e-09	7.153023e-09	7.153023e-09
2.700000e+02	2.800000e+02	5.959274e-09	4.131736e-09	4.131736e-09
2.800000e+02	2.900000e+02	1.224317e-09	4.061759e-10	4.061759e-10
2.900000e+02	3.000000e+02	1.225843e-09	5.498983e-10	5.498983e-10
3.000000e+02	3.100000e+02	9.858679e-10	2.756875e-10	2.756875e-10
3.100000e+02	3.200000e+02	1.235307e-10	1.489768e-10	1.489768e-10
3.200000e+02	3.300000e+02	2.500889e-10	7.536029e-11	7.536029e-11
3.300000e+02	3.400000e+02	1.485433e-10	8.382459e-11	8.382459e-11
3.400000e+02	3.500000e+02	5.815212e-11	7.421878e-11	7.421878e-11
3.500000e+02	3.600000e+02	8.621725e-11	2.280346e-11	2.280346e-11
3.600000e+02	3.700000e+02	-4.126497e-10	5.516144e-10	5.516144e-10
3.700000e+02	3.800000e+02	1.009591e-11	2.995831e-11	2.995831e-11
3.800000e+02	3.900000e+02	2.208570e-11	1.709015e-11	1.709015e-11
3.900000e+02	4.000000e+02	1.711396e-11	9.894294e-12	9.894294e-12
4.000000e+02	4.100000e+02	4.429242e-11	2.413274e-11	2.413274e-11
4.100000e+02	4.200000e+02	1.536805e-11	7.384521e-12	7.384521e-12
4.200000e+02	4.300000e+02	3.564578e-12	9.057195e-13	9.057195e-13
4.300000e+02	4.400000e+02	5.521800e-12	2.262446e-12	2.262446e-12
4.400000e+02	4.500000e+02	1.695628e-12	9.727571e-13	9.727571e-13
4.500000e+02	4.600000e+02	4.920469e-13	1.662282e-13	1.662282e-13
4.600000e+02	4.700000e+02	-1.060169e-12	1.559838e-12	1.559838e-12
4.700000e+02	4.800000e+02	9.771527e-13	3.230077e-13	3.230077e-13
4.800000e+02	4.900000e+02	1.585497e-12	1.126632e-12	1.126632e-12
4.900000e+02	5.000000e+02	-1.022219e-13	2.297408e-13	2.297408e-13
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	9.539723e-04	6.894552e-06	6.894552e-06
3.000000e+01	4.000000e+01	1.446598e-03	1.061562e-05	1.061562e-05
4.000000e+01	5.000000e+01	9.777910e-04	1.339326e-05	1.339326e-05
5.000000e+01	6.000000e+01	6.320869e-04	6.492506e-06	6.492506e-06
6.000000e+01	7.000000e+01	4.255588e-04	7.001969e-06	7.001969e-06
7.000000e+01	8.000000e+01	2.667700e-04	4.116212e-06	4.116212e-06
8.000000e+01	9.000000e+01	1.767552e-04	3.937615e-06	3.937615e-06
9.000000e+01	1.000000e+02	1.139687e-04	4.445294e-06	4.445294e-06
1.000000e+02	1.100000e+02	7.287317e-05	1.901135e-06	1.901135e-06
1.100000e+02	1.200000e+02	5.144815e-05	4.900712e-06	4.900712e-06
1.200000e+02	1.300000e+02	3.430163e-05	1.934543e-06	1.934543e-06
1.300000e+02	1.400000e+02	2.376661e-05	2.177397e-06	2.177397e-06
1.400000e+02	1.500000e+02	1.472758e-05	7.992362e-07	7.992362e-07
1.500000e+02	1.600000e+02	1.065952e-05	6.980392e-07	6.980392e-07
1.600000e+02	1.700000e+02	5.559115e-06	8.095040e-07	8.095040e-07
1.700000e+02	1.800000e+02	4.988568e-06	2.634201e-07	2.634201e-07
1.800000e+02	1.900000e+02	3.071501e-06	2.667726e-07	2.667726e-07
1.900000e+02	2.000000e+02	1.110580e-06	7.484483e-07	7.484483e-07
2.000000e+02	2.100000e+02	1.575230e-06	3.370263e-07	3.370263e-07
2.100000e+02	2.200000e+02	1.128714e-06	1.012539e-07	1.012539e-07
2.200000e+02	2.300000e+02	3.005994e-07	6.296116e-07	6.296116e-07
2.300000e+02	2.400000e+02	3.975606e-07	1.603767e-07	1.603767e-07
2.400000e+02	2.500000e+02	4.214454e-07	4.930310e-08	4.930310e-08
2.500000e+02	2.600000e+02	3.072782e-07	6.406852e-08	6.406852e-08
2.600000e+02	2.700000e+02	2.911702e-08	1.056296e-07	1.056296e-07
2.700000e+02	2.800000e+02	8.575634e-08	3.181446e-08	3.181446e-08
2.800000e+02	2.900000e+02	1.563386e-08	4.669368e-08	4.669368e-08
2.900000e+02	3.000000e+02	5.806554e-08	2.308901e-08	2.308901e-08
3.000000e+02	3.100000e+02	6.137865e-08	1.235023e-08	1.235023e-08
3.100000e+02	3.200000e+02	3.813137e-08	8.783872e-09	8.783872e-09
3.200000e+02	3.300000e+02	3.464341e-08	5.115385e-09	5.115385e-09
3.300000e+02	3.400000e+02	2.318324e-08	6.982790e-09	6.982790e-09
3.400000e+02	3.500000e+02	1.969047e-08	3.650019e-09	3.650019e-09
3.500000e+02	3.600000e+02	2.230188e-08	1.343482e-08	1.343482e-08
3.600000e+02	3.700000e+02	1.285577e-08	4.206017e-09	4.206017e-09
3.700000e+02	3.800000e+02	4.462582e-09	1.660168e-09	1.660168e-09
3.800000e+02	3.900000e+02	2.235463e-08	1.485833e-08	1.485833e-08
3.900000e+02	4.000000e+02	2.843642e-09	8.411795e-10	8.411795e-10
4.000000e+02	4.100000e+02	7.908881e-09	6.840192e-09	6.840192e-09
4.100000e+02	4.200000e+02	1.325554e-09	5.307148e-10	5.307148e-10
4.200000e+02	4.300000e+02	8.158393e-10	4.631191e-10	4.631191e-10
4.300000e+02	4.400000e+02	1.245474e-09	4.553276e-10	4.553276e-10
4.400000e+02	4.500000e+02	9.267557e-10	2.259830e-10	2.259830e-10
4.500000e+02	4.600000e+02	7.001228e-10	3.065241e-10	3.065241e-10
4.600000e+02	4.700000e+02	3.434237e-10	1.468882e-10	1.468882e-10
4.700000e+02	4.800000e+02	1.158289e-10	1.234934e-10	1.234934e-10
4.800000e+02	4.900000e+02	3.397286e-10	1.015371e-10	1.015371e-10
4.900000e+02	5.000000e+02	5.402728e-10	2.567752e-10	2.567752e-10
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_pT_incl
Scale=12.5152858573
