# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{j_3}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_3}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet3_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.119797e-03	3.763144e-05	3.763144e-05
-4.400000e+00	-4.200000e+00	6.007295e-03	4.851497e-05	4.851497e-05
-4.200000e+00	-4.000000e+00	8.652845e-03	1.994744e-04	1.994744e-04
-4.000000e+00	-3.800000e+00	1.158652e-02	6.548639e-05	6.548639e-05
-3.800000e+00	-3.600000e+00	1.434745e-02	1.728184e-04	1.728184e-04
-3.600000e+00	-3.400000e+00	1.714115e-02	2.886350e-04	2.886350e-04
-3.400000e+00	-3.200000e+00	1.854669e-02	1.716406e-04	1.716406e-04
-3.200000e+00	-3.000000e+00	1.979304e-02	1.237792e-04	1.237792e-04
-3.000000e+00	-2.800000e+00	2.013398e-02	1.178215e-04	1.178215e-04
-2.800000e+00	-2.600000e+00	1.987388e-02	1.116602e-04	1.116602e-04
-2.600000e+00	-2.400000e+00	1.933955e-02	1.591325e-04	1.591325e-04
-2.400000e+00	-2.200000e+00	1.781792e-02	1.162608e-04	1.162608e-04
-2.200000e+00	-2.000000e+00	1.659791e-02	1.309321e-04	1.309321e-04
-2.000000e+00	-1.800000e+00	1.487295e-02	1.724507e-04	1.724507e-04
-1.800000e+00	-1.600000e+00	1.294987e-02	1.293669e-04	1.293669e-04
-1.600000e+00	-1.400000e+00	1.092241e-02	8.921823e-05	8.921823e-05
-1.400000e+00	-1.200000e+00	9.240030e-03	1.239277e-04	1.239277e-04
-1.200000e+00	-1.000000e+00	7.732160e-03	1.185300e-04	1.185300e-04
-1.000000e+00	-8.000000e-01	6.345725e-03	6.968203e-05	6.968203e-05
-8.000000e-01	-6.000000e-01	5.237630e-03	6.626664e-05	6.626664e-05
-6.000000e-01	-4.000000e-01	4.440943e-03	7.667382e-05	7.667382e-05
-4.000000e-01	-2.000000e-01	4.105195e-03	1.574707e-04	1.574707e-04
-2.000000e-01	0.000000e+00	3.716066e-03	6.376231e-05	6.376231e-05
0.000000e+00	2.000000e-01	3.863571e-03	2.404691e-04	2.404691e-04
2.000000e-01	4.000000e-01	3.976977e-03	6.021449e-05	6.021449e-05
4.000000e-01	6.000000e-01	4.660016e-03	8.663401e-05	8.663401e-05
6.000000e-01	8.000000e-01	5.388680e-03	6.174348e-05	6.174348e-05
8.000000e-01	1.000000e+00	6.254675e-03	9.025453e-05	9.025453e-05
1.000000e+00	1.200000e+00	7.767820e-03	7.120779e-05	7.120779e-05
1.200000e+00	1.400000e+00	9.352745e-03	8.319916e-05	8.319916e-05
1.400000e+00	1.600000e+00	1.114629e-02	2.156382e-04	2.156382e-04
1.600000e+00	1.800000e+00	1.295396e-02	1.507741e-04	1.507741e-04
1.800000e+00	2.000000e+00	1.470280e-02	1.149120e-04	1.149120e-04
2.000000e+00	2.200000e+00	1.643007e-02	1.740644e-04	1.740644e-04
2.200000e+00	2.400000e+00	1.789896e-02	1.203508e-04	1.203508e-04
2.400000e+00	2.600000e+00	1.934780e-02	1.618346e-04	1.618346e-04
2.600000e+00	2.800000e+00	2.000817e-02	1.119978e-04	1.119978e-04
2.800000e+00	3.000000e+00	2.032658e-02	1.521292e-04	1.521292e-04
3.000000e+00	3.200000e+00	1.929401e-02	3.432391e-04	3.432391e-04
3.200000e+00	3.400000e+00	1.852264e-02	1.295643e-04	1.295643e-04
3.400000e+00	3.600000e+00	1.662702e-02	1.801225e-04	1.801225e-04
3.600000e+00	3.800000e+00	1.359200e-02	5.614650e-04	5.614650e-04
3.800000e+00	4.000000e+00	1.154688e-02	1.682372e-04	1.682372e-04
4.000000e+00	4.200000e+00	8.637125e-03	1.472050e-04	1.472050e-04
4.200000e+00	4.400000e+00	5.940750e-03	4.144289e-05	4.144289e-05
4.400000e+00	4.600000e+00	2.130846e-03	2.411825e-05	2.411825e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet3_y_incl
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	4.845861e-04	2.089390e-05	2.089390e-05
-4.400000e+00	-4.200000e+00	1.392611e-03	7.176979e-05	7.176979e-05
-4.200000e+00	-4.000000e+00	2.094609e-03	1.062672e-04	1.062672e-04
-4.000000e+00	-3.800000e+00	3.080073e-03	5.161768e-05	5.161768e-05
-3.800000e+00	-3.600000e+00	4.223653e-03	5.737473e-05	5.737473e-05
-3.600000e+00	-3.400000e+00	5.379330e-03	8.979467e-05	8.979467e-05
-3.400000e+00	-3.200000e+00	6.204560e-03	1.513349e-04	1.513349e-04
-3.200000e+00	-3.000000e+00	7.036775e-03	2.832328e-04	2.832328e-04
-3.000000e+00	-2.800000e+00	7.271985e-03	1.827555e-04	1.827555e-04
-2.800000e+00	-2.600000e+00	7.580795e-03	2.134530e-04	2.134530e-04
-2.600000e+00	-2.400000e+00	7.911215e-03	1.130760e-04	1.130760e-04
-2.400000e+00	-2.200000e+00	7.421505e-03	2.223516e-04	2.223516e-04
-2.200000e+00	-2.000000e+00	6.796950e-03	1.228698e-04	1.228698e-04
-2.000000e+00	-1.800000e+00	6.230980e-03	1.332784e-04	1.332784e-04
-1.800000e+00	-1.600000e+00	5.309760e-03	9.037800e-05	9.037800e-05
-1.600000e+00	-1.400000e+00	4.409806e-03	9.669837e-05	9.669837e-05
-1.400000e+00	-1.200000e+00	3.670481e-03	9.915082e-05	9.915082e-05
-1.200000e+00	-1.000000e+00	2.975783e-03	7.353163e-05	7.353163e-05
-1.000000e+00	-8.000000e-01	2.549902e-03	5.812562e-05	5.812562e-05
-8.000000e-01	-6.000000e-01	2.034196e-03	5.483263e-05	5.483263e-05
-6.000000e-01	-4.000000e-01	1.671720e-03	6.600780e-05	6.600780e-05
-4.000000e-01	-2.000000e-01	1.443341e-03	3.944783e-05	3.944783e-05
-2.000000e-01	0.000000e+00	1.318573e-03	4.121020e-05	4.121020e-05
0.000000e+00	2.000000e-01	1.204150e-03	1.091394e-04	1.091394e-04
2.000000e-01	4.000000e-01	1.498336e-03	4.236433e-05	4.236433e-05
4.000000e-01	6.000000e-01	1.595908e-03	6.652738e-05	6.652738e-05
6.000000e-01	8.000000e-01	2.035358e-03	7.068426e-05	7.068426e-05
8.000000e-01	1.000000e+00	2.230029e-03	1.654781e-04	1.654781e-04
1.000000e+00	1.200000e+00	2.766527e-03	1.215357e-04	1.215357e-04
1.200000e+00	1.400000e+00	3.638478e-03	1.688292e-04	1.688292e-04
1.400000e+00	1.600000e+00	4.430019e-03	6.839285e-05	6.839285e-05
1.600000e+00	1.800000e+00	5.287480e-03	8.217308e-05	8.217308e-05
1.800000e+00	2.000000e+00	6.140125e-03	1.015848e-04	1.015848e-04
2.000000e+00	2.200000e+00	7.136285e-03	2.232732e-04	2.232732e-04
2.200000e+00	2.400000e+00	7.517875e-03	1.325117e-04	1.325117e-04
