# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet4_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet4_y
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/jet4_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/jet4_y
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{j_4}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_4}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet4_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.600000e+00	-2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.200000e+00	-1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.800000e+00	-1.400000e+00	2.134814e-07	1.006667e-07	1.006667e-07
-1.400000e+00	-1.000000e+00	2.327892e-04	1.624639e-05	1.624639e-05
-1.000000e+00	-6.000000e-01	5.680287e-03	7.169246e-05	7.169246e-05
-6.000000e-01	-2.000000e-01	1.291316e-02	3.099302e-04	3.099302e-04
-2.000000e-01	2.000000e-01	3.042570e-03	6.574669e-05	6.574669e-05
2.000000e-01	6.000000e-01	1.277413e-02	9.728955e-05	9.728955e-05
6.000000e-01	1.000000e+00	5.514158e-03	9.972174e-05	9.972174e-05
1.000000e+00	1.400000e+00	2.480116e-04	1.256541e-05	1.256541e-05
1.400000e+00	1.800000e+00	-2.698000e-10	1.422341e-07	1.422341e-07
1.800000e+00	2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
