# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets
XLabel=$H_{T,jets}^\text{gap}$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$\text{d} \sigma/ \text{d} H_{T,jets}^\text{gap}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/HT_gapjets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.134968e-03	1.940259e-04	0.000000e+00
3.000000e+01	4.000000e+01	1.602748e-03	2.878100e-05	4.386800e-05
4.000000e+01	5.000000e+01	1.058054e-03	1.563900e-05	2.149500e-05
5.000000e+01	6.000000e+01	1.033414e-03	3.787080e-05	1.382900e-05
6.000000e+01	7.000000e+01	1.036093e-03	2.236700e-05	2.484000e-05
7.000000e+01	8.000000e+01	9.278003e-04	0.000000e+00	3.173220e-05
8.000000e+01	9.000000e+01	8.154330e-04	3.287330e-05	0.000000e+00
9.000000e+01	1.000000e+02	7.264398e-04	9.017500e-06	3.244580e-05
1.000000e+02	1.100000e+02	6.812991e-04	1.309447e-04	0.000000e+00
1.100000e+02	1.200000e+02	5.613933e-04	1.732480e-05	9.901600e-06
1.200000e+02	1.300000e+02	4.950446e-04	2.644210e-05	0.000000e+00
1.300000e+02	1.400000e+02	4.392289e-04	7.831720e-05	0.000000e+00
1.400000e+02	1.500000e+02	3.791212e-04	3.074890e-05	8.638200e-06
1.500000e+02	1.600000e+02	3.276151e-04	8.084000e-06	2.782100e-06
1.600000e+02	1.700000e+02	2.704216e-04	0.000000e+00	4.591020e-05
1.700000e+02	1.800000e+02	2.498512e-04	1.939230e-05	3.782180e-05
1.800000e+02	1.900000e+02	2.168076e-04	5.331000e-07	1.605160e-05
1.900000e+02	2.000000e+02	1.974527e-04	1.301220e-05	5.068410e-05
2.000000e+02	2.100000e+02	1.766883e-04	1.158230e-05	6.647600e-06
2.100000e+02	2.200000e+02	1.365058e-04	0.000000e+00	1.624840e-05
2.200000e+02	2.300000e+02	1.329367e-04	0.000000e+00	4.345400e-06
2.300000e+02	2.400000e+02	9.939419e-05	0.000000e+00	5.004041e-05
2.400000e+02	2.500000e+02	7.957135e-05	0.000000e+00	3.316045e-05
2.500000e+02	2.600000e+02	1.002805e-04	1.624077e-05	2.392100e-06
2.600000e+02	2.700000e+02	7.132508e-05	0.000000e+00	1.853667e-05
2.700000e+02	2.800000e+02	7.239015e-05	5.046520e-06	0.000000e+00
2.800000e+02	2.900000e+02	6.596127e-05	0.000000e+00	9.808660e-06
2.900000e+02	3.000000e+02	6.123931e-05	7.416730e-06	0.000000e+00
3.000000e+02	3.100000e+02	5.969594e-05	1.174880e-05	0.000000e+00
3.100000e+02	3.200000e+02	5.168537e-05	1.682037e-05	0.000000e+00
3.200000e+02	3.300000e+02	5.866048e-05	2.306689e-05	0.000000e+00
3.300000e+02	3.400000e+02	3.759633e-05	0.000000e+00	4.992900e-07
3.400000e+02	3.500000e+02	3.019986e-05	6.488000e-08	1.251116e-05
3.500000e+02	3.600000e+02	3.027777e-05	7.929430e-06	1.225838e-05
3.600000e+02	3.700000e+02	2.749476e-05	1.077700e-06	1.092827e-05
3.700000e+02	3.800000e+02	2.224219e-05	4.192610e-06	4.067400e-06
3.800000e+02	3.900000e+02	2.225585e-05	2.666880e-06	1.057300e-06
3.900000e+02	4.000000e+02	1.959744e-05	5.073320e-06	0.000000e+00
4.000000e+02	4.100000e+02	1.997306e-05	2.992590e-06	2.496020e-06
4.100000e+02	4.200000e+02	1.718588e-05	0.000000e+00	2.294930e-06
4.200000e+02	4.300000e+02	1.433061e-05	6.977000e-07	1.050500e-07
4.300000e+02	4.400000e+02	1.806388e-05	8.281976e-06	8.325400e-07
4.400000e+02	4.500000e+02	1.176071e-05	3.994724e-05	4.191690e-06
4.500000e+02	4.600000e+02	1.033994e-05	0.000000e+00	1.346103e-05
4.600000e+02	4.700000e+02	9.220854e-06	0.000000e+00	8.203760e-07
4.700000e+02	4.800000e+02	5.177355e-06	0.000000e+00	4.851935e-06
4.800000e+02	4.900000e+02	1.345801e-05	3.346240e-06	0.000000e+00
4.900000e+02	5.000000e+02	8.333344e-06	8.834390e-07	7.658060e-07
5.000000e+02	5.100000e+02	6.912448e-06	1.874540e-06	1.206279e-06
5.100000e+02	5.200000e+02	8.309090e-06	1.415048e-06	1.115041e-05
5.200000e+02	5.300000e+02	5.026937e-06	2.571360e-07	2.456417e-06
5.300000e+02	5.400000e+02	5.501198e-06	1.508098e-06	0.000000e+00
5.400000e+02	5.500000e+02	4.955570e-06	3.536731e-06	2.226057e-06
5.500000e+02	5.600000e+02	5.059471e-06	0.000000e+00	1.213884e-05
5.600000e+02	5.700000e+02	5.008940e-06	1.141088e-06	2.803460e-07
5.700000e+02	5.800000e+02	4.473853e-06	8.700480e-07	5.478050e-07
5.800000e+02	5.900000e+02	4.115796e-06	1.567714e-06	0.000000e+00
5.900000e+02	6.000000e+02	4.371830e-06	2.092292e-06	5.223550e-07
6.000000e+02	6.100000e+02	3.068591e-06	1.651400e-08	1.639817e-06
6.100000e+02	6.200000e+02	1.071410e-06	0.000000e+00	1.741187e-06
6.200000e+02	6.300000e+02	5.005793e-06	2.797776e-06	0.000000e+00
6.300000e+02	6.400000e+02	1.399531e-07	0.000000e+00	2.135677e-06
6.400000e+02	6.500000e+02	3.040386e-06	7.670560e-07	0.000000e+00
6.500000e+02	6.600000e+02	2.448077e-06	8.074700e-07	6.804700e-08
6.600000e+02	6.700000e+02	1.450085e-06	0.000000e+00	1.529196e-06
6.700000e+02	6.800000e+02	1.361167e-06	7.702167e-06	4.096849e-06
6.800000e+02	6.900000e+02	1.802907e-06	9.399760e-07	0.000000e+00
6.900000e+02	7.000000e+02	1.924387e-06	7.463640e-07	4.365020e-07
7.000000e+02	7.100000e+02	1.327637e-06	4.283014e-07	4.385560e-07
7.100000e+02	7.200000e+02	1.829566e-06	6.735470e-07	0.000000e+00
7.200000e+02	7.300000e+02	1.272531e-06	2.316700e-07	0.000000e+00
7.300000e+02	7.400000e+02	1.530856e-06	4.496650e-07	4.014675e-06
7.400000e+02	7.500000e+02	6.642115e-07	3.473528e-07	1.210797e-06
7.500000e+02	7.600000e+02	6.514263e-07	0.000000e+00	1.993324e-07
7.600000e+02	7.700000e+02	9.361153e-07	1.726361e-07	4.845187e-07
7.700000e+02	7.800000e+02	1.218703e-06	6.261137e-07	0.000000e+00
7.800000e+02	7.900000e+02	1.119923e-06	4.532421e-07	0.000000e+00
7.900000e+02	8.000000e+02	6.303960e-07	2.088732e-07	5.410970e-07
8.000000e+02	8.100000e+02	8.479275e-07	0.000000e+00	5.283947e-06
8.100000e+02	8.200000e+02	6.927714e-07	0.000000e+00	1.114517e-07
8.200000e+02	8.300000e+02	4.009810e-07	7.058103e-07	7.604970e-07
8.300000e+02	8.400000e+02	4.753390e-07	6.758240e-08	7.899190e-08
8.400000e+02	8.500000e+02	-1.294678e-06	0.000000e+00	1.720989e-06
8.500000e+02	8.600000e+02	7.126687e-07	2.785633e-07	6.190500e-09
8.600000e+02	8.700000e+02	-3.707851e-07	0.000000e+00	1.177726e-06
8.700000e+02	8.800000e+02	4.564737e-07	0.000000e+00	2.635465e-07
8.800000e+02	8.900000e+02	1.643628e-07	0.000000e+00	2.291203e-06
8.900000e+02	9.000000e+02	3.227757e-07	1.575303e-07	5.189370e-08
9.000000e+02	9.100000e+02	8.682909e-08	6.113729e-07	0.000000e+00
9.100000e+02	9.200000e+02	3.532150e-07	7.145799e-07	1.814460e-08
9.200000e+02	9.300000e+02	4.262655e-07	0.000000e+00	5.336969e-06
9.300000e+02	9.400000e+02	4.558463e-08	0.000000e+00	3.257926e-06
9.400000e+02	9.500000e+02	2.507711e-07	6.914970e-08	0.000000e+00
9.500000e+02	9.600000e+02	1.540838e-07	0.000000e+00	1.064614e-07
9.600000e+02	9.700000e+02	-9.133327e-07	0.000000e+00	1.791625e-06
9.700000e+02	9.800000e+02	1.501826e-07	1.352888e-07	0.000000e+00
9.800000e+02	9.900000e+02	1.737559e-07	4.963710e-08	0.000000e+00
9.900000e+02	1.000000e+03	1.097167e-07	1.772744e-07	1.651255e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/HT_gapjets
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.132133e-03	0.000000e+00	1.244040e-04
3.000000e+01	4.000000e+01	1.519086e-03	0.000000e+00	9.541500e-05
4.000000e+01	5.000000e+01	9.465845e-04	0.000000e+00	2.194410e-05
5.000000e+01	6.000000e+01	8.267619e-04	0.000000e+00	7.855550e-05
6.000000e+01	7.000000e+01	7.951415e-04	0.000000e+00	1.136527e-04
7.000000e+01	8.000000e+01	6.756958e-04	0.000000e+00	1.006756e-04
8.000000e+01	9.000000e+01	5.753891e-04	0.000000e+00	9.244060e-05
9.000000e+01	1.000000e+02	4.951922e-04	0.000000e+00	9.131310e-05
1.000000e+02	1.100000e+02	4.259542e-04	0.000000e+00	8.478080e-05
1.100000e+02	1.200000e+02	3.662335e-04	0.000000e+00	7.825570e-05
1.200000e+02	1.300000e+02	3.153808e-04	0.000000e+00	7.213000e-05
1.300000e+02	1.400000e+02	2.713377e-04	0.000000e+00	6.636230e-05
1.400000e+02	1.500000e+02	2.342326e-04	0.000000e+00	6.022740e-05
1.500000e+02	1.600000e+02	2.029471e-04	0.000000e+00	5.501990e-05
