# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/H_jjj_pT_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.993248e-05	5.539820e-06	0.000000e+00
1.000000e+01	2.000000e+01	2.599255e-04	4.727800e-06	3.189300e-06
2.000000e+01	3.000000e+01	4.023580e-04	0.000000e+00	9.203000e-06
3.000000e+01	4.000000e+01	5.031952e-04	0.000000e+00	4.080630e-05
4.000000e+01	5.000000e+01	6.565905e-04	2.952000e-06	0.000000e+00
5.000000e+01	6.000000e+01	7.339370e-04	2.423700e-05	1.028570e-05
6.000000e+01	7.000000e+01	7.910815e-04	7.752500e-06	5.760000e-08
7.000000e+01	8.000000e+01	8.386013e-04	8.040100e-06	1.225860e-05
8.000000e+01	9.000000e+01	8.542522e-04	3.262594e-04	2.138370e-05
9.000000e+01	1.000000e+02	8.531033e-04	5.879300e-06	3.364700e-06
1.000000e+02	1.100000e+02	8.720717e-04	1.089830e-05	0.000000e+00
1.100000e+02	1.200000e+02	8.437115e-04	3.938540e-05	4.179510e-05
1.200000e+02	1.300000e+02	8.415843e-04	7.600740e-05	0.000000e+00
1.300000e+02	1.400000e+02	8.313922e-04	4.092920e-05	0.000000e+00
1.400000e+02	1.500000e+02	7.730971e-04	1.166520e-05	2.940940e-05
1.500000e+02	1.600000e+02	7.687647e-04	2.859260e-05	0.000000e+00
1.600000e+02	1.700000e+02	7.146255e-04	0.000000e+00	2.182210e-05
1.700000e+02	1.800000e+02	6.935926e-04	0.000000e+00	2.437430e-05
1.800000e+02	1.900000e+02	6.758302e-04	3.908600e-05	0.000000e+00
1.900000e+02	2.000000e+02	6.224928e-04	2.025370e-05	4.444000e-05
2.000000e+02	2.100000e+02	6.081033e-04	2.376380e-05	5.352400e-06
2.100000e+02	2.200000e+02	5.779280e-04	1.694740e-05	5.776700e-06
2.200000e+02	2.300000e+02	5.228575e-04	0.000000e+00	4.415110e-05
2.300000e+02	2.400000e+02	4.827899e-04	0.000000e+00	4.020210e-05
2.400000e+02	2.500000e+02	4.772792e-04	1.625530e-05	1.438560e-05
2.500000e+02	2.600000e+02	4.620567e-04	2.822770e-05	1.535880e-05
2.600000e+02	2.700000e+02	4.356509e-04	5.807450e-05	1.793810e-05
2.700000e+02	2.800000e+02	4.155840e-04	4.353750e-05	7.915700e-06
2.800000e+02	2.900000e+02	3.809394e-04	6.335900e-06	2.720760e-05
2.900000e+02	3.000000e+02	3.743948e-04	0.000000e+00	8.329500e-06
