# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_jfjb
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	2.825018e-01	1.465050e-02	1.328104e-02
-3.036873e+00	-2.932153e+00	2.756112e-01	1.521104e-03	0.000000e+00
-2.932153e+00	-2.827433e+00	2.632300e-01	9.659377e-03	2.909664e-03
-2.827433e+00	-2.722713e+00	2.378304e-01	1.285822e-02	2.074027e-03
-2.722714e+00	-2.617994e+00	2.172973e-01	2.055863e-03	0.000000e+00
-2.617994e+00	-2.513274e+00	1.918068e-01	3.072002e-03	2.994366e-03
-2.513274e+00	-2.408554e+00	1.677543e-01	0.000000e+00	4.477750e-03
-2.408554e+00	-2.303834e+00	1.430754e-01	7.084770e-03	5.779467e-03
-2.303835e+00	-2.199115e+00	1.255870e-01	6.590050e-03	0.000000e+00
-2.199115e+00	-2.094395e+00	1.058213e-01	1.362108e-03	3.148682e-03
-2.094395e+00	-1.989675e+00	8.863081e-02	1.857286e-03	0.000000e+00
-1.989675e+00	-1.884955e+00	7.696253e-02	2.027999e-04	0.000000e+00
-1.884956e+00	-1.780236e+00	6.657562e-02	1.677072e-03	2.579431e-03
-1.780236e+00	-1.675516e+00	6.125793e-02	8.135877e-03	0.000000e+00
-1.675516e+00	-1.570796e+00	5.541970e-02	0.000000e+00	8.133212e-04
-1.570796e+00	-1.466076e+00	5.284555e-02	0.000000e+00	2.066693e-03
-1.466077e+00	-1.361357e+00	5.698731e-02	6.919681e-03	0.000000e+00
-1.361357e+00	-1.256637e+00	5.706517e-02	2.136125e-03	0.000000e+00
-1.256637e+00	-1.151917e+00	5.857538e-02	3.201681e-04	3.017571e-04
-1.151917e+00	-1.047197e+00	6.417286e-02	0.000000e+00	2.117562e-03
-1.047198e+00	-9.424778e-01	7.174891e-02	1.762468e-03	6.505431e-04
-9.424778e-01	-8.377580e-01	7.658177e-02	0.000000e+00	8.904047e-04
-8.377581e-01	-7.330384e-01	8.449951e-02	0.000000e+00	1.717041e-03
-7.330383e-01	-6.283185e-01	9.261887e-02	9.875210e-04	1.599373e-03
-6.283186e-01	-5.235989e-01	1.026049e-01	1.087952e-03	2.757838e-04
-5.235988e-01	-4.188790e-01	1.136086e-01	1.070571e-03	2.724891e-03
-4.188790e-01	-3.141594e-01	1.141599e-01	1.420745e-03	0.000000e+00
-3.141593e-01	-2.094395e-01	1.078381e-01	1.718968e-03	1.523876e-03
