# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltay_H_j2
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/deltay_H_j2
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.824131e-01	6.498200e-03	0.000000e+00
2.000000e-01	4.000000e-01	2.823793e-01	2.785515e-02	4.451000e-04
4.000000e-01	6.000000e-01	2.753364e-01	3.450900e-03	8.031650e-03
6.000000e-01	8.000000e-01	2.721770e-01	2.818900e-03	1.220150e-03
8.000000e-01	1.000000e+00	2.638895e-01	1.726635e-02	6.236850e-03
1.000000e+00	1.200000e+00	2.571811e-01	5.965300e-03	6.546000e-04
1.200000e+00	1.400000e+00	2.440403e-01	3.161900e-03	0.000000e+00
1.400000e+00	1.600000e+00	2.320235e-01	2.606900e-03	0.000000e+00
1.600000e+00	1.800000e+00	2.179352e-01	1.184235e-02	0.000000e+00
1.800000e+00	2.000000e+00	1.994427e-01	1.166915e-02	2.946700e-03
2.000000e+00	2.200000e+00	1.858047e-01	0.000000e+00	1.473550e-03
2.200000e+00	2.400000e+00	1.660679e-01	0.000000e+00	2.416050e-03
2.400000e+00	2.600000e+00	1.476486e-01	0.000000e+00	2.727750e-03
2.600000e+00	2.800000e+00	1.341108e-01	3.382000e-04	2.368750e-03
2.800000e+00	3.000000e+00	1.151366e-01	0.000000e+00	1.739350e-03
3.000000e+00	3.200000e+00	1.006799e-01	2.640350e-03	0.000000e+00
3.200000e+00	3.400000e+00	8.473390e-02	4.970000e-05	2.155800e-03
3.400000e+00	3.600000e+00	7.324775e-02	2.898150e-03	0.000000e+00
3.600000e+00	3.800000e+00	6.020265e-02	1.282200e-03	0.000000e+00
3.800000e+00	4.000000e+00	4.920543e-02	0.000000e+00	2.201650e-04
4.000000e+00	4.200000e+00	3.936632e-02	8.633450e-04	0.000000e+00
4.200000e+00	4.400000e+00	3.142742e-02	1.116700e-04	1.432800e-04
4.400000e+00	4.600000e+00	2.501966e-02	4.721300e-04	6.710000e-06
4.600000e+00	4.800000e+00	1.926736e-02	0.000000e+00	3.986750e-04
4.800000e+00	5.000000e+00	1.514734e-02	7.012750e-04	2.439350e-04
5.000000e+00	5.200000e+00	1.038605e-02	0.000000e+00	6.426400e-04
