# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.246740e-06	0.000000e+00	7.463085e-07
-4.400000e+00	-4.200000e+00	2.925110e-05	1.848309e-05	3.424090e-06
-4.200000e+00	-4.000000e+00	1.093410e-04	8.634250e-06	1.187240e-05
-4.000000e+00	-3.800000e+00	3.089804e-04	8.620015e-05	0.000000e+00
-3.800000e+00	-3.600000e+00	6.001980e-04	1.523500e-05	1.035240e-04
-3.600000e+00	-3.400000e+00	1.052438e-03	0.000000e+00	1.180610e-04
-3.400000e+00	-3.200000e+00	1.993855e-03	1.014040e-04	1.655865e-04
-3.200000e+00	-3.000000e+00	3.244449e-03	2.920865e-04	4.296100e-05
-3.000000e+00	-2.800000e+00	4.800888e-03	2.138030e-04	1.902395e-04
-2.800000e+00	-2.600000e+00	6.797490e-03	4.497550e-04	3.546950e-04
-2.600000e+00	-2.400000e+00	9.196645e-03	5.258400e-04	1.053915e-03
-2.400000e+00	-2.200000e+00	1.227861e-02	5.518050e-04	3.489900e-04
-2.200000e+00	-2.000000e+00	1.518853e-02	3.708995e-03	0.000000e+00
-2.000000e+00	-1.800000e+00	1.820938e-02	7.738700e-04	6.461900e-04
-1.800000e+00	-1.600000e+00	2.118679e-02	7.992650e-04	1.172570e-03
-1.600000e+00	-1.400000e+00	2.411673e-02	0.000000e+00	2.801690e-03
-1.400000e+00	-1.200000e+00	2.852187e-02	2.489205e-03	0.000000e+00
-1.200000e+00	-1.000000e+00	3.000250e-02	1.859040e-03	6.588150e-04
-1.000000e+00	-8.000000e-01	3.205808e-02	5.564200e-04	1.253710e-03
-8.000000e-01	-6.000000e-01	3.285420e-02	0.000000e+00	1.621545e-03
-6.000000e-01	-4.000000e-01	3.388356e-02	0.000000e+00	4.610520e-03
-4.000000e-01	-2.000000e-01	3.488116e-02	1.504263e-02	0.000000e+00
-2.000000e-01	0.000000e+00	3.662597e-02	1.563715e-03	0.000000e+00
0.000000e+00	2.000000e-01	3.625598e-02	1.435150e-03	2.816495e-03
2.000000e-01	4.000000e-01	3.583480e-02	1.863530e-03	2.804650e-04
4.000000e-01	6.000000e-01	3.383915e-02	0.000000e+00	2.512885e-03
6.000000e-01	8.000000e-01	3.335106e-02	0.000000e+00	1.145260e-03
8.000000e-01	1.000000e+00	3.087889e-02	0.000000e+00	8.637400e-04
1.000000e+00	1.200000e+00	2.864546e-02	1.911310e-03	7.987600e-04
1.200000e+00	1.400000e+00	2.500325e-02	2.540995e-03	1.702960e-03
1.400000e+00	1.600000e+00	2.302112e-02	0.000000e+00	3.006300e-04
1.600000e+00	1.800000e+00	2.059284e-02	4.062300e-04	0.000000e+00
1.800000e+00	2.000000e+00	1.730052e-02	1.403500e-05	3.230000e-06
2.000000e+00	2.200000e+00	1.435632e-02	2.393900e-04	1.208445e-03
2.200000e+00	2.400000e+00	1.179442e-02	9.357400e-04	0.000000e+00
2.400000e+00	2.600000e+00	8.786660e-03	3.611050e-04	0.000000e+00
2.600000e+00	2.800000e+00	6.745145e-03	3.067650e-04	0.000000e+00
2.800000e+00	3.000000e+00	5.261690e-03	9.976235e-04	0.000000e+00
3.000000e+00	3.200000e+00	3.007163e-03	2.254625e-04	0.000000e+00
3.200000e+00	3.400000e+00	1.858037e-03	0.000000e+00	1.242970e-04
3.400000e+00	3.600000e+00	1.077657e-03	0.000000e+00	8.856500e-05
3.600000e+00	3.800000e+00	5.417140e-04	0.000000e+00	5.130100e-05
3.800000e+00	4.000000e+00	2.785232e-04	1.106080e-05	8.572950e-06
4.000000e+00	4.200000e+00	1.026051e-04	1.116450e-06	1.120830e-05
4.200000e+00	4.400000e+00	2.824604e-05	4.012900e-06	1.871485e-06
4.400000e+00	4.600000e+00	2.318891e-06	1.009935e-06	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.685603e-06	0.000000e+00	6.184845e-07
-4.400000e+00	-4.200000e+00	2.445349e-05	0.000000e+00	6.324675e-06
-4.200000e+00	-4.000000e+00	9.412515e-05	0.000000e+00	2.005875e-05
-4.000000e+00	-3.800000e+00	2.461394e-04	0.000000e+00	4.678920e-05
-3.800000e+00	-3.600000e+00	5.089455e-04	0.000000e+00	1.041630e-04
-3.600000e+00	-3.400000e+00	9.383835e-04	0.000000e+00	1.860495e-04
-3.400000e+00	-3.200000e+00	1.573266e-03	0.000000e+00	3.022460e-04
-3.200000e+00	-3.000000e+00	2.465774e-03	0.000000e+00	4.470300e-04
-3.000000e+00	-2.800000e+00	3.646045e-03	0.000000e+00	6.577015e-04
-2.800000e+00	-2.600000e+00	5.094885e-03	0.000000e+00	9.137100e-04
-2.600000e+00	-2.400000e+00	6.855980e-03	0.000000e+00	1.193400e-03
-2.400000e+00	-2.200000e+00	8.826875e-03	0.000000e+00	1.500990e-03
-2.200000e+00	-2.000000e+00	1.097457e-02	0.000000e+00	1.852995e-03
-2.000000e+00	-1.800000e+00	1.329058e-02	0.000000e+00	2.150725e-03
-1.800000e+00	-1.600000e+00	1.554946e-02	0.000000e+00	2.549055e-03
-1.600000e+00	-1.400000e+00	1.783924e-02	0.000000e+00	2.824560e-03
-1.400000e+00	-1.200000e+00	1.988307e-02	0.000000e+00	3.335535e-03
-1.200000e+00	-1.000000e+00	2.185095e-02	0.000000e+00	3.497710e-03
-1.000000e+00	-8.000000e-01	2.354906e-02	0.000000e+00	3.770545e-03
-8.000000e-01	-6.000000e-01	2.502691e-02	0.000000e+00	3.883140e-03
-6.000000e-01	-4.000000e-01	2.606780e-02	0.000000e+00	4.146915e-03
-4.000000e-01	-2.000000e-01	2.687025e-02	0.000000e+00	4.185030e-03
-2.000000e-01	0.000000e+00	2.722809e-02	0.000000e+00	4.318525e-03
0.000000e+00	2.000000e-01	2.719065e-02	0.000000e+00	4.277545e-03
2.000000e-01	4.000000e-01	2.682223e-02	0.000000e+00	4.230415e-03
4.000000e-01	6.000000e-01	2.605760e-02	0.000000e+00	4.128915e-03
6.000000e-01	8.000000e-01	2.497419e-02	0.000000e+00	3.886340e-03
8.000000e-01	1.000000e+00	2.354373e-02	0.000000e+00	3.732660e-03
1.000000e+00	1.200000e+00	2.185300e-02	0.000000e+00	3.482530e-03
1.200000e+00	1.400000e+00	1.991164e-02	0.000000e+00	3.214785e-03
1.400000e+00	1.600000e+00	1.776026e-02	0.000000e+00	2.870460e-03
1.600000e+00	1.800000e+00	1.552315e-02	0.000000e+00	2.588325e-03
1.800000e+00	2.000000e+00	1.323331e-02	0.000000e+00	2.197975e-03
2.000000e+00	2.200000e+00	1.092741e-02	0.000000e+00	1.868170e-03
2.200000e+00	2.400000e+00	8.838850e-03	0.000000e+00	1.470755e-03
2.400000e+00	2.600000e+00	6.840885e-03	0.000000e+00	1.168345e-03
2.600000e+00	2.800000e+00	5.108815e-03	0.000000e+00	9.169550e-04
2.800000e+00	3.000000e+00	3.649272e-03	0.000000e+00	6.418490e-04
3.000000e+00	3.200000e+00	2.462003e-03	0.000000e+00	4.346665e-04
3.200000e+00	3.400000e+00	1.573794e-03	0.000000e+00	2.933085e-04
3.400000e+00	3.600000e+00	9.288565e-04	0.000000e+00	1.996590e-04
3.600000e+00	3.800000e+00	5.091870e-04	0.000000e+00	1.010590e-04
3.800000e+00	4.000000e+00	2.453482e-04	0.000000e+00	5.158500e-05
