# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_2j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j2j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	2.376224e-10	6.215670e-11	0.000000e+00
2.400000e+01	2.800000e+01	4.097283e-09	0.000000e+00	4.052263e-09
2.800000e+01	3.200000e+01	3.292222e-08	2.794875e-09	1.234050e-08
3.200000e+01	3.600000e+01	1.052846e-07	1.814310e-08	5.596240e-08
3.600000e+01	4.000000e+01	3.250208e-07	8.384165e-08	5.163175e-08
4.000000e+01	4.400000e+01	5.309843e-07	0.000000e+00	2.778045e-07
4.400000e+01	4.800000e+01	1.207840e-06	1.709130e-07	3.991513e-07
4.800000e+01	5.200000e+01	2.037181e-06	3.515577e-07	1.840308e-07
5.200000e+01	5.600000e+01	2.794695e-06	2.218725e-07	1.634560e-06
5.600000e+01	6.000000e+01	4.050543e-06	2.745600e-07	1.455333e-06
6.000000e+01	6.400000e+01	5.639210e-06	4.833575e-07	7.395225e-07
6.400000e+01	6.800000e+01	8.053290e-06	1.710235e-06	0.000000e+00
6.800000e+01	7.200000e+01	8.958772e-06	3.706842e-06	1.047280e-06
7.200000e+01	7.600000e+01	1.034505e-05	3.596500e-07	5.049178e-06
7.600000e+01	8.000000e+01	1.273494e-05	0.000000e+00	6.468415e-06
8.000000e+01	8.400000e+01	1.384241e-05	0.000000e+00	5.069005e-06
8.400000e+01	8.800000e+01	1.709917e-05	2.280912e-06	0.000000e+00
8.800000e+01	9.200000e+01	2.321689e-05	5.603320e-06	2.211115e-06
9.200000e+01	9.600000e+01	2.298861e-05	0.000000e+00	3.342643e-06
9.600000e+01	1.000000e+02	2.662192e-05	3.545000e-07	2.150650e-06
1.000000e+02	1.040000e+02	2.717115e-05	0.000000e+00	6.460650e-06
1.040000e+02	1.080000e+02	3.414038e-05	4.066950e-06	3.715225e-06
1.080000e+02	1.120000e+02	3.328085e-05	2.710125e-06	7.016650e-06
1.120000e+02	1.160000e+02	3.987985e-05	4.578650e-06	0.000000e+00
1.160000e+02	1.200000e+02	3.823918e-05	1.711850e-06	6.018200e-06
1.200000e+02	1.240000e+02	4.250068e-05	0.000000e+00	4.250950e-06
1.240000e+02	1.280000e+02	4.859070e-05	5.476225e-06	4.170000e-06
1.280000e+02	1.320000e+02	4.971130e-05	2.676000e-07	6.802125e-06
1.320000e+02	1.360000e+02	5.305680e-05	4.431625e-06	1.726950e-06
1.360000e+02	1.400000e+02	5.633105e-05	3.537325e-06	5.438925e-06
1.400000e+02	1.440000e+02	5.889762e-05	4.739350e-06	1.101850e-05
1.440000e+02	1.480000e+02	6.292883e-05	1.024340e-05	5.499212e-05
1.480000e+02	1.520000e+02	6.757210e-05	1.809370e-05	5.043000e-06
1.520000e+02	1.560000e+02	7.020430e-05	2.076477e-05	0.000000e+00
1.560000e+02	1.600000e+02	7.551638e-05	9.528450e-06	7.020650e-06
1.600000e+02	1.640000e+02	7.458862e-05	7.924100e-06	9.272550e-06
1.640000e+02	1.680000e+02	8.065933e-05	9.788500e-06	6.808850e-06
1.680000e+02	1.720000e+02	8.067647e-05	7.407775e-06	9.620750e-06
1.720000e+02	1.760000e+02	9.624380e-05	2.286505e-05	4.218100e-06
1.760000e+02	1.800000e+02	9.009265e-05	1.102260e-05	6.478975e-06
1.800000e+02	1.840000e+02	8.760113e-05	4.811925e-06	1.458225e-06
1.840000e+02	1.880000e+02	9.530200e-05	8.966600e-06	4.460125e-06
1.880000e+02	1.920000e+02	1.009629e-04	9.352725e-06	4.121625e-06
1.920000e+02	1.960000e+02	9.808333e-05	1.303208e-05	8.435000e-06
1.960000e+02	2.000000e+02	1.036691e-04	1.114573e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	2.137158e-10	2.563044e-10	1.068214e-10
2.400000e+01	2.800000e+01	4.276252e-09	0.000000e+00	5.921382e-09
2.800000e+01	3.200000e+01	3.183832e-08	6.539350e-09	1.059650e-09
3.200000e+01	3.600000e+01	1.082865e-07	0.000000e+00	3.432533e-08
3.600000e+01	4.000000e+01	2.937238e-07	0.000000e+00	9.791550e-08
4.000000e+01	4.400000e+01	5.897100e-07	0.000000e+00	2.547375e-07
4.400000e+01	4.800000e+01	1.048360e-06	0.000000e+00	3.852320e-07
4.800000e+01	5.200000e+01	1.693353e-06	0.000000e+00	5.909870e-07
5.200000e+01	5.600000e+01	2.553925e-06	0.000000e+00	9.414325e-07
5.600000e+01	6.000000e+01	3.319118e-06	0.000000e+00	1.420045e-06
6.000000e+01	6.400000e+01	4.666140e-06	0.000000e+00	1.474510e-06
6.400000e+01	6.800000e+01	5.724820e-06	0.000000e+00	2.497068e-06
6.800000e+01	7.200000e+01	6.732208e-06	0.000000e+00	2.826310e-06
7.200000e+01	7.600000e+01	8.338785e-06	0.000000e+00	2.869128e-06
7.600000e+01	8.000000e+01	9.691718e-06	0.000000e+00	3.653905e-06
8.000000e+01	8.400000e+01	1.114994e-05	0.000000e+00	3.882068e-06
8.400000e+01	8.800000e+01	1.242464e-05	0.000000e+00	5.172612e-06
8.800000e+01	9.200000e+01	1.389045e-05	0.000000e+00	5.491320e-06
9.200000e+01	9.600000e+01	1.584867e-05	0.000000e+00	6.012432e-06
9.600000e+01	1.000000e+02	1.708556e-05	0.000000e+00	7.428960e-06
1.000000e+02	1.040000e+02	1.902301e-05	0.000000e+00	7.834810e-06
1.040000e+02	1.080000e+02	2.179653e-05	0.000000e+00	7.502018e-06
1.080000e+02	1.120000e+02	2.340916e-05	0.000000e+00	8.807315e-06
1.120000e+02	1.160000e+02	2.453797e-05	0.000000e+00	9.607653e-06
1.160000e+02	1.200000e+02	2.654535e-05	0.000000e+00	1.005220e-05
1.200000e+02	1.240000e+02	2.842905e-05	0.000000e+00	9.608950e-06
1.240000e+02	1.280000e+02	3.036777e-05	0.000000e+00	1.142778e-05
1.280000e+02	1.320000e+02	3.184198e-05	0.000000e+00	1.289445e-05
1.320000e+02	1.360000e+02	3.373630e-05	0.000000e+00	1.220945e-05
1.360000e+02	1.400000e+02	3.617217e-05	0.000000e+00	1.279900e-05
1.400000e+02	1.440000e+02	3.787190e-05	0.000000e+00	1.452470e-05
1.440000e+02	1.480000e+02	3.934927e-05	0.000000e+00	1.515867e-05
1.480000e+02	1.520000e+02	4.209880e-05	0.000000e+00	1.469905e-05
1.520000e+02	1.560000e+02	4.327308e-05	0.000000e+00	1.600165e-05
1.560000e+02	1.600000e+02	4.618765e-05	0.000000e+00	1.446185e-05
1.600000e+02	1.640000e+02	4.817923e-05	0.000000e+00	1.547430e-05
1.640000e+02	1.680000e+02	4.980687e-05	0.000000e+00	1.692905e-05
1.680000e+02	1.720000e+02	5.180110e-05	0.000000e+00	1.744695e-05
1.720000e+02	1.760000e+02	5.240518e-05	0.000000e+00	1.927228e-05
1.760000e+02	1.800000e+02	5.471090e-05	0.000000e+00	1.813565e-05
1.800000e+02	1.840000e+02	5.666487e-05	0.000000e+00	1.858850e-05
1.840000e+02	1.880000e+02	5.840170e-05	0.000000e+00	1.884140e-05
1.880000e+02	1.920000e+02	6.000203e-05	0.000000e+00	1.848725e-05
1.920000e+02	1.960000e+02	6.159300e-05	0.000000e+00	2.060768e-05
1.960000e+02	2.000000e+02	6.259437e-05	0.000000e+00	2.292050e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
