# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j2j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	6.615540e-11	0.000000e+00	1.166012e-10
2.000000e+01	3.000000e+01	3.652780e-07	9.023680e-08	0.000000e+00
3.000000e+01	4.000000e+01	5.044221e-06	2.432400e-07	1.157087e-06
4.000000e+01	5.000000e+01	1.847933e-05	2.511180e-06	2.912950e-06
5.000000e+01	6.000000e+01	4.253886e-05	0.000000e+00	7.602050e-06
6.000000e+01	7.000000e+01	7.129505e-05	6.676270e-06	1.276440e-05
7.000000e+01	8.000000e+01	1.007504e-04	6.973750e-06	5.210100e-06
8.000000e+01	9.000000e+01	1.333483e-04	2.042410e-05	0.000000e+00
9.000000e+01	1.000000e+02	1.568005e-04	1.854040e-05	0.000000e+00
1.000000e+02	1.100000e+02	1.785666e-04	1.991140e-05	8.191300e-06
1.100000e+02	1.200000e+02	2.042780e-04	1.989640e-05	1.113660e-05
1.200000e+02	1.300000e+02	2.197741e-04	2.081570e-05	3.766190e-05
1.300000e+02	1.400000e+02	2.313705e-04	2.692360e-05	1.759640e-05
1.400000e+02	1.500000e+02	2.438683e-04	1.468000e-05	1.639490e-05
1.500000e+02	1.600000e+02	2.556164e-04	2.116060e-05	0.000000e+00
1.600000e+02	1.700000e+02	2.599674e-04	6.603600e-06	1.651360e-05
1.700000e+02	1.800000e+02	2.529226e-04	5.749700e-06	2.689530e-05
1.800000e+02	1.900000e+02	2.783171e-04	4.244970e-05	5.272000e-06
1.900000e+02	2.000000e+02	2.651905e-04	2.040230e-05	2.346580e-05
2.000000e+02	2.100000e+02	2.719340e-04	2.698770e-05	2.885000e-06
2.100000e+02	2.200000e+02	2.600997e-04	1.632450e-05	2.638110e-05
2.200000e+02	2.300000e+02	2.593843e-04	1.837710e-05	2.026870e-05
2.300000e+02	2.400000e+02	2.479954e-04	5.469200e-06	1.876350e-05
2.400000e+02	2.500000e+02	2.429534e-04	9.035700e-06	9.902300e-06
2.500000e+02	2.600000e+02	2.246701e-04	0.000000e+00	3.029320e-05
2.600000e+02	2.700000e+02	2.504086e-04	2.075670e-05	1.339360e-05
2.700000e+02	2.800000e+02	2.342123e-04	2.122950e-05	1.045160e-05
2.800000e+02	2.900000e+02	2.309465e-04	1.284700e-06	0.000000e+00
2.900000e+02	3.000000e+02	2.375921e-04	1.838160e-05	3.011000e-07
3.000000e+02	3.100000e+02	2.190127e-04	0.000000e+00	1.906650e-05
3.100000e+02	3.200000e+02	2.265846e-04	5.838920e-05	0.000000e+00
3.200000e+02	3.300000e+02	2.073186e-04	1.234800e-06	4.880280e-05
3.300000e+02	3.400000e+02	2.132674e-04	8.041200e-06	5.991500e-06
3.400000e+02	3.500000e+02	2.088499e-04	1.593540e-05	1.634720e-05
3.500000e+02	3.600000e+02	1.870410e-04	0.000000e+00	2.926780e-05
3.600000e+02	3.700000e+02	1.977377e-04	8.686400e-06	0.000000e+00
3.700000e+02	3.800000e+02	1.823262e-04	0.000000e+00	2.650450e-05
3.800000e+02	3.900000e+02	1.997689e-04	1.808690e-05	2.161000e-06
3.900000e+02	4.000000e+02	1.901388e-04	5.358900e-06	2.272040e-05
4.000000e+02	4.100000e+02	1.872845e-04	1.151100e-05	0.000000e+00
4.100000e+02	4.200000e+02	1.787038e-04	1.419740e-05	0.000000e+00
4.200000e+02	4.300000e+02	1.803716e-04	4.980460e-05	1.657400e-05
4.300000e+02	4.400000e+02	1.620891e-04	0.000000e+00	1.837760e-05
4.400000e+02	4.500000e+02	1.752007e-04	2.467750e-05	0.000000e+00
4.500000e+02	4.600000e+02	1.642869e-04	1.219320e-05	6.757900e-06
4.600000e+02	4.700000e+02	1.616548e-04	1.367350e-05	7.268500e-06
4.700000e+02	4.800000e+02	1.513140e-04	6.714800e-06	1.129170e-05
4.800000e+02	4.900000e+02	1.539315e-04	1.600280e-05	0.000000e+00
4.900000e+02	5.000000e+02	1.474943e-04	2.192100e-05	3.212200e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	3.999079e-10	3.999079e-10	0.000000e+00
2.000000e+01	3.000000e+01	3.319836e-07	0.000000e+00	9.437720e-08
3.000000e+01	4.000000e+01	5.364632e-06	0.000000e+00	1.478116e-06
4.000000e+01	5.000000e+01	1.898953e-05	0.000000e+00	5.925850e-06
5.000000e+01	6.000000e+01	3.752101e-05	0.000000e+00	1.263285e-05
6.000000e+01	7.000000e+01	5.611862e-05	0.000000e+00	1.902914e-05
7.000000e+01	8.000000e+01	7.288450e-05	0.000000e+00	2.522763e-05
8.000000e+01	9.000000e+01	8.968022e-05	0.000000e+00	2.925088e-05
9.000000e+01	1.000000e+02	1.045639e-04	0.000000e+00	3.466950e-05
1.000000e+02	1.100000e+02	1.181902e-04	0.000000e+00	3.953600e-05
1.100000e+02	1.200000e+02	1.314423e-04	0.000000e+00	4.154590e-05
1.200000e+02	1.300000e+02	1.421028e-04	0.000000e+00	4.358860e-05
1.300000e+02	1.400000e+02	1.524768e-04	0.000000e+00	4.338300e-05
1.400000e+02	1.500000e+02	1.570902e-04	0.000000e+00	4.717160e-05
1.500000e+02	1.600000e+02	1.628235e-04	0.000000e+00	4.682830e-05
1.600000e+02	1.700000e+02	1.663187e-04	0.000000e+00	4.800360e-05
1.700000e+02	1.800000e+02	1.684997e-04	0.000000e+00	4.792530e-05
1.800000e+02	1.900000e+02	1.697045e-04	0.000000e+00	4.833810e-05
1.900000e+02	2.000000e+02	1.698280e-04	0.000000e+00	4.744880e-05
2.000000e+02	2.100000e+02	1.688111e-04	0.000000e+00	4.960870e-05
2.100000e+02	2.200000e+02	1.681460e-04	0.000000e+00	4.781170e-05
2.200000e+02	2.300000e+02	1.667944e-04	0.000000e+00	4.717630e-05
2.300000e+02	2.400000e+02	1.644421e-04	0.000000e+00	4.785790e-05
2.400000e+02	2.500000e+02	1.627395e-04	0.000000e+00	4.556960e-05
2.500000e+02	2.600000e+02	1.597147e-04	0.000000e+00	4.633680e-05
2.600000e+02	2.700000e+02	1.569030e-04	0.000000e+00	4.518510e-05
2.700000e+02	2.800000e+02	1.540811e-04	0.000000e+00	4.462710e-05
2.800000e+02	2.900000e+02	1.508008e-04	0.000000e+00	4.414100e-05
2.900000e+02	3.000000e+02	1.480333e-04	0.000000e+00	4.308220e-05
3.000000e+02	3.100000e+02	1.451234e-04	0.000000e+00	4.178680e-05
3.100000e+02	3.200000e+02	1.426750e-04	0.000000e+00	4.015870e-05
3.200000e+02	3.300000e+02	1.387532e-04	0.000000e+00	4.022440e-05
3.300000e+02	3.400000e+02	1.361425e-04	0.000000e+00	3.928810e-05
3.400000e+02	3.500000e+02	1.325606e-04	0.000000e+00	3.897730e-05
3.500000e+02	3.600000e+02	1.291849e-04	0.000000e+00	3.831510e-05
3.600000e+02	3.700000e+02	1.260773e-04	0.000000e+00	3.821430e-05
3.700000e+02	3.800000e+02	1.229057e-04	0.000000e+00	3.735490e-05
3.800000e+02	3.900000e+02	1.204996e-04	0.000000e+00	3.615940e-05
3.900000e+02	4.000000e+02	1.176233e-04	0.000000e+00	3.515950e-05
4.000000e+02	4.100000e+02	1.145763e-04	0.000000e+00	3.433050e-05
4.100000e+02	4.200000e+02	1.120504e-04	0.000000e+00	3.360420e-05
4.200000e+02	4.300000e+02	1.090281e-04	0.000000e+00	3.280810e-05
4.300000e+02	4.400000e+02	1.067229e-04	0.000000e+00	3.148010e-05
4.400000e+02	4.500000e+02	1.038063e-04	0.000000e+00	3.091290e-05
4.500000e+02	4.600000e+02	1.014186e-04	0.000000e+00	3.069350e-05
4.600000e+02	4.700000e+02	9.859632e-05	0.000000e+00	3.042068e-05
4.700000e+02	4.800000e+02	9.620002e-05	0.000000e+00	2.998458e-05
4.800000e+02	4.900000e+02	9.440887e-05	0.000000e+00	2.836793e-05
4.900000e+02	5.000000e+02	9.179808e-05	0.000000e+00	3.022972e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	1.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+02	2.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+02	2.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	2.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	2.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+02	3.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	3.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+02	3.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+02	3.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+02	3.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e+02	4.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+02	4.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	4.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+02	4.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+02	4.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+02	4.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

