# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1}^{incl}$ (GeV)
LegendAlign=r
XMax=300.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet1_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.637375e-05	2.191100e-06	5.494170e-06
3.000000e+01	4.000000e+01	2.655478e-04	2.377960e-05	3.304510e-05
4.000000e+01	5.000000e+01	6.495123e-04	3.572860e-05	5.666750e-05
5.000000e+01	6.000000e+01	1.112890e-03	4.353200e-05	7.007400e-05
6.000000e+01	7.000000e+01	1.587554e-03	4.423500e-05	4.092600e-05
7.000000e+01	8.000000e+01	2.006401e-03	3.556300e-05	3.499300e-05
8.000000e+01	9.000000e+01	2.352204e-03	3.372300e-05	1.655600e-05
9.000000e+01	1.000000e+02	2.605521e-03	2.870500e-05	1.467100e-05
1.000000e+02	1.100000e+02	2.767136e-03	5.447000e-06	1.582000e-06
1.100000e+02	1.200000e+02	2.862920e-03	1.335000e-05	2.483000e-06
1.200000e+02	1.300000e+02	2.909086e-03	6.210000e-06	1.973800e-05
1.300000e+02	1.400000e+02	2.872209e-03	4.535700e-05	1.745900e-05
1.400000e+02	1.500000e+02	2.855395e-03	6.861700e-05	0.000000e+00
1.500000e+02	1.600000e+02	2.744442e-03	2.920000e-05	3.138500e-05
1.600000e+02	1.700000e+02	2.669064e-03	7.590600e-05	2.540900e-05
1.700000e+02	1.800000e+02	2.555999e-03	8.911100e-05	4.199500e-05
1.800000e+02	1.900000e+02	2.459648e-03	4.555800e-05	0.000000e+00
1.900000e+02	2.000000e+02	2.301726e-03	6.357600e-05	6.726500e-05
2.000000e+02	2.100000e+02	2.185162e-03	4.577800e-05	5.382700e-05
2.100000e+02	2.200000e+02	2.082811e-03	4.086100e-05	2.465400e-05
2.200000e+02	2.300000e+02	1.972732e-03	5.435800e-05	0.000000e+00
2.300000e+02	2.400000e+02	1.824516e-03	0.000000e+00	1.037400e-05
2.400000e+02	2.500000e+02	1.738231e-03	2.491800e-05	0.000000e+00
2.500000e+02	2.600000e+02	1.628194e-03	2.658200e-05	2.131300e-05
2.600000e+02	2.700000e+02	1.513145e-03	3.548100e-05	4.546800e-05
2.700000e+02	2.800000e+02	1.421629e-03	1.526500e-05	6.705000e-06
2.800000e+02	2.900000e+02	1.353094e-03	3.907700e-05	0.000000e+00
2.900000e+02	3.000000e+02	1.226500e-03	0.000000e+00	1.088700e-04
3.000000e+02	3.100000e+02	1.189038e-03	2.628600e-05	0.000000e+00
3.100000e+02	3.200000e+02	1.110379e-03	3.869600e-05	2.883900e-05
3.200000e+02	3.300000e+02	1.038193e-03	0.000000e+00	2.537300e-05
3.300000e+02	3.400000e+02	9.716392e-04	7.001420e-05	0.000000e+00
3.400000e+02	3.500000e+02	9.605427e-04	3.288718e-04	0.000000e+00
3.500000e+02	3.600000e+02	9.090047e-04	5.197870e-05	0.000000e+00
3.600000e+02	3.700000e+02	8.262872e-04	3.770520e-05	2.170430e-05
3.700000e+02	3.800000e+02	7.606084e-04	0.000000e+00	2.231170e-05
3.800000e+02	3.900000e+02	7.393008e-04	2.810520e-05	0.000000e+00
3.900000e+02	4.000000e+02	6.554195e-04	1.664000e-05	2.444010e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.332205e-05	0.000000e+00	6.865900e-06
3.000000e+01	4.000000e+01	2.350000e-04	0.000000e+00	5.264680e-05
4.000000e+01	5.000000e+01	5.827568e-04	0.000000e+00	8.946040e-05
5.000000e+01	6.000000e+01	1.005165e-03	0.000000e+00	1.026160e-04
6.000000e+01	7.000000e+01	1.443933e-03	0.000000e+00	9.934400e-05
7.000000e+01	8.000000e+01	1.850956e-03	0.000000e+00	7.903700e-05
8.000000e+01	9.000000e+01	2.187012e-03	0.000000e+00	5.604800e-05
9.000000e+01	1.000000e+02	2.449298e-03	0.000000e+00	2.914600e-05
1.000000e+02	1.100000e+02	2.635107e-03	5.035000e-06	8.500000e-08
1.100000e+02	1.200000e+02	2.749042e-03	2.475000e-05	0.000000e+00
1.200000e+02	1.300000e+02	2.800453e-03	4.118400e-05	0.000000e+00
1.300000e+02	1.400000e+02	2.804249e-03	5.696200e-05	0.000000e+00
1.400000e+02	1.500000e+02	2.766971e-03	6.501100e-05	0.000000e+00
1.500000e+02	1.600000e+02	2.705169e-03	7.315100e-05	0.000000e+00
1.600000e+02	1.700000e+02	2.620651e-03	8.050400e-05	0.000000e+00
1.700000e+02	1.800000e+02	2.523347e-03	8.378400e-05	0.000000e+00
1.800000e+02	1.900000e+02	2.416362e-03	8.409800e-05	0.000000e+00
1.900000e+02	2.000000e+02	2.302954e-03	7.978400e-05	0.000000e+00
2.000000e+02	2.100000e+02	2.184320e-03	7.804800e-05	0.000000e+00
2.100000e+02	2.200000e+02	2.077064e-03	8.238600e-05	0.000000e+00
2.200000e+02	2.300000e+02	1.962983e-03	7.535700e-05	0.000000e+00
2.300000e+02	2.400000e+02	1.852812e-03	7.397100e-05	0.000000e+00
2.400000e+02	2.500000e+02	1.750083e-03	7.131700e-05	0.000000e+00
2.500000e+02	2.600000e+02	1.647632e-03	6.878200e-05	0.000000e+00
2.600000e+02	2.700000e+02	1.550983e-03	6.411000e-05	0.000000e+00
2.700000e+02	2.800000e+02	1.459954e-03	6.012100e-05	0.000000e+00
2.800000e+02	2.900000e+02	1.372682e-03	5.710300e-05	0.000000e+00
2.900000e+02	3.000000e+02	1.291759e-03	5.553100e-05	0.000000e+00
3.000000e+02	3.100000e+02	1.214877e-03	5.361100e-05	0.000000e+00
3.100000e+02	3.200000e+02	1.141494e-03	4.968200e-05	0.000000e+00
3.200000e+02	3.300000e+02	1.074987e-03	4.781200e-05	0.000000e+00
3.300000e+02	3.400000e+02	1.010098e-03	4.499450e-05	0.000000e+00
3.400000e+02	3.500000e+02	9.487809e-04	4.088630e-05	0.000000e+00
3.500000e+02	3.600000e+02	8.980757e-04	4.320470e-05	0.000000e+00
3.600000e+02	3.700000e+02	8.427301e-04	3.708940e-05	0.000000e+00
3.700000e+02	3.800000e+02	7.932973e-04	3.406390e-05	0.000000e+00
3.800000e+02	3.900000e+02	7.480624e-04	3.458690e-05	0.000000e+00
3.900000e+02	4.000000e+02	7.031519e-04	3.046670e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.983821e-05	2.553040e-06	0.000000e+00
3.000000e+01	4.000000e+01	2.067736e-04	0.000000e+00	5.632000e-06
4.000000e+01	5.000000e+01	5.152060e-04	0.000000e+00	3.138700e-05
5.000000e+01	6.000000e+01	9.116352e-04	0.000000e+00	4.061540e-05
6.000000e+01	7.000000e+01	1.358213e-03	0.000000e+00	5.809900e-05
7.000000e+01	8.000000e+01	1.750724e-03	3.622100e-05	5.954300e-05
8.000000e+01	9.000000e+01	2.088064e-03	0.000000e+00	4.902100e-05
9.000000e+01	1.000000e+02	2.428738e-03	4.930500e-05	0.000000e+00
1.000000e+02	1.100000e+02	2.570647e-03	0.000000e+00	2.466400e-05
1.100000e+02	1.200000e+02	2.707111e-03	1.449600e-05	2.009600e-05
1.200000e+02	1.300000e+02	2.745606e-03	0.000000e+00	3.675800e-05
1.300000e+02	1.400000e+02	2.791006e-03	4.276100e-05	6.364000e-06
1.400000e+02	1.500000e+02	2.736308e-03	0.000000e+00	2.722600e-05
1.500000e+02	1.600000e+02	2.746034e-03	7.239700e-05	0.000000e+00
1.600000e+02	1.700000e+02	2.633257e-03	6.127300e-05	1.576900e-05
1.700000e+02	1.800000e+02	2.553038e-03	8.385100e-05	0.000000e+00
1.800000e+02	1.900000e+02	2.468478e-03	6.370200e-05	0.000000e+00
1.900000e+02	2.000000e+02	2.291708e-03	7.769000e-06	2.926100e-05
2.000000e+02	2.100000e+02	2.245776e-03	7.914700e-05	0.000000e+00
2.100000e+02	2.200000e+02	2.077067e-03	0.000000e+00	4.196000e-06
2.200000e+02	2.300000e+02	2.001674e-03	7.704300e-05	0.000000e+00
2.300000e+02	2.400000e+02	1.875928e-03	1.779600e-05	5.348000e-06
2.400000e+02	2.500000e+02	1.748647e-03	7.703300e-05	2.137900e-05
2.500000e+02	2.600000e+02	1.793680e-03	1.118500e-04	0.000000e+00
2.600000e+02	2.700000e+02	1.495711e-03	0.000000e+00	7.364800e-05
2.700000e+02	2.800000e+02	1.530804e-03	1.249590e-04	9.884800e-05
