# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass
RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass
XLabel=$m_{j_2}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet2_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/jet2_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.580124e-01	3.774800e-02	7.473030e-02
1.000000e+00	2.000000e+00	1.887047e-02	3.796390e-03	7.422300e-03
2.000000e+00	3.000000e+00	1.447994e-02	2.142360e-03	1.779300e-04
3.000000e+00	4.000000e+00	4.108755e-02	6.967130e-03	0.000000e+00
4.000000e+00	5.000000e+00	4.984431e-02	4.695160e-03	0.000000e+00
5.000000e+00	6.000000e+00	4.804562e-02	4.163550e-03	0.000000e+00
6.000000e+00	7.000000e+00	4.684455e-02	5.850140e-03	0.000000e+00
7.000000e+00	8.000000e+00	4.346905e-02	5.156910e-03	0.000000e+00
8.000000e+00	9.000000e+00	3.884774e-02	4.907320e-03	1.949610e-03
9.000000e+00	1.000000e+01	3.502418e-02	5.492110e-03	1.612250e-03
1.000000e+01	1.100000e+01	3.058082e-02	5.188250e-03	2.059510e-03
1.100000e+01	1.200000e+01	2.666572e-02	4.129230e-03	2.554350e-03
1.200000e+01	1.300000e+01	2.379154e-02	4.527070e-03	2.606270e-03
1.300000e+01	1.400000e+01	2.082942e-02	3.356470e-03	2.200150e-03
1.400000e+01	1.500000e+01	1.801929e-02	3.529480e-03	3.342810e-03
1.500000e+01	1.600000e+01	1.598732e-02	3.505430e-03	1.601240e-03
1.600000e+01	1.700000e+01	1.415634e-02	2.818580e-03	1.859550e-03
1.700000e+01	1.800000e+01	1.151890e-02	1.800430e-03	4.075830e-03
1.800000e+01	1.900000e+01	1.093833e-02	2.545134e-03	4.916000e-05
1.900000e+01	2.000000e+01	9.509126e-03	2.635528e-03	1.710734e-03
2.000000e+01	2.100000e+01	8.624261e-03	2.128864e-03	1.714509e-03
2.100000e+01	2.200000e+01	7.882728e-03	1.451321e-03	1.620264e-03
2.200000e+01	2.300000e+01	6.669483e-03	1.387374e-03	2.293996e-03
2.300000e+01	2.400000e+01	6.099185e-03	1.564675e-03	1.089035e-03
2.400000e+01	2.500000e+01	5.411940e-03	8.076850e-04	1.908774e-03
2.500000e+01	2.600000e+01	4.457661e-03	6.151870e-04	1.122147e-03
2.600000e+01	2.700000e+01	4.180975e-03	8.064080e-04	9.411170e-04
2.700000e+01	2.800000e+01	3.699296e-03	6.479460e-04	9.827040e-04
