# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3
Title=$\log_{10}$(Integrated $3$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{3}$
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/log10_R_3
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_INC/log10_R_3
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	1.305175e-03	1.052610e-03	5.076644e-03
2.722583e-01	3.445165e-01	2.427963e-03	1.918730e-03	7.344054e-03
3.445166e-01	4.167748e-01	4.709534e-03	3.598664e-03	1.055357e-02
4.167748e-01	4.890330e-01	8.898825e-03	6.446367e-03	1.458379e-02
4.890331e-01	5.612913e-01	1.596177e-02	1.075786e-02	1.876938e-02
5.612914e-01	6.335496e-01	2.689223e-02	1.638064e-02	2.244055e-02
6.335496e-01	7.058078e-01	4.161837e-02	2.246935e-02	2.562848e-02
7.058079e-01	7.780661e-01	6.074796e-02	2.820971e-02	2.758819e-02
7.780662e-01	8.503244e-01	8.387957e-02	3.231455e-02	2.728313e-02
8.503244e-01	9.225826e-01	1.090045e-01	3.433477e-02	2.604520e-02
9.225827e-01	9.948409e-01	1.355471e-01	3.337030e-02	2.310040e-02
9.948409e-01	1.067099e+00	1.620706e-01	3.019290e-02	2.018550e-02
1.067099e+00	1.139357e+00	1.873157e-01	2.861120e-02	1.740900e-02
1.139358e+00	1.211616e+00	2.095761e-01	2.249910e-02	1.502650e-02
1.211616e+00	1.283874e+00	2.283437e-01	1.428370e-02	1.219590e-02
1.283874e+00	1.356132e+00	2.435414e-01	1.321270e-02	8.534800e-03
1.356132e+00	1.428390e+00	2.501760e-01	1.297490e-02	5.372000e-03
1.428391e+00	1.500649e+00	2.460341e-01	1.203230e-02	2.963000e-03
1.500649e+00	1.572907e+00	2.325166e-01	1.001530e-02	2.541400e-03
1.572907e+00	1.645165e+00	2.108287e-01	8.323700e-03	2.277000e-03
1.645165e+00	1.717423e+00	1.837058e-01	5.190900e-03	9.650000e-05
1.717424e+00	1.789682e+00	1.535541e-01	3.646800e-03	1.705000e-04
1.789682e+00	1.861940e+00	1.222671e-01	1.313100e-03	0.000000e+00
1.861940e+00	1.934198e+00	9.247537e-02	1.874410e-03	0.000000e+00
1.934199e+00	2.006457e+00	6.627003e-02	1.311000e-05	6.498000e-05
2.006457e+00	2.078715e+00	4.526794e-02	0.000000e+00	8.074000e-04
2.078715e+00	2.150973e+00	3.024174e-02	0.000000e+00	2.808900e-04
2.150973e+00	2.223231e+00	1.880065e-02	0.000000e+00	8.047100e-04
2.223232e+00	2.295490e+00	1.122942e-02	0.000000e+00	8.560700e-04
