# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/HT_jets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	2.766333e-05	2.553450e-06	3.707550e-06
8.000000e+01	1.200000e+02	2.485664e-04	9.084150e-06	1.189683e-05
1.200000e+02	1.600000e+02	6.394775e-04	6.440750e-06	6.597750e-06
1.600000e+02	2.000000e+02	1.009015e-03	7.497000e-06	3.350250e-06
2.000000e+02	2.400000e+02	1.212585e-03	1.418875e-05	1.632850e-05
2.400000e+02	2.800000e+02	1.261278e-03	1.200900e-05	1.951725e-05
2.800000e+02	3.200000e+02	1.209385e-03	2.938825e-05	1.211050e-05
3.200000e+02	3.600000e+02	1.091507e-03	2.183875e-05	1.085550e-05
3.600000e+02	4.000000e+02	9.611405e-04	1.124575e-05	1.772575e-05
4.000000e+02	4.400000e+02	8.527287e-04	2.222500e-05	1.528750e-06
4.400000e+02	4.800000e+02	7.257627e-04	1.461725e-05	3.415250e-06
4.800000e+02	5.200000e+02	6.217332e-04	2.319200e-05	0.000000e+00
5.200000e+02	5.600000e+02	5.370235e-04	7.434625e-05	0.000000e+00
5.600000e+02	6.000000e+02	4.445997e-04	8.275000e-07	2.005250e-06
6.000000e+02	6.400000e+02	3.841080e-04	3.768250e-06	9.955500e-06
6.400000e+02	6.800000e+02	3.221085e-04	1.236675e-05	0.000000e+00
6.800000e+02	7.200000e+02	2.794365e-04	0.000000e+00	7.079250e-06
7.200000e+02	7.600000e+02	2.407879e-04	1.281205e-05	0.000000e+00
7.600000e+02	8.000000e+02	2.073204e-04	6.551875e-06	6.625000e-09
8.000000e+02	8.400000e+02	1.667162e-04	0.000000e+00	2.064220e-05
8.400000e+02	8.800000e+02	1.312807e-04	0.000000e+00	1.755020e-05
8.800000e+02	9.200000e+02	1.284073e-04	2.174575e-06	6.770950e-06
9.200000e+02	9.600000e+02	1.135565e-04	9.070286e-05	4.672000e-06
9.600000e+02	1.000000e+03	9.601592e-05	6.265200e-06	2.458700e-06
1.000000e+03	1.040000e+03	8.341860e-05	7.398925e-06	8.118075e-06
1.040000e+03	1.080000e+03	7.527580e-05	0.000000e+00	2.714725e-06
1.080000e+03	1.120000e+03	6.530460e-05	1.034665e-05	0.000000e+00
1.120000e+03	1.160000e+03	6.320498e-05	1.183548e-05	0.000000e+00
1.160000e+03	1.200000e+03	4.194988e-05	3.672526e-05	8.211925e-06
1.200000e+03	1.240000e+03	3.988383e-05	0.000000e+00	1.359008e-05
1.240000e+03	1.280000e+03	3.906710e-05	1.655850e-06	4.464800e-06
1.280000e+03	1.320000e+03	3.717740e-05	6.214375e-06	0.000000e+00
1.320000e+03	1.360000e+03	3.276083e-05	8.741585e-06	0.000000e+00
1.360000e+03	1.400000e+03	2.602955e-05	2.222922e-05	6.960200e-06
1.400000e+03	1.440000e+03	2.268467e-05	5.181807e-06	1.291998e-06
1.440000e+03	1.480000e+03	2.330543e-05	8.198502e-06	0.000000e+00
1.480000e+03	1.520000e+03	1.532417e-05	4.536217e-06	3.112500e-09
1.520000e+03	1.560000e+03	1.384955e-05	0.000000e+00	5.394952e-06
1.560000e+03	1.600000e+03	1.133774e-05	6.505300e-07	3.642832e-06
1.600000e+03	1.640000e+03	1.098991e-05	4.436000e-07	1.542990e-06
1.640000e+03	1.680000e+03	1.636742e-05	5.297605e-06	0.000000e+00
1.680000e+03	1.720000e+03	8.908400e-06	1.796528e-06	0.000000e+00
1.720000e+03	1.760000e+03	9.147500e-06	0.000000e+00	2.415543e-06
1.760000e+03	1.800000e+03	6.237928e-06	5.366500e-07	1.287390e-06
1.800000e+03	1.840000e+03	6.742463e-06	1.326560e-06	1.563667e-06
1.840000e+03	1.880000e+03	4.920345e-06	0.000000e+00	2.502722e-06
1.880000e+03	1.920000e+03	4.704368e-06	0.000000e+00	1.167492e-06
1.920000e+03	1.960000e+03	4.460470e-06	0.000000e+00	3.151418e-06
1.960000e+03	2.000000e+03	2.819360e-06	3.513125e-07	1.566567e-06
2.000000e+03	2.040000e+03	4.207462e-06	4.314025e-07	7.854475e-07
2.040000e+03	2.080000e+03	3.624500e-06	0.000000e+00	6.907960e-06
2.080000e+03	2.120000e+03	4.247720e-06	2.911438e-06	0.000000e+00
2.120000e+03	2.160000e+03	3.545958e-06	3.146142e-06	0.000000e+00
2.160000e+03	2.200000e+03	2.885410e-06	1.947876e-06	1.190942e-06
2.200000e+03	2.240000e+03	2.214606e-06	6.563225e-08	6.904618e-07
2.240000e+03	2.280000e+03	2.290490e-06	6.696387e-07	5.042097e-07
2.280000e+03	2.320000e+03	7.963777e-07	0.000000e+00	1.947092e-06
2.320000e+03	2.360000e+03	1.372840e-06	4.228440e-07	1.241040e-07
2.360000e+03	2.400000e+03	2.451005e-06	1.817524e-06	0.000000e+00
2.400000e+03	2.440000e+03	1.559754e-07	0.000000e+00	3.210487e-06
2.440000e+03	2.480000e+03	1.600157e-06	6.793845e-07	1.917073e-06
2.480000e+03	2.520000e+03	5.021155e-07	9.512410e-07	4.250553e-07
2.520000e+03	2.560000e+03	2.761408e-07	0.000000e+00	4.963270e-07
2.560000e+03	2.600000e+03	6.547768e-07	5.346250e-08	4.897280e-07
2.600000e+03	2.640000e+03	1.214277e-06	9.116497e-07	7.168268e-07
2.640000e+03	2.680000e+03	7.042365e-07	2.849944e-06	0.000000e+00
2.680000e+03	2.720000e+03	7.534412e-07	7.321675e-08	0.000000e+00
2.720000e+03	2.760000e+03	4.144702e-07	8.340950e-08	9.456460e-07
2.760000e+03	2.800000e+03	-6.680520e-07	4.059780e-07	1.265067e-06
2.800000e+03	2.840000e+03	3.110407e-07	2.032475e-08	9.213878e-07
2.840000e+03	2.880000e+03	4.307470e-07	5.222139e-07	0.000000e+00
2.880000e+03	2.920000e+03	-6.032362e-07	0.000000e+00	9.388510e-07
2.920000e+03	2.960000e+03	2.333186e-07	1.866440e-07	1.896696e-07
2.960000e+03	3.000000e+03	1.675033e-07	0.000000e+00	3.130477e-07
3.000000e+03	3.040000e+03	6.832613e-08	3.765316e-07	8.986474e-07
3.040000e+03	3.080000e+03	2.007184e-07	1.486787e-06	0.000000e+00
3.080000e+03	3.120000e+03	2.446177e-07	3.493348e-07	0.000000e+00
3.120000e+03	3.160000e+03	2.987918e-07	1.537998e-07	0.000000e+00
3.160000e+03	3.200000e+03	1.789917e-07	1.194473e-07	0.000000e+00
3.200000e+03	3.240000e+03	-2.434917e-07	0.000000e+00	4.466765e-07
3.240000e+03	3.280000e+03	8.580218e-08	1.581654e-07	1.046327e-07
3.280000e+03	3.320000e+03	1.220713e-07	3.036100e-09	4.817185e-07
3.320000e+03	3.360000e+03	2.161305e-09	0.000000e+00	1.248632e-07
3.360000e+03	3.400000e+03	7.461950e-08	0.000000e+00	4.101367e-08
3.400000e+03	3.440000e+03	2.975523e-08	1.996755e-07	7.186460e-08
3.440000e+03	3.480000e+03	2.195132e-08	2.619615e-08	8.625688e-08
3.480000e+03	3.520000e+03	1.514285e-08	0.000000e+00	1.091128e-07
3.520000e+03	3.560000e+03	-2.945397e-08	0.000000e+00	6.241033e-08
3.560000e+03	3.600000e+03	1.295996e-07	8.292497e-08	0.000000e+00
3.600000e+03	3.640000e+03	7.359037e-08	5.691317e-08	2.607210e-08
3.640000e+03	3.680000e+03	5.355052e-08	2.902787e-08	0.000000e+00
3.680000e+03	3.720000e+03	-1.934233e-08	2.542235e-06	3.218548e-08
3.720000e+03	3.760000e+03	3.479300e-08	6.799875e-09	1.097010e-07
3.760000e+03	3.800000e+03	-1.008574e-08	0.000000e+00	1.289402e-07
3.800000e+03	3.840000e+03	6.103252e-08	1.203496e-07	2.346558e-08
3.840000e+03	3.880000e+03	1.166991e-08	7.783765e-09	5.015306e-08
3.880000e+03	3.920000e+03	7.825327e-09	1.676779e-08	7.318055e-08
3.920000e+03	3.960000e+03	2.183257e-08	2.454685e-08	3.256703e-09
3.960000e+03	4.000000e+03	-4.894125e-08	2.346043e-08	7.928377e-08
4.000000e+03	4.040000e+03	5.974088e-08	6.835667e-08	0.000000e+00
4.040000e+03	4.080000e+03	3.825070e-08	2.807534e-08	0.000000e+00
4.080000e+03	4.120000e+03	3.151798e-08	9.265628e-09	6.812667e-08
4.120000e+03	4.160000e+03	-9.190055e-09	0.000000e+00	3.601925e-08
4.160000e+03	4.200000e+03	-2.798515e-08	1.386160e-07	2.646560e-08
4.200000e+03	4.240000e+03	1.039318e-08	6.662123e-09	1.210995e-08
4.240000e+03	4.280000e+03	7.726883e-09	0.000000e+00	1.120415e-08
4.280000e+03	4.320000e+03	1.486358e-08	1.792077e-08	0.000000e+00
4.320000e+03	4.360000e+03	1.849821e-08	4.327328e-09	1.401914e-08
4.360000e+03	4.400000e+03	1.769334e-09	7.928177e-09	2.495743e-09
4.400000e+03	4.440000e+03	-1.787353e-09	5.719939e-09	5.406570e-08
4.440000e+03	4.480000e+03	-2.579615e-09	1.031778e-08	1.798158e-07
4.480000e+03	4.520000e+03	5.504393e-09	2.932078e-09	7.397640e-09
4.520000e+03	4.560000e+03	1.244414e-08	3.741197e-08	0.000000e+00
4.560000e+03	4.600000e+03	4.692920e-09	2.108143e-09	3.595202e-09
4.600000e+03	4.640000e+03	-3.238733e-09	0.000000e+00	2.951668e-08
4.640000e+03	4.680000e+03	2.557470e-09	5.010277e-09	2.833796e-08
4.680000e+03	4.720000e+03	8.984305e-09	7.261078e-09	8.185337e-08
4.720000e+03	4.760000e+03	5.026590e-09	6.276736e-09	0.000000e+00
4.760000e+03	4.800000e+03	1.109173e-09	0.000000e+00	3.038415e-09
4.800000e+03	4.840000e+03	3.265572e-08	3.264529e-08	0.000000e+00
4.840000e+03	4.880000e+03	1.205035e-08	1.776660e-08	0.000000e+00
4.880000e+03	4.920000e+03	3.448147e-09	2.288476e-09	1.119295e-08
4.920000e+03	4.960000e+03	1.298302e-09	4.041265e-09	0.000000e+00
4.960000e+03	5.000000e+03	-3.572770e-08	0.000000e+00	3.708296e-08
5.000000e+03	5.040000e+03	1.544789e-09	3.160023e-10	2.332511e-09
5.040000e+03	5.080000e+03	2.092584e-09	1.117135e-10	2.908555e-10
5.080000e+03	5.120000e+03	6.533652e-09	5.320234e-09	0.000000e+00
5.120000e+03	5.160000e+03	-1.378453e-09	1.755694e-09	4.402063e-09
5.160000e+03	5.200000e+03	1.673552e-09	2.842015e-09	4.396960e-10
5.200000e+03	5.240000e+03	1.088824e-10	0.000000e+00	8.572706e-10
5.240000e+03	5.280000e+03	2.849957e-09	3.407847e-09	0.000000e+00
5.280000e+03	5.320000e+03	8.175302e-10	0.000000e+00	2.295735e-09
5.320000e+03	5.360000e+03	-3.423055e-10	0.000000e+00	6.762212e-10
5.360000e+03	5.400000e+03	1.520571e-09	1.861988e-09	0.000000e+00
5.400000e+03	5.440000e+03	-1.942772e-09	0.000000e+00	2.567081e-09
5.440000e+03	5.480000e+03	6.474375e-10	3.208468e-10	0.000000e+00
5.480000e+03	5.520000e+03	2.376108e-10	2.206358e-10	9.192037e-10
5.520000e+03	5.560000e+03	-1.324617e-08	0.000000e+00	1.373938e-08
5.560000e+03	5.600000e+03	7.555452e-11	1.019058e-09	0.000000e+00
5.600000e+03	5.640000e+03	1.974429e-10	6.496363e-11	8.950364e-10
5.640000e+03	5.680000e+03	7.417712e-11	0.000000e+00	1.179669e-09
5.680000e+03	5.720000e+03	3.728207e-09	4.370929e-09	0.000000e+00
5.720000e+03	5.760000e+03	1.804561e-10	5.964367e-11	0.000000e+00
5.760000e+03	5.800000e+03	5.140690e-10	3.814867e-10	0.000000e+00
5.800000e+03	5.840000e+03	-2.337699e-11	1.394126e-10	2.470314e-10
5.840000e+03	5.880000e+03	1.917384e-10	1.134787e-09	0.000000e+00
5.880000e+03	5.920000e+03	1.833751e-11	0.000000e+00	2.866970e-10
5.920000e+03	5.960000e+03	2.292562e-10	3.385192e-10	0.000000e+00
5.960000e+03	6.000000e+03	-2.587078e-10	0.000000e+00	3.247779e-10
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	2.533248e-05	0.000000e+00	6.275575e-06
8.000000e+01	1.200000e+02	2.464392e-04	0.000000e+00	2.007808e-05
1.200000e+02	1.600000e+02	6.599213e-04	0.000000e+00	5.609500e-06
1.600000e+02	2.000000e+02	1.058239e-03	2.885350e-05	0.000000e+00
2.000000e+02	2.400000e+02	1.275696e-03	5.161150e-05	0.000000e+00
2.400000e+02	2.800000e+02	1.311801e-03	5.714950e-05	0.000000e+00
2.800000e+02	3.200000e+02	1.239019e-03	5.409725e-05	0.000000e+00
3.200000e+02	3.600000e+02	1.117108e-03	4.768350e-05	0.000000e+00
3.600000e+02	4.000000e+02	9.800705e-04	3.853975e-05	0.000000e+00
4.000000e+02	4.400000e+02	8.475015e-04	3.268875e-05	0.000000e+00
4.400000e+02	4.800000e+02	7.247800e-04	2.608650e-05	0.000000e+00
4.800000e+02	5.200000e+02	6.178118e-04	2.072650e-05	0.000000e+00
5.200000e+02	5.600000e+02	5.247900e-04	1.595175e-05	0.000000e+00
5.600000e+02	6.000000e+02	4.455530e-04	1.215525e-05	0.000000e+00
6.000000e+02	6.400000e+02	3.788520e-04	1.000125e-05	0.000000e+00
6.400000e+02	6.800000e+02	3.221412e-04	7.241250e-06	0.000000e+00
6.800000e+02	7.200000e+02	2.748555e-04	6.499500e-06	0.000000e+00
7.200000e+02	7.600000e+02	2.344241e-04	4.410000e-06	0.000000e+00
7.600000e+02	8.000000e+02	2.017092e-04	4.193825e-06	0.000000e+00
8.000000e+02	8.400000e+02	1.725595e-04	2.579350e-06	0.000000e+00
8.400000e+02	8.800000e+02	1.486392e-04	2.467450e-06	0.000000e+00
8.800000e+02	9.200000e+02	1.276427e-04	1.821400e-06	3.380000e-08
9.200000e+02	9.600000e+02	1.100437e-04	1.260850e-06	4.927750e-07
9.600000e+02	1.000000e+03	9.549345e-05	1.120675e-06	0.000000e+00
1.000000e+03	1.040000e+03	8.242035e-05	4.507000e-07	3.112250e-07
1.040000e+03	1.080000e+03	7.195365e-05	7.301500e-07	2.458250e-07
1.080000e+03	1.120000e+03	6.247143e-05	2.992000e-07	0.000000e+00
1.120000e+03	1.160000e+03	5.429535e-05	1.484250e-07	4.510500e-07
1.160000e+03	1.200000e+03	4.740785e-05	4.032500e-08	3.978250e-07
1.200000e+03	1.240000e+03	4.149962e-05	2.564000e-07	2.616750e-07
1.240000e+03	1.280000e+03	3.622812e-05	0.000000e+00	2.699250e-07
1.280000e+03	1.320000e+03	3.163748e-05	0.000000e+00	3.596250e-07
1.320000e+03	1.360000e+03	2.784228e-05	0.000000e+00	2.061500e-07
1.360000e+03	1.400000e+03	2.449321e-05	0.000000e+00	1.599100e-07
1.400000e+03	1.440000e+03	2.163123e-05	0.000000e+00	8.001500e-08
1.440000e+03	1.480000e+03	1.886870e-05	0.000000e+00	4.537825e-07
1.480000e+03	1.520000e+03	1.672594e-05	0.000000e+00	2.113650e-07
1.520000e+03	1.560000e+03	1.479448e-05	0.000000e+00	2.592050e-07
1.560000e+03	1.600000e+03	1.308289e-05	0.000000e+00	2.167700e-07
1.600000e+03	1.640000e+03	1.159985e-05	0.000000e+00	9.037500e-08
1.640000e+03	1.680000e+03	1.025385e-05	3.578250e-08	7.094000e-08
1.680000e+03	1.720000e+03	9.011450e-06	0.000000e+00	1.685525e-07
1.720000e+03	1.760000e+03	7.871153e-06	0.000000e+00	2.996025e-07
1.760000e+03	1.800000e+03	7.072432e-06	0.000000e+00	2.060125e-07
1.800000e+03	1.840000e+03	6.246208e-06	0.000000e+00	2.661200e-07
1.840000e+03	1.880000e+03	5.522777e-06	0.000000e+00	3.169800e-07
1.880000e+03	1.920000e+03	5.014228e-06	0.000000e+00	6.843500e-08
1.920000e+03	1.960000e+03	4.367865e-06	0.000000e+00	1.763100e-07
1.960000e+03	2.000000e+03	3.981482e-06	9.550000e-09	9.634750e-08
2.000000e+03	2.040000e+03	3.492087e-06	0.000000e+00	1.246250e-07
2.040000e+03	2.080000e+03	3.093393e-06	0.000000e+00	1.277125e-07
2.080000e+03	2.120000e+03	2.769363e-06	0.000000e+00	1.086250e-07
2.120000e+03	2.160000e+03	2.497405e-06	4.029500e-08	0.000000e+00
2.160000e+03	2.200000e+03	2.213628e-06	0.000000e+00	1.731680e-07
2.200000e+03	2.240000e+03	1.997661e-06	0.000000e+00	5.344650e-08
2.240000e+03	2.280000e+03	1.775197e-06	0.000000e+00	2.843525e-08
2.280000e+03	2.320000e+03	1.481421e-06	0.000000e+00	1.249895e-07
2.320000e+03	2.360000e+03	1.410192e-06	0.000000e+00	3.440200e-08
2.360000e+03	2.400000e+03	1.319114e-06	1.471850e-08	0.000000e+00
2.400000e+03	2.440000e+03	1.100903e-06	0.000000e+00	4.560550e-08
2.440000e+03	2.480000e+03	1.131219e-06	1.020250e-07	0.000000e+00
2.480000e+03	2.520000e+03	8.979307e-07	0.000000e+00	4.962025e-08
2.520000e+03	2.560000e+03	8.109622e-07	0.000000e+00	3.787625e-08
2.560000e+03	2.600000e+03	7.161333e-07	0.000000e+00	4.190850e-08
2.600000e+03	2.640000e+03	6.349780e-07	0.000000e+00	3.854325e-08
2.640000e+03	2.680000e+03	5.679570e-07	0.000000e+00	3.774825e-08
2.680000e+03	2.720000e+03	5.413400e-07	0.000000e+00	2.360275e-08
2.720000e+03	2.760000e+03	4.914517e-07	1.688650e-08	2.193500e-08
2.760000e+03	2.800000e+03	4.241997e-07	0.000000e+00	1.461825e-08
2.800000e+03	2.840000e+03	3.965203e-07	6.706750e-09	0.000000e+00
2.840000e+03	2.880000e+03	3.214322e-07	0.000000e+00	4.797275e-08
2.880000e+03	2.920000e+03	2.883637e-07	2.539250e-09	3.224425e-08
2.920000e+03	2.960000e+03	2.718600e-07	4.064000e-09	0.000000e+00
2.960000e+03	3.000000e+03	2.357602e-07	6.205750e-10	2.474325e-08
3.000000e+03	3.040000e+03	2.293034e-07	2.233897e-08	8.130250e-10
3.040000e+03	3.080000e+03	1.734405e-07	0.000000e+00	2.821678e-08
3.080000e+03	3.120000e+03	1.826353e-07	1.282500e-10	9.992800e-09
3.120000e+03	3.160000e+03	1.650799e-07	4.339075e-09	8.084225e-09
3.160000e+03	3.200000e+03	1.426027e-07	0.000000e+00	1.345872e-08
