# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2j_3}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_jjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.185905e-04	7.530200e-06	4.433000e-07
1.000000e+01	2.000000e+01	3.549051e-04	3.206180e-05	0.000000e+00
2.000000e+01	3.000000e+01	5.385539e-04	1.712110e-05	3.598400e-05
3.000000e+01	4.000000e+01	6.917735e-04	0.000000e+00	5.637480e-05
4.000000e+01	5.000000e+01	8.804303e-04	4.602420e-05	2.867090e-05
5.000000e+01	6.000000e+01	1.043653e-03	6.475260e-05	1.673500e-05
6.000000e+01	7.000000e+01	1.087675e-03	4.037800e-05	6.649100e-05
7.000000e+01	8.000000e+01	1.166839e-03	3.974600e-05	1.653100e-05
8.000000e+01	9.000000e+01	1.186510e-03	2.579447e-04	0.000000e+00
9.000000e+01	1.000000e+02	1.198381e-03	5.106100e-05	8.198000e-05
1.000000e+02	1.100000e+02	1.248857e-03	9.997100e-05	4.054000e-06
1.100000e+02	1.200000e+02	1.189971e-03	5.581900e-05	4.009800e-05
1.200000e+02	1.300000e+02	1.184586e-03	1.412200e-04	2.536200e-05
1.300000e+02	1.400000e+02	1.177969e-03	2.686200e-05	2.476700e-05
1.400000e+02	1.500000e+02	1.086653e-03	0.000000e+00	7.372600e-05
1.500000e+02	1.600000e+02	1.077708e-03	7.706400e-05	2.138200e-05
1.600000e+02	1.700000e+02	1.038047e-03	1.187500e-05	8.460100e-05
1.700000e+02	1.800000e+02	9.899769e-04	0.000000e+00	9.562910e-05
1.800000e+02	1.900000e+02	1.019857e-03	7.357870e-05	2.013500e-05
1.900000e+02	2.000000e+02	9.454735e-04	1.979950e-05	1.446170e-05
2.000000e+02	2.100000e+02	9.263718e-04	6.296340e-05	0.000000e+00
2.100000e+02	2.200000e+02	8.696268e-04	7.563650e-05	5.742020e-05
2.200000e+02	2.300000e+02	8.084128e-04	0.000000e+00	6.076190e-05
2.300000e+02	2.400000e+02	7.616466e-04	8.176200e-06	5.381740e-05
2.400000e+02	2.500000e+02	7.568256e-04	3.363700e-05	0.000000e+00
2.500000e+02	2.600000e+02	7.317032e-04	1.477520e-05	0.000000e+00
2.600000e+02	2.700000e+02	6.898620e-04	2.799860e-05	0.000000e+00
2.700000e+02	2.800000e+02	6.529022e-04	1.053020e-05	0.000000e+00
2.800000e+02	2.900000e+02	6.198971e-04	0.000000e+00	1.544020e-05
2.900000e+02	3.000000e+02	5.671361e-04	1.754900e-06	1.794280e-05
3.000000e+02	3.100000e+02	5.655396e-04	1.873680e-05	1.232000e-07
3.100000e+02	3.200000e+02	5.297478e-04	0.000000e+00	1.700170e-05
3.200000e+02	3.300000e+02	4.853477e-04	1.628056e-04	0.000000e+00
3.300000e+02	3.400000e+02	4.461938e-04	0.000000e+00	1.522250e-05
3.400000e+02	3.500000e+02	4.443764e-04	2.222450e-05	0.000000e+00
3.500000e+02	3.600000e+02	4.167450e-04	4.884500e-06	2.576380e-05
3.600000e+02	3.700000e+02	4.211829e-04	2.367620e-05	1.302200e-05
3.700000e+02	3.800000e+02	3.913208e-04	0.000000e+00	8.514100e-06
3.800000e+02	3.900000e+02	3.747193e-04	2.839260e-05	0.000000e+00
3.900000e+02	4.000000e+02	3.687328e-04	4.677830e-05	0.000000e+00
4.000000e+02	4.100000e+02	3.446699e-04	2.716430e-05	0.000000e+00
4.100000e+02	4.200000e+02	3.150845e-04	1.837970e-05	3.831780e-05
4.200000e+02	4.300000e+02	2.938677e-04	9.546200e-06	2.447900e-05
4.300000e+02	4.400000e+02	2.925757e-04	3.074140e-05	4.785000e-07
4.400000e+02	4.500000e+02	2.699075e-04	2.287690e-05	1.011920e-05
4.500000e+02	4.600000e+02	2.516816e-04	7.904600e-06	1.503270e-05
4.600000e+02	4.700000e+02	2.231906e-04	3.154440e-05	3.618430e-05
4.700000e+02	4.800000e+02	2.289470e-04	0.000000e+00	3.075910e-05
4.800000e+02	4.900000e+02	2.267961e-04	5.311330e-05	0.000000e+00
4.900000e+02	5.000000e+02	1.859496e-04	0.000000e+00	3.661130e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
