# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.257891e-04	9.795900e-06	9.999800e-06
1.000000e+01	2.000000e+01	4.361000e-04	2.731300e-05	2.004280e-05
2.000000e+01	3.000000e+01	9.359795e-04	1.359640e-05	4.048800e-06
3.000000e+01	4.000000e+01	1.710581e-03	8.114200e-05	4.985100e-05
4.000000e+01	5.000000e+01	2.423705e-03	1.384670e-04	9.481700e-05
5.000000e+01	6.000000e+01	2.986045e-03	1.019620e-04	1.033780e-04
6.000000e+01	7.000000e+01	3.330571e-03	9.921200e-05	7.440600e-05
7.000000e+01	8.000000e+01	3.447122e-03	6.074300e-05	0.000000e+00
8.000000e+01	9.000000e+01	3.442500e-03	6.641900e-05	1.737800e-05
9.000000e+01	1.000000e+02	3.289925e-03	4.967700e-05	4.597700e-05
1.000000e+02	1.100000e+02	3.090454e-03	1.100600e-05	3.183200e-05
1.100000e+02	1.200000e+02	2.818374e-03	0.000000e+00	7.627700e-05
1.200000e+02	1.300000e+02	2.603439e-03	2.772200e-05	3.255200e-05
1.300000e+02	1.400000e+02	2.403833e-03	6.181800e-05	0.000000e+00
1.400000e+02	1.500000e+02	2.123893e-03	4.204700e-05	1.962900e-05
1.500000e+02	1.600000e+02	1.917653e-03	2.276600e-05	3.663800e-05
1.600000e+02	1.700000e+02	1.743186e-03	5.998400e-05	0.000000e+00
1.700000e+02	1.800000e+02	1.557955e-03	2.458770e-04	0.000000e+00
1.800000e+02	1.900000e+02	1.381776e-03	2.173400e-05	1.178500e-05
1.900000e+02	2.000000e+02	1.229582e-03	3.089500e-05	0.000000e+00
2.000000e+02	2.100000e+02	1.105438e-03	0.000000e+00	2.118000e-05
2.100000e+02	2.200000e+02	1.001752e-03	3.803620e-05	0.000000e+00
2.200000e+02	2.300000e+02	8.599539e-04	2.491100e-06	4.807100e-06
2.300000e+02	2.400000e+02	7.932640e-04	4.092600e-05	0.000000e+00
2.400000e+02	2.500000e+02	6.915340e-04	1.402070e-05	3.872100e-06
2.500000e+02	2.600000e+02	6.028932e-04	0.000000e+00	3.597280e-05
2.600000e+02	2.700000e+02	5.405646e-04	0.000000e+00	7.130340e-05
2.700000e+02	2.800000e+02	5.068008e-04	2.132290e-05	0.000000e+00
2.800000e+02	2.900000e+02	4.510613e-04	0.000000e+00	4.106450e-05
2.900000e+02	3.000000e+02	4.274333e-04	2.527090e-05	0.000000e+00
3.000000e+02	3.100000e+02	3.858132e-04	3.090530e-05	1.627370e-05
3.100000e+02	3.200000e+02	3.307002e-04	0.000000e+00	3.864200e-05
3.200000e+02	3.300000e+02	3.227901e-04	2.242970e-05	1.646950e-05
3.300000e+02	3.400000e+02	2.702507e-04	1.947200e-06	2.786990e-05
3.400000e+02	3.500000e+02	2.325465e-04	0.000000e+00	2.626550e-05
3.500000e+02	3.600000e+02	2.348662e-04	1.220560e-05	1.015260e-05
3.600000e+02	3.700000e+02	2.219753e-04	5.490900e-06	0.000000e+00
3.700000e+02	3.800000e+02	1.859989e-04	3.669710e-04	9.508200e-06
3.800000e+02	3.900000e+02	1.754713e-04	5.317800e-06	1.394550e-05
3.900000e+02	4.000000e+02	1.445360e-04	0.000000e+00	4.236820e-05
4.000000e+02	4.100000e+02	1.493396e-04	2.481200e-06	9.081200e-06
4.100000e+02	4.200000e+02	1.362760e-04	7.230561e-05	1.757680e-05
4.200000e+02	4.300000e+02	1.231837e-04	0.000000e+00	4.073600e-06
4.300000e+02	4.400000e+02	1.194673e-04	2.608100e-06	2.584800e-06
4.400000e+02	4.500000e+02	1.051926e-04	2.764546e-05	1.910940e-05
4.500000e+02	4.600000e+02	9.399124e-05	0.000000e+00	1.505956e-05
4.600000e+02	4.700000e+02	1.084958e-04	2.067675e-05	0.000000e+00
4.700000e+02	4.800000e+02	8.586918e-05	9.945300e-06	2.434762e-05
4.800000e+02	4.900000e+02	7.562318e-05	1.969074e-05	0.000000e+00
4.900000e+02	5.000000e+02	6.024559e-05	1.613684e-04	5.189060e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.889197e-05	0.000000e+00	2.304213e-05
1.000000e+01	2.000000e+01	3.419441e-04	0.000000e+00	6.696260e-05
2.000000e+01	3.000000e+01	8.821577e-04	0.000000e+00	1.334070e-05
3.000000e+01	4.000000e+01	1.789099e-03	1.548830e-04	0.000000e+00
4.000000e+01	5.000000e+01	2.595428e-03	2.200620e-04	0.000000e+00
5.000000e+01	6.000000e+01	3.193985e-03	2.394780e-04	0.000000e+00
6.000000e+01	7.000000e+01	3.533146e-03	2.287110e-04	0.000000e+00
7.000000e+01	8.000000e+01	3.652511e-03	1.982390e-04	0.000000e+00
8.000000e+01	9.000000e+01	3.608311e-03	1.750290e-04	0.000000e+00
9.000000e+01	1.000000e+02	3.440319e-03	1.423790e-04	0.000000e+00
1.000000e+02	1.100000e+02	3.202853e-03	1.075470e-04	0.000000e+00
1.100000e+02	1.200000e+02	2.937879e-03	8.345000e-05	0.000000e+00
1.200000e+02	1.300000e+02	2.662544e-03	6.110400e-05	0.000000e+00
1.300000e+02	1.400000e+02	2.396597e-03	4.840700e-05	0.000000e+00
1.400000e+02	1.500000e+02	2.142689e-03	2.876600e-05	0.000000e+00
1.500000e+02	1.600000e+02	1.912034e-03	2.188800e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.702901e-03	1.568700e-05	0.000000e+00
1.700000e+02	1.800000e+02	1.514102e-03	1.048900e-05	4.700000e-07
1.800000e+02	1.900000e+02	1.347882e-03	6.983000e-06	4.149000e-06
1.900000e+02	2.000000e+02	1.199466e-03	2.810000e-06	1.264000e-06
2.000000e+02	2.100000e+02	1.066057e-03	1.646000e-06	2.944000e-06
2.100000e+02	2.200000e+02	9.512375e-04	0.000000e+00	3.297100e-06
2.200000e+02	2.300000e+02	8.478059e-04	0.000000e+00	4.297700e-06
2.300000e+02	2.400000e+02	7.597994e-04	0.000000e+00	2.743000e-06
2.400000e+02	2.500000e+02	6.792354e-04	0.000000e+00	3.439000e-06
2.500000e+02	2.600000e+02	6.072002e-04	0.000000e+00	4.313900e-06
2.600000e+02	2.700000e+02	5.460539e-04	0.000000e+00	2.908800e-06
2.700000e+02	2.800000e+02	4.899379e-04	0.000000e+00	4.354400e-06
2.800000e+02	2.900000e+02	4.417120e-04	0.000000e+00	3.915300e-06
2.900000e+02	3.000000e+02	3.982113e-04	0.000000e+00	4.567600e-06
3.000000e+02	3.100000e+02	3.598998e-04	0.000000e+00	2.173700e-06
3.100000e+02	3.200000e+02	3.246116e-04	0.000000e+00	3.100500e-06
3.200000e+02	3.300000e+02	2.942373e-04	0.000000e+00	3.538700e-06
3.300000e+02	3.400000e+02	2.664001e-04	0.000000e+00	3.826600e-06
3.400000e+02	3.500000e+02	2.425605e-04	0.000000e+00	2.018200e-06
3.500000e+02	3.600000e+02	2.211365e-04	0.000000e+00	2.061300e-06
3.600000e+02	3.700000e+02	2.009186e-04	0.000000e+00	2.960200e-06
3.700000e+02	3.800000e+02	1.840027e-04	0.000000e+00	1.140700e-06
3.800000e+02	3.900000e+02	1.677554e-04	0.000000e+00	1.148300e-06
3.900000e+02	4.000000e+02	1.529581e-04	0.000000e+00	1.957000e-06
4.000000e+02	4.100000e+02	1.399907e-04	0.000000e+00	2.163800e-06
4.100000e+02	4.200000e+02	1.286773e-04	0.000000e+00	9.966000e-07
4.200000e+02	4.300000e+02	1.170302e-04	0.000000e+00	1.837800e-06
4.300000e+02	4.400000e+02	1.082872e-04	0.000000e+00	6.705000e-07
4.400000e+02	4.500000e+02	9.887725e-05	0.000000e+00	1.736950e-06
4.500000e+02	4.600000e+02	9.165256e-05	0.000000e+00	1.556170e-06
4.600000e+02	4.700000e+02	8.404726e-05	0.000000e+00	1.108550e-06
4.700000e+02	4.800000e+02	7.714825e-05	0.000000e+00	1.622580e-06
4.800000e+02	4.900000e+02	7.151711e-05	0.000000e+00	1.230210e-06
4.900000e+02	5.000000e+02	6.564168e-05	0.000000e+00	1.490490e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.199142e-05	0.000000e+00	3.089568e-05
1.000000e+01	2.000000e+01	3.749538e-04	0.000000e+00	1.323319e-04
2.000000e+01	3.000000e+01	8.718827e-04	0.000000e+00	1.052953e-04
3.000000e+01	4.000000e+01	1.831315e-03	1.910460e-04	0.000000e+00
