# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
XLabel=$p_{T,hj_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1j_2}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/Hjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.487632e-03	2.326936e-03	2.401028e-03
1.000000e+01	2.000000e+01	9.109421e-03	4.053760e-04	0.000000e+00
2.000000e+01	3.000000e+01	6.940367e-03	3.763580e-04	4.381520e-04
3.000000e+01	4.000000e+01	5.711098e-03	1.850680e-04	3.407950e-04
4.000000e+01	5.000000e+01	4.713608e-03	3.124940e-04	0.000000e+00
5.000000e+01	6.000000e+01	3.723734e-03	9.253500e-05	0.000000e+00
6.000000e+01	7.000000e+01	2.965176e-03	1.117100e-04	1.075360e-04
7.000000e+01	8.000000e+01	2.364638e-03	1.249360e-04	1.217600e-05
8.000000e+01	9.000000e+01	1.830813e-03	8.000500e-05	9.614900e-05
9.000000e+01	1.000000e+02	1.452987e-03	1.043120e-04	9.136400e-05
1.000000e+02	1.100000e+02	1.096801e-03	1.283500e-05	1.164420e-04
1.100000e+02	1.200000e+02	9.243850e-04	7.119000e-05	6.087380e-05
1.200000e+02	1.300000e+02	7.292850e-04	4.050770e-05	1.143390e-05
1.300000e+02	1.400000e+02	6.125173e-04	7.712270e-05	1.591260e-05
1.400000e+02	1.500000e+02	4.880520e-04	1.273348e-04	1.719010e-05
1.500000e+02	1.600000e+02	3.797975e-04	1.497860e-05	2.260560e-05
1.600000e+02	1.700000e+02	2.982625e-04	8.651300e-06	4.537020e-05
1.700000e+02	1.800000e+02	2.427026e-04	3.571700e-06	2.253170e-05
1.800000e+02	1.900000e+02	2.071245e-04	0.000000e+00	7.607800e-06
1.900000e+02	2.000000e+02	1.831670e-04	8.843000e-06	1.290440e-05
2.000000e+02	2.100000e+02	1.383490e-04	0.000000e+00	2.205190e-05
2.100000e+02	2.200000e+02	1.253579e-04	6.616000e-06	0.000000e+00
2.200000e+02	2.300000e+02	1.119198e-04	1.192228e-05	1.999070e-05
2.300000e+02	2.400000e+02	8.892391e-05	1.527998e-05	1.209939e-05
2.400000e+02	2.500000e+02	7.552254e-05	1.565379e-05	2.626200e-07
2.500000e+02	2.600000e+02	6.768202e-05	2.690310e-06	0.000000e+00
2.600000e+02	2.700000e+02	4.739980e-05	0.000000e+00	4.758860e-06
2.700000e+02	2.800000e+02	3.958575e-05	0.000000e+00	6.488880e-06
2.800000e+02	2.900000e+02	4.188716e-05	4.347570e-06	6.433280e-06
2.900000e+02	3.000000e+02	3.095505e-05	5.751480e-06	7.717410e-06
3.000000e+02	3.100000e+02	2.830033e-05	5.725140e-06	5.324750e-06
