# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaR_H_j2_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaR_H_j2_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.254430e-03	4.133900e-04	8.505200e-04
2.000000e-01	4.000000e-01	2.504148e-02	2.806200e-04	5.838400e-04
4.000000e-01	6.000000e-01	4.327622e-02	1.858979e-02	0.000000e+00
6.000000e-01	8.000000e-01	6.007185e-02	2.952700e-03	9.486000e-04
8.000000e-01	1.000000e+00	7.844895e-02	4.466250e-03	3.423000e-04
1.000000e+00	1.200000e+00	9.298740e-02	6.487000e-04	3.138850e-03
1.200000e+00	1.400000e+00	1.122549e-01	5.315600e-03	0.000000e+00
1.400000e+00	1.600000e+00	1.275615e-01	1.690050e-03	0.000000e+00
1.600000e+00	1.800000e+00	1.396150e-01	2.910600e-03	4.788400e-03
1.800000e+00	2.000000e+00	1.482749e-01	3.412800e-03	3.685650e-03
2.000000e+00	2.200000e+00	1.511609e-01	1.097050e-03	3.295850e-03
2.200000e+00	2.400000e+00	1.526475e-01	6.454450e-03	0.000000e+00
2.400000e+00	2.600000e+00	1.574242e-01	3.254800e-03	4.156250e-03
2.600000e+00	2.800000e+00	1.677873e-01	1.411050e-03	0.000000e+00
2.800000e+00	3.000000e+00	1.777239e-01	1.485275e-02	4.547000e-03
3.000000e+00	3.200000e+00	1.901975e-01	0.000000e+00	2.815600e-03
3.200000e+00	3.400000e+00	1.568019e-01	1.664100e-03	8.390000e-04
3.400000e+00	3.600000e+00	1.338302e-01	4.410400e-03	0.000000e+00
3.600000e+00	3.800000e+00	1.104801e-01	0.000000e+00	2.994550e-03
3.800000e+00	4.000000e+00	9.414350e-02	2.576650e-03	3.573000e-04
4.000000e+00	4.200000e+00	7.866230e-02	5.488050e-03	0.000000e+00
4.200000e+00	4.400000e+00	6.638300e-02	1.941350e-03	8.235000e-05
4.400000e+00	4.600000e+00	5.255305e-02	1.755000e-05	1.349900e-03
4.600000e+00	4.800000e+00	4.380157e-02	5.733650e-04	0.000000e+00
4.800000e+00	5.000000e+00	3.478336e-02	7.625550e-04	0.000000e+00
5.000000e+00	5.200000e+00	2.820026e-02	1.080970e-03	0.000000e+00
5.200000e+00	5.400000e+00	2.095792e-02	0.000000e+00	7.735150e-04
5.400000e+00	5.600000e+00	1.721668e-02	2.664450e-04	0.000000e+00
