# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaphi_jfjb
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_jfjb
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	2.287280e-01	0.000000e+00	1.016797e-02
-3.036873e+00	-2.932153e+00	2.217373e-01	0.000000e+00	3.122326e-03
-2.932153e+00	-2.827433e+00	2.095533e-01	6.630634e-03	0.000000e+00
-2.827433e+00	-2.722713e+00	1.896151e-01	1.324144e-02	3.425262e-03
-2.722714e+00	-2.617994e+00	1.703392e-01	2.197288e-04	1.411383e-03
-2.617994e+00	-2.513274e+00	1.503491e-01	4.067895e-03	1.356570e-03
-2.513274e+00	-2.408554e+00	1.293060e-01	0.000000e+00	2.754775e-03
-2.408554e+00	-2.303834e+00	1.092605e-01	4.842865e-03	3.227113e-03
-2.303835e+00	-2.199115e+00	9.270886e-02	4.824408e-03	2.306436e-04
-2.199115e+00	-2.094395e+00	7.546610e-02	0.000000e+00	1.272918e-03
-2.094395e+00	-1.989675e+00	6.103288e-02	1.331102e-03	0.000000e+00
-1.989675e+00	-1.884955e+00	5.070952e-02	0.000000e+00	6.141292e-04
-1.884956e+00	-1.780236e+00	4.234786e-02	1.063016e-03	8.999236e-04
-1.780236e+00	-1.675516e+00	3.736400e-02	8.128104e-03	0.000000e+00
-1.675516e+00	-1.570796e+00	3.232769e-02	4.439458e-05	5.665202e-04
-1.570796e+00	-1.466076e+00	3.027945e-02	0.000000e+00	8.118775e-04
-1.466077e+00	-1.361357e+00	3.250792e-02	2.928142e-03	0.000000e+00
-1.361357e+00	-1.256637e+00	3.397692e-02	2.584778e-03	0.000000e+00
-1.256637e+00	-1.151917e+00	3.478757e-02	2.151786e-03	0.000000e+00
-1.151917e+00	-1.047197e+00	3.840609e-02	2.016921e-04	0.000000e+00
-1.047198e+00	-9.424778e-01	4.376291e-02	1.710988e-03	0.000000e+00
-9.424778e-01	-8.377580e-01	4.719152e-02	0.000000e+00	1.786501e-03
-8.377581e-01	-7.330384e-01	5.230390e-02	0.000000e+00	1.704302e-03
-7.330383e-01	-6.283185e-01	5.750013e-02	1.595324e-03	1.017888e-03
-6.283186e-01	-5.235989e-01	6.229376e-02	1.060058e-03	0.000000e+00
-5.235988e-01	-4.188790e-01	6.587189e-02	3.073822e-04	4.530184e-04
-4.188790e-01	-3.141594e-01	6.855867e-02	1.273896e-03	2.097657e-03
-3.141593e-01	-2.094395e-01	7.146448e-02	2.008627e-03	1.448876e-03
-2.094395e-01	-1.047198e-01	7.310015e-02	0.000000e+00	4.605819e-04
