# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltay_H_j2
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_j2
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.582750e-01	6.913500e-03	0.000000e+00
2.000000e-01	4.000000e-01	1.610377e-01	2.245990e-02	2.992450e-03
4.000000e-01	6.000000e-01	1.616106e-01	5.617700e-03	2.451400e-03
6.000000e-01	8.000000e-01	1.636021e-01	1.426850e-03	2.053550e-03
8.000000e-01	1.000000e+00	1.680413e-01	7.067200e-03	2.974600e-03
1.000000e+00	1.200000e+00	1.690148e-01	3.423600e-03	1.699000e-04
1.200000e+00	1.400000e+00	1.667388e-01	1.819000e-03	7.550000e-05
1.400000e+00	1.600000e+00	1.667790e-01	1.933250e-03	0.000000e+00
1.600000e+00	1.800000e+00	1.607022e-01	1.199085e-02	1.325800e-03
1.800000e+00	2.000000e+00	1.525120e-01	1.335035e-02	4.133100e-03
2.000000e+00	2.200000e+00	1.468667e-01	0.000000e+00	1.212250e-03
2.200000e+00	2.400000e+00	1.352480e-01	0.000000e+00	2.229750e-03
2.400000e+00	2.600000e+00	1.220108e-01	0.000000e+00	2.595200e-03
2.600000e+00	2.800000e+00	1.129909e-01	0.000000e+00	3.660550e-03
2.800000e+00	3.000000e+00	9.868340e-02	0.000000e+00	1.697150e-03
3.000000e+00	3.200000e+00	8.755845e-02	2.561900e-03	5.285000e-05
3.200000e+00	3.400000e+00	7.455205e-02	0.000000e+00	2.059000e-03
3.400000e+00	3.600000e+00	6.503680e-02	2.921500e-03	0.000000e+00
3.600000e+00	3.800000e+00	5.391745e-02	1.366100e-03	0.000000e+00
3.800000e+00	4.000000e+00	4.439240e-02	2.870350e-04	5.103250e-04
4.000000e+00	4.200000e+00	3.576703e-02	5.413900e-04	0.000000e+00
4.200000e+00	4.400000e+00	2.855336e-02	0.000000e+00	4.991150e-04
4.400000e+00	4.600000e+00	2.302680e-02	8.391300e-04	0.000000e+00
4.600000e+00	4.800000e+00	1.768690e-02	0.000000e+00	4.977900e-04
4.800000e+00	5.000000e+00	1.396215e-02	9.144000e-04	0.000000e+00
5.000000e+00	5.200000e+00	9.551535e-03	0.000000e+00	6.649000e-04
5.200000e+00	5.400000e+00	7.040805e-03	0.000000e+00	9.160750e-04
