# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	3.857733e-10	0.000000e+00	1.523750e-10
1.200000e+01	1.600000e+01	1.802117e-07	0.000000e+00	9.788285e-08
1.600000e+01	2.000000e+01	2.742320e-06	0.000000e+00	6.828825e-07
2.000000e+01	2.400000e+01	1.358544e-05	1.469800e-06	0.000000e+00
2.400000e+01	2.800000e+01	3.347938e-05	0.000000e+00	8.354750e-06
2.800000e+01	3.200000e+01	6.492827e-05	0.000000e+00	6.511675e-06
3.200000e+01	3.600000e+01	9.649685e-05	0.000000e+00	7.309450e-06
3.600000e+01	4.000000e+01	1.368271e-04	3.731425e-06	1.020930e-05
4.000000e+01	4.400000e+01	1.623341e-04	7.415925e-06	1.090617e-05
4.400000e+01	4.800000e+01	1.812848e-04	1.075650e-06	9.364625e-06
4.800000e+01	5.200000e+01	2.064948e-04	4.415962e-05	1.433220e-05
5.200000e+01	5.600000e+01	2.322020e-04	2.415180e-05	4.624325e-06
5.600000e+01	6.000000e+01	2.384167e-04	3.013478e-05	4.908010e-05
6.000000e+01	6.400000e+01	2.268274e-04	1.075525e-05	3.335715e-05
6.400000e+01	6.800000e+01	2.376958e-04	7.336700e-06	1.797995e-05
6.800000e+01	7.200000e+01	2.451164e-04	2.101255e-05	2.659810e-05
7.200000e+01	7.600000e+01	2.352262e-04	3.672917e-05	1.531402e-05
7.600000e+01	8.000000e+01	2.444199e-04	1.368985e-05	3.991283e-05
8.000000e+01	8.400000e+01	2.388945e-04	1.257800e-05	2.652748e-05
8.400000e+01	8.800000e+01	2.506285e-04	1.886532e-05	1.634325e-05
8.800000e+01	9.200000e+01	2.705873e-04	5.357473e-05	2.063250e-06
9.200000e+01	9.600000e+01	2.504932e-04	4.572317e-05	0.000000e+00
9.600000e+01	1.000000e+02	2.370279e-04	3.217095e-05	1.201430e-05
1.000000e+02	1.040000e+02	2.274601e-04	3.420125e-06	2.082012e-05
1.040000e+02	1.080000e+02	2.095041e-04	0.000000e+00	3.483880e-05
1.080000e+02	1.120000e+02	2.163030e-04	0.000000e+00	5.985075e-05
1.120000e+02	1.160000e+02	2.374078e-04	2.944158e-05	2.478225e-05
1.160000e+02	1.200000e+02	2.563040e-04	6.096715e-05	1.485675e-05
1.200000e+02	1.240000e+02	2.453445e-04	2.057595e-05	1.922298e-05
1.240000e+02	1.280000e+02	2.318078e-04	6.384475e-06	1.936790e-05
1.280000e+02	1.320000e+02	2.526037e-04	3.357592e-05	0.000000e+00
1.320000e+02	1.360000e+02	2.471107e-04	3.635180e-05	0.000000e+00
1.360000e+02	1.400000e+02	2.306976e-04	2.077083e-05	2.647793e-05
1.400000e+02	1.440000e+02	2.337411e-04	1.132117e-05	3.645313e-05
1.440000e+02	1.480000e+02	2.346285e-04	0.000000e+00	2.837927e-05
1.480000e+02	1.520000e+02	2.083904e-04	0.000000e+00	1.570850e-05
1.520000e+02	1.560000e+02	2.252449e-04	1.715322e-05	0.000000e+00
1.560000e+02	1.600000e+02	2.265012e-04	7.932400e-06	6.457400e-06
1.600000e+02	1.640000e+02	2.232096e-04	1.812410e-05	1.980207e-05
1.640000e+02	1.680000e+02	2.333126e-04	2.074737e-05	1.096217e-05
1.680000e+02	1.720000e+02	2.170335e-04	1.171475e-05	5.184750e-06
1.720000e+02	1.760000e+02	2.053505e-04	4.574775e-06	2.470895e-05
1.760000e+02	1.800000e+02	2.231434e-04	2.540222e-05	1.901585e-05
1.800000e+02	1.840000e+02	2.054967e-04	7.755750e-07	2.532818e-05
1.840000e+02	1.880000e+02	2.064919e-04	0.000000e+00	3.911168e-05
1.880000e+02	1.920000e+02	2.118298e-04	2.063785e-05	1.676800e-06
1.920000e+02	1.960000e+02	1.990700e-04	1.906483e-04	0.000000e+00
1.960000e+02	2.000000e+02	2.007175e-04	3.606553e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	1.110523e-09	1.021783e-09	0.000000e+00
1.200000e+01	1.600000e+01	1.901753e-07	4.746100e-09	2.697733e-08
1.600000e+01	2.000000e+01	2.369146e-06	1.862610e-07	2.838462e-07
2.000000e+01	2.400000e+01	1.090555e-05	8.098875e-07	1.148663e-06
2.400000e+01	2.800000e+01	2.764367e-05	3.027750e-07	3.392375e-06
2.800000e+01	3.200000e+01	4.979560e-05	0.000000e+00	9.808300e-06
3.200000e+01	3.600000e+01	7.548082e-05	0.000000e+00	1.658473e-05
3.600000e+01	4.000000e+01	9.850867e-05	0.000000e+00	2.518097e-05
4.000000e+01	4.400000e+01	1.185401e-04	0.000000e+00	3.289652e-05
4.400000e+01	4.800000e+01	1.335908e-04	0.000000e+00	4.038890e-05
4.800000e+01	5.200000e+01	1.449934e-04	0.000000e+00	4.791510e-05
5.200000e+01	5.600000e+01	1.534140e-04	0.000000e+00	5.188148e-05
5.600000e+01	6.000000e+01	1.583138e-04	0.000000e+00	5.540783e-05
6.000000e+01	6.400000e+01	1.607099e-04	0.000000e+00	5.743863e-05
6.400000e+01	6.800000e+01	1.611502e-04	0.000000e+00	5.851603e-05
6.800000e+01	7.200000e+01	1.600219e-04	0.000000e+00	6.140170e-05
7.200000e+01	7.600000e+01	1.594399e-04	0.000000e+00	5.989630e-05
7.600000e+01	8.000000e+01	1.580953e-04	0.000000e+00	5.893460e-05
8.000000e+01	8.400000e+01	1.565969e-04	0.000000e+00	5.880655e-05
8.400000e+01	8.800000e+01	1.537782e-04	0.000000e+00	5.758330e-05
8.800000e+01	9.200000e+01	1.515524e-04	0.000000e+00	5.511175e-05
9.200000e+01	9.600000e+01	1.492473e-04	0.000000e+00	5.510610e-05
9.600000e+01	1.000000e+02	1.473268e-04	0.000000e+00	5.381613e-05
1.000000e+02	1.040000e+02	1.471381e-04	0.000000e+00	5.111463e-05
1.040000e+02	1.080000e+02	1.451627e-04	0.000000e+00	5.045577e-05
1.080000e+02	1.120000e+02	1.426353e-04	0.000000e+00	4.968340e-05
1.120000e+02	1.160000e+02	1.413989e-04	0.000000e+00	5.032825e-05
1.160000e+02	1.200000e+02	1.409768e-04	0.000000e+00	4.758475e-05
1.200000e+02	1.240000e+02	1.403701e-04	0.000000e+00	4.807492e-05
1.240000e+02	1.280000e+02	1.396366e-04	0.000000e+00	4.682922e-05
1.280000e+02	1.320000e+02	1.388703e-04	0.000000e+00	4.561740e-05
1.320000e+02	1.360000e+02	1.383173e-04	0.000000e+00	4.351675e-05
1.360000e+02	1.400000e+02	1.377898e-04	0.000000e+00	4.532923e-05
1.400000e+02	1.440000e+02	1.370828e-04	0.000000e+00	4.426570e-05
1.440000e+02	1.480000e+02	1.363251e-04	0.000000e+00	4.312487e-05
1.480000e+02	1.520000e+02	1.358130e-04	0.000000e+00	4.350657e-05
1.520000e+02	1.560000e+02	1.349379e-04	0.000000e+00	4.319188e-05
1.560000e+02	1.600000e+02	1.330406e-04	0.000000e+00	4.272185e-05
1.600000e+02	1.640000e+02	1.331437e-04	0.000000e+00	4.033932e-05
1.640000e+02	1.680000e+02	1.316394e-04	0.000000e+00	4.156838e-05
1.680000e+02	1.720000e+02	1.297566e-04	0.000000e+00	4.243628e-05
1.720000e+02	1.760000e+02	1.292050e-04	0.000000e+00	4.077620e-05
1.760000e+02	1.800000e+02	1.289238e-04	0.000000e+00	3.884270e-05
1.800000e+02	1.840000e+02	1.273026e-04	0.000000e+00	3.839773e-05
1.840000e+02	1.880000e+02	1.267232e-04	0.000000e+00	3.842988e-05
1.880000e+02	1.920000e+02	1.239488e-04	0.000000e+00	3.953773e-05
1.920000e+02	1.960000e+02	1.232530e-04	0.000000e+00	3.676557e-05
1.960000e+02	2.000000e+02	1.218987e-04	0.000000e+00	3.751425e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
