# BEGIN PLOT
Rebin=4
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass
XLabel=$m_{j_2}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet2_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/jet2_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.129935e-01	2.648874e-02	5.490470e-02
1.000000e+00	2.000000e+00	1.207944e-02	2.602770e-03	5.083070e-03
2.000000e+00	3.000000e+00	1.001434e-02	1.550095e-03	1.188200e-04
3.000000e+00	4.000000e+00	2.816059e-02	5.204360e-03	0.000000e+00
4.000000e+00	5.000000e+00	3.366142e-02	3.670920e-03	0.000000e+00
5.000000e+00	6.000000e+00	3.343662e-02	2.772770e-03	0.000000e+00
6.000000e+00	7.000000e+00	3.296537e-02	3.729090e-03	0.000000e+00
7.000000e+00	8.000000e+00	3.125132e-02	3.578400e-03	0.000000e+00
8.000000e+00	9.000000e+00	2.825550e-02	3.341670e-03	1.127800e-03
9.000000e+00	1.000000e+01	2.575517e-02	4.068140e-03	1.039220e-03
1.000000e+01	1.100000e+01	2.267557e-02	3.818790e-03	1.576790e-03
1.100000e+01	1.200000e+01	1.963336e-02	2.907550e-03	2.067390e-03
1.200000e+01	1.300000e+01	1.773355e-02	3.357230e-03	1.930320e-03
1.300000e+01	1.400000e+01	1.539552e-02	2.390910e-03	1.963050e-03
1.400000e+01	1.500000e+01	1.324324e-02	2.123240e-03	2.525690e-03
1.500000e+01	1.600000e+01	1.186036e-02	2.606804e-03	1.005440e-03
1.600000e+01	1.700000e+01	1.058625e-02	2.246238e-03	1.254820e-03
1.700000e+01	1.800000e+01	8.475862e-03	1.346360e-03	3.431208e-03
1.800000e+01	1.900000e+01	8.080542e-03	2.089489e-03	0.000000e+00
1.900000e+01	2.000000e+01	6.854448e-03	1.636335e-03	1.525137e-03
2.000000e+01	2.100000e+01	6.306580e-03	1.598749e-03	1.186893e-03
2.100000e+01	2.200000e+01	5.818454e-03	1.142936e-03	1.223192e-03
2.200000e+01	2.300000e+01	4.893661e-03	9.896660e-04	1.034694e-03
2.300000e+01	2.400000e+01	4.392342e-03	9.138340e-04	8.918140e-04
2.400000e+01	2.500000e+01	3.895759e-03	1.109728e-03	1.261696e-03
2.500000e+01	2.600000e+01	3.272484e-03	6.424310e-04	7.287840e-04
2.600000e+01	2.700000e+01	3.189546e-03	5.332550e-04	6.287800e-04
2.700000e+01	2.800000e+01	2.720745e-03	5.888930e-04	7.442980e-04
2.800000e+01	2.900000e+01	2.432099e-03	2.478886e-03	0.000000e+00
