# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34
XLabel=$\sqrt{d_{34}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{34}}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/log10_d_34
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_34
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	8.125860e-03	6.394125e-03	2.202197e-02
2.361291e-01	2.722583e-01	1.234816e-02	9.616490e-03	3.032765e-02
2.722583e-01	3.083875e-01	1.903511e-02	1.456421e-02	3.775291e-02
3.083874e-01	3.445165e-01	2.699825e-02	2.027228e-02	4.704345e-02
3.445165e-01	3.806457e-01	3.797006e-02	2.782185e-02	5.231774e-02
3.806457e-01	4.167748e-01	5.168003e-02	3.649823e-02	6.288449e-02
4.167748e-01	4.529039e-01	6.979590e-02	4.743314e-02	6.699536e-02
4.529039e-01	4.890331e-01	9.049860e-02	5.839136e-02	7.026527e-02
4.890331e-01	5.251621e-01	1.168252e-01	7.139738e-02	7.128069e-02
5.251623e-01	5.612913e-01	1.495523e-01	8.559972e-02	7.000346e-02
5.612913e-01	5.974205e-01	1.790407e-01	9.291955e-02	6.830959e-02
5.974204e-01	6.335495e-01	2.105442e-01	9.816026e-02	7.072299e-02
6.335497e-01	6.696787e-01	2.470847e-01	1.024982e-01	6.323523e-02
6.696787e-01	7.058079e-01	2.911700e-01	1.086441e-01	5.647648e-02
7.058080e-01	7.419370e-01	3.304649e-01	1.074133e-01	4.326955e-02
7.419370e-01	7.780660e-01	3.658453e-01	9.022489e-02	3.355799e-02
7.780661e-01	8.141953e-01	4.077984e-01	9.649951e-02	1.409857e-02
8.141954e-01	8.503245e-01	4.313218e-01	7.418452e-02	1.576818e-02
8.503244e-01	8.864534e-01	4.578957e-01	6.107542e-02	3.811055e-03
8.864535e-01	9.225827e-01	4.840713e-01	3.613753e-02	0.000000e+00
9.225828e-01	9.587118e-01	5.045174e-01	2.786452e-02	0.000000e+00
9.587118e-01	9.948408e-01	5.193537e-01	1.624120e-02	9.528884e-03
9.948404e-01	1.030970e+00	5.381853e-01	2.936165e-02	2.585783e-02
1.030970e+00	1.067098e+00	5.498397e-01	3.704199e-02	0.000000e+00
1.067100e+00	1.103228e+00	5.536810e-01	3.174514e-02	3.354424e-02
1.103229e+00	1.139358e+00	5.413576e-01	4.415705e-02	8.118575e-02
1.139357e+00	1.175487e+00	5.526338e-01	3.965624e-02	6.199446e-02
1.175487e+00	1.211615e+00	5.442152e-01	4.543469e-02	8.043705e-02
1.211617e+00	1.247745e+00	5.348335e-01	4.032578e-02	8.252290e-02
