# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltay_H_j3
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.071201e-03	4.689230e-04	0.000000e+00
2.000000e-01	4.000000e-01	4.175936e-03	2.246600e-04	0.000000e+00
4.000000e-01	6.000000e-01	4.542432e-03	5.836705e-04	0.000000e+00
6.000000e-01	8.000000e-01	4.677806e-03	3.810155e-04	0.000000e+00
8.000000e-01	1.000000e+00	4.823453e-03	2.877375e-04	1.932470e-04
1.000000e+00	1.200000e+00	5.228725e-03	5.846500e-05	1.265000e-04
1.200000e+00	1.400000e+00	5.677230e-03	2.941300e-04	8.733550e-04
1.400000e+00	1.600000e+00	6.310745e-03	4.898900e-04	5.475500e-05
1.600000e+00	1.800000e+00	6.396915e-03	1.860200e-04	8.425500e-05
1.800000e+00	2.000000e+00	6.492925e-03	6.801000e-05	6.229700e-04
2.000000e+00	2.200000e+00	7.214395e-03	7.068000e-04	0.000000e+00
2.200000e+00	2.400000e+00	6.755215e-03	8.377500e-05	6.722900e-04
2.400000e+00	2.600000e+00	7.037465e-03	3.278200e-04	2.291900e-04
2.600000e+00	2.800000e+00	6.915875e-03	4.160200e-04	4.190000e-04
2.800000e+00	3.000000e+00	6.592480e-03	1.886250e-04	3.409900e-04
3.000000e+00	3.200000e+00	6.456700e-03	4.141650e-04	1.719300e-04
3.200000e+00	3.400000e+00	6.078935e-03	4.819250e-04	4.898700e-04
3.400000e+00	3.600000e+00	5.614170e-03	2.792300e-04	0.000000e+00
3.600000e+00	3.800000e+00	5.063560e-03	5.695280e-04	0.000000e+00
3.800000e+00	4.000000e+00	4.559492e-03	2.799320e-04	5.820780e-04
4.000000e+00	4.200000e+00	4.029543e-03	1.894080e-04	2.821370e-04
4.200000e+00	4.400000e+00	3.460171e-03	1.394320e-04	3.764505e-04
4.400000e+00	4.600000e+00	2.937624e-03	1.703120e-04	1.873565e-04
4.600000e+00	4.800000e+00	2.476817e-03	8.944000e-05	4.670900e-05
4.800000e+00	5.000000e+00	2.052979e-03	1.177150e-04	5.213000e-05
5.000000e+00	5.200000e+00	1.570372e-03	3.117000e-06	1.343540e-04
5.200000e+00	5.400000e+00	1.298062e-03	1.190945e-04	6.907550e-05
5.400000e+00	5.600000e+00	1.005921e-03	8.677800e-05	5.089400e-05
5.600000e+00	5.800000e+00	7.530015e-04	8.438550e-05	3.840800e-05
5.800000e+00	6.000000e+00	5.237530e-04	4.974500e-06	0.000000e+00
6.000000e+00	6.200000e+00	3.813893e-04	2.939925e-05	0.000000e+00
6.200000e+00	6.400000e+00	2.539713e-04	9.714750e-06	1.385025e-05
6.400000e+00	6.600000e+00	1.759609e-04	1.738210e-05	0.000000e+00
6.600000e+00	6.800000e+00	1.149059e-04	2.309325e-05	0.000000e+00
6.800000e+00	7.000000e+00	6.383015e-05	2.958000e-06	1.074350e-06
7.000000e+00	7.200000e+00	3.665516e-05	4.422780e-06	0.000000e+00
7.200000e+00	7.400000e+00	2.150206e-05	1.551090e-06	8.658000e-07
7.400000e+00	7.600000e+00	9.713745e-06	1.600800e-07	3.454350e-07
7.600000e+00	7.800000e+00	4.433045e-06	8.724250e-07	5.072385e-07
7.800000e+00	8.000000e+00	1.796545e-06	2.555570e-07	0.000000e+00
8.000000e+00	8.200000e+00	7.004490e-07	1.877600e-07	0.000000e+00
8.200000e+00	8.400000e+00	1.467219e-07	5.350810e-08	0.000000e+00
8.400000e+00	8.600000e+00	1.561971e-08	5.346650e-10	1.448162e-08
8.600000e+00	8.800000e+00	2.660630e-09	4.131353e-09	1.585815e-09
8.800000e+00	9.000000e+00	3.723724e-11	1.441826e-11	1.463933e-10
9.000000e+00	9.200000e+00	3.131462e-21	3.131462e-21	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.763192e-03	0.000000e+00	5.131120e-04
2.000000e-01	4.000000e-01	2.841599e-03	0.000000e+00	5.147910e-04
4.000000e-01	6.000000e-01	3.012030e-03	0.000000e+00	5.650490e-04
6.000000e-01	8.000000e-01	3.210507e-03	0.000000e+00	5.881380e-04
8.000000e-01	1.000000e+00	3.462629e-03	0.000000e+00	6.743095e-04
1.000000e+00	1.200000e+00	3.754365e-03	0.000000e+00	7.493320e-04
1.200000e+00	1.400000e+00	4.062066e-03	0.000000e+00	7.863895e-04
1.400000e+00	1.600000e+00	4.344514e-03	0.000000e+00	8.637560e-04
1.600000e+00	1.800000e+00	4.600191e-03	0.000000e+00	9.123445e-04
1.800000e+00	2.000000e+00	4.837364e-03	0.000000e+00	9.826760e-04
2.000000e+00	2.200000e+00	4.989744e-03	0.000000e+00	1.003301e-03
2.200000e+00	2.400000e+00	5.072690e-03	0.000000e+00	1.012280e-03
2.400000e+00	2.600000e+00	5.069270e-03	0.000000e+00	1.008915e-03
2.600000e+00	2.800000e+00	5.037075e-03	0.000000e+00	9.905800e-04
2.800000e+00	3.000000e+00	4.858163e-03	0.000000e+00	9.839870e-04
3.000000e+00	3.200000e+00	4.665600e-03	0.000000e+00	9.237600e-04
3.200000e+00	3.400000e+00	4.375449e-03	0.000000e+00	9.234010e-04
3.400000e+00	3.600000e+00	4.035243e-03	0.000000e+00	8.570845e-04
3.600000e+00	3.800000e+00	3.679486e-03	0.000000e+00	7.808425e-04
3.800000e+00	4.000000e+00	3.274192e-03	0.000000e+00	7.090945e-04
4.000000e+00	4.200000e+00	2.896633e-03	0.000000e+00	5.931030e-04
4.200000e+00	4.400000e+00	2.500428e-03	0.000000e+00	5.254775e-04
4.400000e+00	4.600000e+00	2.136822e-03	0.000000e+00	4.358490e-04
4.600000e+00	4.800000e+00	1.768513e-03	0.000000e+00	3.561310e-04
4.800000e+00	5.000000e+00	1.434029e-03	0.000000e+00	3.209780e-04
5.000000e+00	5.200000e+00	1.143458e-03	0.000000e+00	2.410850e-04
5.200000e+00	5.400000e+00	9.022380e-04	0.000000e+00	1.833980e-04
5.400000e+00	5.600000e+00	6.902635e-04	0.000000e+00	1.370185e-04
5.600000e+00	5.800000e+00	5.118745e-04	0.000000e+00	1.125820e-04
5.800000e+00	6.000000e+00	3.697848e-04	0.000000e+00	7.376535e-05
6.000000e+00	6.200000e+00	2.661992e-04	0.000000e+00	4.524215e-05
6.200000e+00	6.400000e+00	1.787391e-04	0.000000e+00	4.019635e-05
6.400000e+00	6.600000e+00	1.152102e-04	0.000000e+00	3.070635e-05
6.600000e+00	6.800000e+00	7.694085e-05	0.000000e+00	1.101315e-05
6.800000e+00	7.000000e+00	4.413323e-05	0.000000e+00	4.883245e-06
7.000000e+00	7.200000e+00	2.555257e-05	0.000000e+00	5.328155e-06
7.200000e+00	7.400000e+00	1.355618e-05	0.000000e+00	3.503930e-06
7.400000e+00	7.600000e+00	7.107030e-06	0.000000e+00	6.550500e-07
7.600000e+00	7.800000e+00	3.061537e-06	0.000000e+00	2.722800e-07
7.800000e+00	8.000000e+00	9.157865e-07	0.000000e+00	4.790970e-07
8.000000e+00	8.200000e+00	3.700479e-07	0.000000e+00	1.745687e-07
8.200000e+00	8.400000e+00	1.120300e-07	5.964220e-08	2.558930e-08
8.400000e+00	8.600000e+00	1.239692e-08	0.000000e+00	7.000305e-09
8.600000e+00	8.800000e+00	2.486176e-09	1.041751e-09	0.000000e+00
8.800000e+00	9.000000e+00	3.962171e-11	3.365160e-11	0.000000e+00
9.000000e+00	9.200000e+00	1.191385e-18	1.191385e-18	5.338508e-13
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j3
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.916874e-03	0.000000e+00	1.457884e-03
2.000000e-01	4.000000e-01	2.969632e-03	0.000000e+00	1.501983e-03
4.000000e-01	6.000000e-01	3.116377e-03	0.000000e+00	1.538291e-03
6.000000e-01	8.000000e-01	3.253193e-03	0.000000e+00	1.715169e-03
8.000000e-01	1.000000e+00	3.547019e-03	0.000000e+00	1.727151e-03
1.000000e+00	1.200000e+00	3.793402e-03	0.000000e+00	1.730828e-03
1.200000e+00	1.400000e+00	3.969542e-03	0.000000e+00	1.934173e-03
1.400000e+00	1.600000e+00	4.171981e-03	0.000000e+00	2.082479e-03
1.600000e+00	1.800000e+00	4.377153e-03	0.000000e+00	2.209522e-03
1.800000e+00	2.000000e+00	4.594330e-03	0.000000e+00	2.281565e-03
2.000000e+00	2.200000e+00	4.780853e-03	0.000000e+00	2.258777e-03
2.200000e+00	2.400000e+00	4.703084e-03	0.000000e+00	2.401262e-03
2.400000e+00	2.600000e+00	4.627944e-03	0.000000e+00	2.362026e-03
2.600000e+00	2.800000e+00	4.591871e-03	0.000000e+00	2.310265e-03
2.800000e+00	3.000000e+00	4.448555e-03	0.000000e+00	2.257289e-03
3.000000e+00	3.200000e+00	4.262951e-03	0.000000e+00	2.204668e-03
3.200000e+00	3.400000e+00	3.924724e-03	0.000000e+00	2.094476e-03
3.400000e+00	3.600000e+00	3.652102e-03	0.000000e+00	1.959788e-03
3.600000e+00	3.800000e+00	3.302003e-03	0.000000e+00	1.732458e-03
3.800000e+00	4.000000e+00	2.993934e-03	0.000000e+00	1.549740e-03
4.000000e+00	4.200000e+00	2.569075e-03	0.000000e+00	1.490937e-03
4.200000e+00	4.400000e+00	2.316996e-03	0.000000e+00	1.182966e-03
4.400000e+00	4.600000e+00	1.890863e-03	0.000000e+00	1.028646e-03
4.600000e+00	4.800000e+00	1.614417e-03	0.000000e+00	8.377960e-04
4.800000e+00	5.000000e+00	1.305620e-03	0.000000e+00	7.479805e-04
5.000000e+00	5.200000e+00	1.016218e-03	0.000000e+00	5.954070e-04
5.200000e+00	5.400000e+00	8.115045e-04	0.000000e+00	4.799510e-04
5.400000e+00	5.600000e+00	6.238035e-04	0.000000e+00	3.488365e-04
5.600000e+00	5.800000e+00	4.353506e-04	0.000000e+00	3.037478e-04
5.800000e+00	6.000000e+00	3.402444e-04	0.000000e+00	2.140311e-04
6.000000e+00	6.200000e+00	2.237820e-04	0.000000e+00	1.772273e-04
6.200000e+00	6.400000e+00	1.584157e-04	0.000000e+00	1.279621e-04
6.400000e+00	6.600000e+00	1.034664e-04	0.000000e+00	8.222360e-05
6.600000e+00	6.800000e+00	7.429940e-05	0.000000e+00	4.591510e-05
6.800000e+00	7.000000e+00	3.520566e-05	0.000000e+00	4.008639e-05
7.000000e+00	7.200000e+00	2.556258e-05	0.000000e+00	2.194603e-05
7.200000e+00	7.400000e+00	1.082436e-05	0.000000e+00	1.143828e-05
7.400000e+00	7.600000e+00	5.672645e-06	0.000000e+00	6.115985e-06
7.600000e+00	7.800000e+00	2.724487e-06	0.000000e+00	1.959885e-06
7.800000e+00	8.000000e+00	1.044536e-06	0.000000e+00	5.245740e-07
8.000000e+00	8.200000e+00	1.481051e-07	0.000000e+00	5.393215e-07
8.200000e+00	8.400000e+00	3.143114e-08	0.000000e+00	1.015296e-07
8.400000e+00	8.600000e+00	5.541560e-09	0.000000e+00	2.265408e-08
8.600000e+00	8.800000e+00	1.939918e-09	1.378184e-09	0.000000e+00
8.800000e+00	9.000000e+00	1.666381e-11	1.781401e-11	7.873097e-10
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

