# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j2j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	7.199610e-05	3.469675e-06	9.066025e-06
4.000000e+01	8.000000e+01	1.274838e-04	9.491525e-06	2.316425e-06
8.000000e+01	1.200000e+02	7.319153e-05	4.220175e-06	0.000000e+00
1.200000e+02	1.600000e+02	3.641325e-05	1.627525e-06	2.947200e-06
1.600000e+02	2.000000e+02	2.001278e-05	1.944885e-06	0.000000e+00
2.000000e+02	2.400000e+02	1.177445e-05	8.110125e-07	1.150550e-07
2.400000e+02	2.800000e+02	8.591580e-06	7.637650e-07	0.000000e+00
2.800000e+02	3.200000e+02	7.143015e-06	1.755500e-07	8.109600e-07
3.200000e+02	3.600000e+02	7.172005e-06	6.495150e-07	0.000000e+00
3.600000e+02	4.000000e+02	7.369405e-06	0.000000e+00	1.024513e-06
4.000000e+02	4.400000e+02	7.776607e-06	1.036250e-07	3.411650e-07
4.400000e+02	4.800000e+02	8.127472e-06	0.000000e+00	2.634107e-06
4.800000e+02	5.200000e+02	9.604053e-06	3.609950e-07	0.000000e+00
5.200000e+02	5.600000e+02	1.016545e-05	3.299825e-07	1.038830e-06
5.600000e+02	6.000000e+02	1.032436e-05	4.720750e-07	5.201050e-07
6.000000e+02	6.400000e+02	1.122907e-05	1.524085e-06	0.000000e+00
6.400000e+02	6.800000e+02	1.099706e-05	5.405075e-07	2.315425e-07
6.800000e+02	7.200000e+02	1.108275e-05	1.177135e-06	3.888800e-07
7.200000e+02	7.600000e+02	1.097679e-05	1.053520e-06	3.147825e-07
7.600000e+02	8.000000e+02	1.060953e-05	0.000000e+00	1.153947e-06
8.000000e+02	8.400000e+02	1.068893e-05	4.149275e-07	9.802275e-07
8.400000e+02	8.800000e+02	1.062148e-05	3.539975e-07	2.621825e-07
8.800000e+02	9.200000e+02	1.011335e-05	6.302725e-07	0.000000e+00
9.200000e+02	9.600000e+02	9.808960e-06	3.883025e-07	1.368505e-06
9.600000e+02	1.000000e+03	9.478290e-06	3.084475e-07	4.238300e-07
1.000000e+03	1.040000e+03	9.057928e-06	7.193250e-08	2.915325e-07
1.040000e+03	1.080000e+03	9.157177e-06	7.378100e-07	3.622500e-07
1.080000e+03	1.120000e+03	8.324115e-06	3.636000e-07	1.016850e-07
1.120000e+03	1.160000e+03	7.700443e-06	0.000000e+00	5.377075e-07
1.160000e+03	1.200000e+03	7.831135e-06	6.801450e-07	3.814475e-07
