# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	3.129088e-12	3.129088e-12	4.643361e-11
2.000000e+01	2.400000e+01	1.515213e-09	4.260105e-09	7.290467e-09
2.400000e+01	2.800000e+01	4.488398e-08	9.996295e-08	1.027843e-08
2.800000e+01	3.200000e+01	2.611500e-07	7.400467e-08	7.182250e-09
3.200000e+01	3.600000e+01	5.215040e-07	1.044728e-07	0.000000e+00
3.600000e+01	4.000000e+01	1.156414e-06	1.411387e-07	3.002825e-08
4.000000e+01	4.400000e+01	1.870453e-06	1.858028e-07	7.352522e-07
4.400000e+01	4.800000e+01	2.734095e-06	2.120975e-07	8.515550e-07
4.800000e+01	5.200000e+01	3.652600e-06	4.927025e-07	0.000000e+00
5.200000e+01	5.600000e+01	5.339695e-06	6.601325e-07	7.514275e-07
5.600000e+01	6.000000e+01	6.213528e-06	1.332788e-06	5.414000e-07
6.000000e+01	6.400000e+01	6.995685e-06	1.128520e-06	1.708178e-06
6.400000e+01	6.800000e+01	8.036947e-06	9.526475e-07	7.184425e-07
6.800000e+01	7.200000e+01	9.141777e-06	3.370715e-06	1.276350e-06
7.200000e+01	7.600000e+01	1.093433e-05	2.069325e-06	2.888420e-06
7.600000e+01	8.000000e+01	1.025651e-05	1.505785e-06	2.907648e-06
8.000000e+01	8.400000e+01	1.124667e-05	1.471822e-06	1.533968e-06
8.400000e+01	8.800000e+01	1.160753e-05	1.723948e-06	2.531375e-07
8.800000e+01	9.200000e+01	1.112673e-05	6.632775e-07	1.456925e-07
9.200000e+01	9.600000e+01	1.124232e-05	7.069750e-07	3.404315e-06
9.600000e+01	1.000000e+02	1.247178e-05	1.668527e-06	1.768910e-06
1.000000e+02	1.040000e+02	1.271509e-05	1.900023e-06	8.473400e-07
1.040000e+02	1.080000e+02	1.244605e-05	1.514225e-06	1.402282e-06
1.080000e+02	1.120000e+02	1.170658e-05	1.105040e-06	1.989925e-06
1.120000e+02	1.160000e+02	1.184957e-05	2.149090e-06	1.382715e-06
1.160000e+02	1.200000e+02	1.134423e-05	1.180188e-06	1.339800e-06
1.200000e+02	1.240000e+02	1.075499e-05	1.607000e-08	2.895070e-06
1.240000e+02	1.280000e+02	1.154849e-05	1.061196e-05	0.000000e+00
1.280000e+02	1.320000e+02	1.195417e-05	9.539500e-07	0.000000e+00
1.320000e+02	1.360000e+02	1.151098e-05	2.019927e-06	2.432590e-06
1.360000e+02	1.400000e+02	1.287160e-05	3.431860e-06	0.000000e+00
1.400000e+02	1.440000e+02	1.070426e-05	1.024422e-06	1.114925e-06
1.440000e+02	1.480000e+02	1.124403e-05	1.145733e-06	5.807525e-07
1.480000e+02	1.520000e+02	1.011487e-05	1.815758e-06	0.000000e+00
1.520000e+02	1.560000e+02	8.717688e-06	0.000000e+00	3.417987e-06
1.560000e+02	1.600000e+02	1.125432e-05	2.150380e-06	1.196150e-07
1.600000e+02	1.640000e+02	9.799343e-06	6.817625e-07	1.535337e-06
1.640000e+02	1.680000e+02	9.339128e-06	4.845270e-06	0.000000e+00
1.680000e+02	1.720000e+02	9.265985e-06	1.131820e-06	5.784723e-06
1.720000e+02	1.760000e+02	8.677812e-06	1.064655e-06	2.710020e-06
1.760000e+02	1.800000e+02	8.722525e-06	5.620062e-06	1.563187e-06
1.800000e+02	1.840000e+02	8.551158e-06	1.136953e-06	1.832200e-07
1.840000e+02	1.880000e+02	1.242324e-05	4.933507e-06	0.000000e+00
1.880000e+02	1.920000e+02	8.301335e-06	1.367692e-06	1.814725e-07
1.920000e+02	1.960000e+02	8.171717e-06	1.092330e-06	1.523630e-06
1.960000e+02	2.000000e+02	8.162720e-06	1.644095e-06	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	5.891382e-11	5.891382e-11	4.205200e-11
2.000000e+01	2.400000e+01	3.815293e-09	5.810175e-10	0.000000e+00
2.400000e+01	2.800000e+01	4.868472e-08	0.000000e+00	3.113188e-08
2.800000e+01	3.200000e+01	2.035867e-07	5.336300e-09	5.522130e-08
3.200000e+01	3.600000e+01	5.677812e-07	0.000000e+00	1.615513e-07
3.600000e+01	4.000000e+01	1.024805e-06	0.000000e+00	5.753843e-07
4.000000e+01	4.400000e+01	1.760678e-06	0.000000e+00	7.130675e-07
4.400000e+01	4.800000e+01	2.487625e-06	0.000000e+00	1.102173e-06
4.800000e+01	5.200000e+01	3.271372e-06	0.000000e+00	1.265328e-06
5.200000e+01	5.600000e+01	3.863540e-06	0.000000e+00	1.761305e-06
5.600000e+01	6.000000e+01	4.617803e-06	0.000000e+00	2.075582e-06
6.000000e+01	6.400000e+01	5.111192e-06	0.000000e+00	2.193560e-06
6.400000e+01	6.800000e+01	5.647910e-06	0.000000e+00	2.461940e-06
6.800000e+01	7.200000e+01	5.879948e-06	0.000000e+00	2.747667e-06
7.200000e+01	7.600000e+01	6.098700e-06	0.000000e+00	2.944913e-06
7.600000e+01	8.000000e+01	6.328202e-06	0.000000e+00	3.159115e-06
8.000000e+01	8.400000e+01	6.598713e-06	0.000000e+00	2.747137e-06
8.400000e+01	8.800000e+01	6.775245e-06	0.000000e+00	3.025503e-06
8.800000e+01	9.200000e+01	6.589308e-06	0.000000e+00	2.926540e-06
9.200000e+01	9.600000e+01	6.665623e-06	0.000000e+00	2.838910e-06
9.600000e+01	1.000000e+02	6.481547e-06	0.000000e+00	2.866805e-06
1.000000e+02	1.040000e+02	6.462268e-06	0.000000e+00	3.107480e-06
1.040000e+02	1.080000e+02	6.449955e-06	0.000000e+00	2.986330e-06
1.080000e+02	1.120000e+02	6.557372e-06	0.000000e+00	3.020160e-06
1.120000e+02	1.160000e+02	6.505738e-06	0.000000e+00	2.807855e-06
1.160000e+02	1.200000e+02	6.314075e-06	0.000000e+00	2.762265e-06
1.200000e+02	1.240000e+02	6.365132e-06	0.000000e+00	2.558667e-06
1.240000e+02	1.280000e+02	6.183298e-06	0.000000e+00	2.479980e-06
1.280000e+02	1.320000e+02	5.781123e-06	0.000000e+00	2.725977e-06
1.320000e+02	1.360000e+02	5.777397e-06	0.000000e+00	2.444525e-06
1.360000e+02	1.400000e+02	5.545293e-06	0.000000e+00	2.579197e-06
1.400000e+02	1.440000e+02	5.476800e-06	0.000000e+00	2.284963e-06
1.440000e+02	1.480000e+02	5.190650e-06	0.000000e+00	2.545660e-06
1.480000e+02	1.520000e+02	5.072252e-06	0.000000e+00	2.235025e-06
1.520000e+02	1.560000e+02	4.903902e-06	0.000000e+00	2.158295e-06
1.560000e+02	1.600000e+02	4.735555e-06	0.000000e+00	2.056547e-06
1.600000e+02	1.640000e+02	4.619707e-06	0.000000e+00	2.015083e-06
1.640000e+02	1.680000e+02	4.570185e-06	0.000000e+00	1.974753e-06
1.680000e+02	1.720000e+02	4.235025e-06	0.000000e+00	1.872367e-06
1.720000e+02	1.760000e+02	3.982658e-06	0.000000e+00	1.935595e-06
1.760000e+02	1.800000e+02	4.006262e-06	0.000000e+00	1.569630e-06
1.800000e+02	1.840000e+02	3.950257e-06	0.000000e+00	1.551170e-06
1.840000e+02	1.880000e+02	3.753960e-06	0.000000e+00	1.618417e-06
1.880000e+02	1.920000e+02	3.630475e-06	0.000000e+00	1.544535e-06
1.920000e+02	1.960000e+02	3.537720e-06	0.000000e+00	1.605152e-06
1.960000e+02	2.000000e+02	3.116065e-06	0.000000e+00	1.605500e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
