# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
XLabel=$m_{j_2j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j2j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	7.287540e-09	1.705949e-08	8.915088e-09
1.200000e+01	1.600000e+01	1.574267e-06	4.352125e-08	3.921850e-08
1.600000e+01	2.000000e+01	7.817760e-06	1.876163e-06	1.020832e-06
2.000000e+01	2.400000e+01	1.830519e-05	0.000000e+00	4.274892e-06
2.400000e+01	2.800000e+01	2.490873e-05	0.000000e+00	3.201323e-06
2.800000e+01	3.200000e+01	3.294585e-05	7.937775e-06	2.639950e-06
3.200000e+01	3.600000e+01	3.707547e-05	5.172250e-06	1.956500e-06
3.600000e+01	4.000000e+01	3.394575e-05	2.598925e-06	9.646725e-06
4.000000e+01	4.400000e+01	3.507052e-05	4.428625e-06	5.418000e-06
4.400000e+01	4.800000e+01	3.261460e-05	3.580875e-06	6.346975e-06
4.800000e+01	5.200000e+01	3.049193e-05	2.431800e-06	5.419850e-06
5.200000e+01	5.600000e+01	2.958277e-05	1.399875e-06	3.898425e-06
5.600000e+01	6.000000e+01	1.722097e-05	0.000000e+00	1.691390e-05
6.000000e+01	6.400000e+01	2.782132e-05	2.945922e-06	7.375425e-06
6.400000e+01	6.800000e+01	2.704168e-05	1.065979e-05	0.000000e+00
6.800000e+01	7.200000e+01	2.631312e-05	4.056928e-06	3.337450e-06
7.200000e+01	7.600000e+01	2.334221e-05	2.709117e-06	8.053040e-06
7.600000e+01	8.000000e+01	2.413634e-05	3.922705e-06	0.000000e+00
8.000000e+01	8.400000e+01	2.280624e-05	3.037458e-06	1.406875e-07
8.400000e+01	8.800000e+01	2.203200e-05	3.724603e-06	1.828732e-06
8.800000e+01	9.200000e+01	2.104184e-05	5.913735e-06	1.596578e-06
9.200000e+01	9.600000e+01	1.887884e-05	5.511250e-07	5.971400e-06
9.600000e+01	1.000000e+02	1.647571e-05	1.565962e-06	2.336505e-06
1.000000e+02	1.040000e+02	1.770795e-05	1.734773e-06	5.020955e-06
1.040000e+02	1.080000e+02	1.788813e-05	2.158115e-06	2.668225e-06
1.080000e+02	1.120000e+02	1.616635e-05	2.216153e-06	6.515375e-07
1.120000e+02	1.160000e+02	1.608424e-05	2.642682e-06	5.385250e-08
1.160000e+02	1.200000e+02	1.727578e-05	5.823625e-06	0.000000e+00
1.200000e+02	1.240000e+02	1.303057e-05	1.438968e-06	6.452198e-06
1.240000e+02	1.280000e+02	1.241571e-05	2.356965e-06	8.728100e-07
1.280000e+02	1.320000e+02	1.101594e-05	5.904500e-07	5.149300e-07
1.320000e+02	1.360000e+02	1.238212e-05	2.850917e-06	0.000000e+00
1.360000e+02	1.400000e+02	9.599250e-06	2.281105e-06	0.000000e+00
1.400000e+02	1.440000e+02	9.151022e-06	6.844650e-07	2.265325e-06
1.440000e+02	1.480000e+02	8.741348e-06	1.979475e-07	1.005655e-06
1.480000e+02	1.520000e+02	8.391792e-06	1.980860e-06	1.844367e-06
1.520000e+02	1.560000e+02	8.450218e-06	1.269737e-06	4.774225e-07
1.560000e+02	1.600000e+02	7.482840e-06	1.172470e-06	6.163500e-08
1.600000e+02	1.640000e+02	6.849252e-06	1.260560e-06	1.240643e-06
1.640000e+02	1.680000e+02	6.172073e-06	5.285100e-07	1.983415e-06
1.680000e+02	1.720000e+02	7.666838e-06	2.081913e-06	0.000000e+00
1.720000e+02	1.760000e+02	5.038812e-06	9.195050e-06	9.255200e-07
1.760000e+02	1.800000e+02	5.808080e-06	7.199325e-07	2.372592e-06
1.800000e+02	1.840000e+02	3.708543e-06	0.000000e+00	6.496775e-07
1.840000e+02	1.880000e+02	4.732418e-06	5.048375e-07	5.917800e-07
1.880000e+02	1.920000e+02	4.874890e-06	1.037207e-06	0.000000e+00
1.920000e+02	1.960000e+02	4.580077e-06	9.324325e-07	2.400750e-07
1.960000e+02	2.000000e+02	4.191067e-06	9.975600e-07	5.329950e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	1.451755e-08	6.879337e-09	4.225800e-09
1.200000e+01	1.600000e+01	1.282587e-06	0.000000e+00	3.375185e-07
1.600000e+01	2.000000e+01	6.543295e-06	8.803250e-08	1.448745e-06
2.000000e+01	2.400000e+01	1.313527e-05	0.000000e+00	4.230268e-06
2.400000e+01	2.800000e+01	1.854400e-05	0.000000e+00	6.785452e-06
2.800000e+01	3.200000e+01	2.140829e-05	0.000000e+00	9.722058e-06
3.200000e+01	3.600000e+01	2.268192e-05	0.000000e+00	9.797785e-06
3.600000e+01	4.000000e+01	2.207228e-05	0.000000e+00	1.060067e-05
4.000000e+01	4.400000e+01	2.102910e-05	0.000000e+00	1.013465e-05
4.400000e+01	4.800000e+01	1.973480e-05	0.000000e+00	1.035380e-05
4.800000e+01	5.200000e+01	1.843844e-05	0.000000e+00	9.039482e-06
5.200000e+01	5.600000e+01	1.730106e-05	0.000000e+00	8.471338e-06
5.600000e+01	6.000000e+01	1.614447e-05	0.000000e+00	7.891268e-06
6.000000e+01	6.400000e+01	1.513714e-05	0.000000e+00	7.546255e-06
6.400000e+01	6.800000e+01	1.446590e-05	0.000000e+00	6.258005e-06
6.800000e+01	7.200000e+01	1.329052e-05	0.000000e+00	6.408227e-06
7.200000e+01	7.600000e+01	1.244285e-05	0.000000e+00	5.624800e-06
7.600000e+01	8.000000e+01	1.202252e-05	0.000000e+00	4.710602e-06
8.000000e+01	8.400000e+01	1.087561e-05	0.000000e+00	5.110920e-06
8.400000e+01	8.800000e+01	1.045936e-05	0.000000e+00	4.486687e-06
8.800000e+01	9.200000e+01	9.979798e-06	0.000000e+00	4.373603e-06
9.200000e+01	9.600000e+01	9.260602e-06	0.000000e+00	3.902723e-06
9.600000e+01	1.000000e+02	8.802955e-06	0.000000e+00	3.753692e-06
1.000000e+02	1.040000e+02	7.988812e-06	0.000000e+00	4.046753e-06
1.040000e+02	1.080000e+02	7.710165e-06	0.000000e+00	3.173862e-06
1.080000e+02	1.120000e+02	7.144325e-06	0.000000e+00	2.848662e-06
1.120000e+02	1.160000e+02	6.693952e-06	0.000000e+00	2.607055e-06
1.160000e+02	1.200000e+02	6.350943e-06	0.000000e+00	2.626783e-06
1.200000e+02	1.240000e+02	5.765415e-06	0.000000e+00	2.806160e-06
1.240000e+02	1.280000e+02	5.247582e-06	0.000000e+00	2.406392e-06
1.280000e+02	1.320000e+02	5.061392e-06	0.000000e+00	2.081908e-06
1.320000e+02	1.360000e+02	4.820585e-06	0.000000e+00	1.955290e-06
1.360000e+02	1.400000e+02	4.529492e-06	0.000000e+00	1.930075e-06
1.400000e+02	1.440000e+02	4.102942e-06	0.000000e+00	1.825288e-06
1.440000e+02	1.480000e+02	3.892990e-06	0.000000e+00	1.642802e-06
1.480000e+02	1.520000e+02	3.724722e-06	0.000000e+00	1.578938e-06
1.520000e+02	1.560000e+02	3.364237e-06	0.000000e+00	1.510813e-06
1.560000e+02	1.600000e+02	3.067960e-06	0.000000e+00	1.648123e-06
1.600000e+02	1.640000e+02	2.929083e-06	0.000000e+00	1.548105e-06
1.640000e+02	1.680000e+02	2.725635e-06	0.000000e+00	1.101435e-06
1.680000e+02	1.720000e+02	2.619205e-06	0.000000e+00	1.064983e-06
1.720000e+02	1.760000e+02	2.436209e-06	0.000000e+00	1.138398e-06
1.760000e+02	1.800000e+02	2.329572e-06	0.000000e+00	9.706925e-07
1.800000e+02	1.840000e+02	2.091716e-06	0.000000e+00	1.076416e-06
1.840000e+02	1.880000e+02	2.114890e-06	0.000000e+00	8.934977e-07
1.880000e+02	1.920000e+02	2.008505e-06	0.000000e+00	8.360830e-07
1.920000e+02	1.960000e+02	1.822093e-06	0.000000e+00	8.958895e-07
1.960000e+02	2.000000e+02	1.656455e-06	0.000000e+00	7.978962e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/j2j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
