# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_4}^{incl}$ (GeV)
LegendAlign=r
XMax=250.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_4}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet4_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.038149e-04	2.487200e-05	3.862490e-05
3.000000e+01	4.000000e+01	2.386833e-04	2.771310e-05	1.834950e-05
4.000000e+01	5.000000e+01	1.130622e-04	1.798608e-05	1.149620e-05
5.000000e+01	6.000000e+01	5.327849e-05	7.778440e-06	3.554350e-06
6.000000e+01	7.000000e+01	2.793651e-05	3.459300e-06	2.782220e-06
7.000000e+01	8.000000e+01	1.386830e-05	1.211310e-06	0.000000e+00
8.000000e+01	9.000000e+01	8.188300e-06	7.560030e-07	0.000000e+00
9.000000e+01	1.000000e+02	4.378696e-06	8.415640e-07	0.000000e+00
1.000000e+02	1.100000e+02	2.491988e-06	5.927950e-07	2.406190e-07
1.100000e+02	1.200000e+02	1.210688e-06	2.928777e-07	1.591400e-07
1.200000e+02	1.300000e+02	6.053743e-07	0.000000e+00	2.939951e-07
1.300000e+02	1.400000e+02	5.120774e-07	4.253765e-07	0.000000e+00
1.400000e+02	1.500000e+02	2.568687e-07	1.075440e-08	2.360322e-07
1.500000e+02	1.600000e+02	2.114311e-07	6.327560e-08	0.000000e+00
1.600000e+02	1.700000e+02	1.410468e-07	7.831451e-08	0.000000e+00
1.700000e+02	1.800000e+02	6.240101e-08	1.665647e-07	2.899255e-08
1.800000e+02	1.900000e+02	3.960581e-08	1.358028e-07	0.000000e+00
1.900000e+02	2.000000e+02	2.204132e-07	2.010210e-07	0.000000e+00
2.000000e+02	2.100000e+02	3.028733e-08	2.093311e-08	0.000000e+00
2.100000e+02	2.200000e+02	8.860173e-09	0.000000e+00	2.453058e-08
2.200000e+02	2.300000e+02	1.436585e-08	7.848383e-09	1.377322e-08
2.300000e+02	2.400000e+02	4.305533e-09	3.001583e-09	0.000000e+00
2.400000e+02	2.500000e+02	4.618413e-09	4.525680e-09	0.000000e+00
2.500000e+02	2.600000e+02	1.557735e-09	2.339473e-09	1.794401e-09
2.600000e+02	2.700000e+02	6.926049e-09	5.613708e-09	0.000000e+00
2.700000e+02	2.800000e+02	1.153184e-09	3.930346e-10	3.676980e-10
2.800000e+02	2.900000e+02	7.134288e-10	0.000000e+00	1.360806e-09
2.900000e+02	3.000000e+02	2.927415e-10	0.000000e+00	1.232613e-10
3.000000e+02	3.100000e+02	-7.360631e-10	0.000000e+00	1.166854e-09
3.100000e+02	3.200000e+02	1.622138e-10	2.166550e-11	0.000000e+00
3.200000e+02	3.300000e+02	1.330250e-10	1.969104e-10	0.000000e+00
3.300000e+02	3.400000e+02	2.651577e-10	1.864686e-10	5.982130e-11
3.400000e+02	3.500000e+02	4.926441e-11	0.000000e+00	5.635439e-11
3.500000e+02	3.600000e+02	1.257854e-10	1.201840e-10	0.000000e+00
3.600000e+02	3.700000e+02	3.655760e-11	1.164443e-11	0.000000e+00
3.700000e+02	3.800000e+02	-2.135481e-11	0.000000e+00	6.762352e-11
3.800000e+02	3.900000e+02	5.900416e-12	8.458337e-10	0.000000e+00
3.900000e+02	4.000000e+02	1.551892e-11	1.178977e-11	0.000000e+00
4.000000e+02	4.100000e+02	2.569665e-11	2.544886e-11	0.000000e+00
4.100000e+02	4.200000e+02	3.658870e-12	0.000000e+00	4.439393e-11
4.200000e+02	4.300000e+02	2.137362e-13	0.000000e+00	3.220031e-12
4.300000e+02	4.400000e+02	9.354062e-13	4.901964e-13	4.253602e-12
4.400000e+02	4.500000e+02	4.519067e-13	0.000000e+00	6.239833e-13
4.500000e+02	4.600000e+02	2.213768e-13	3.352234e-13	0.000000e+00
4.600000e+02	4.700000e+02	4.982833e-13	3.255930e-13	1.715820e-13
4.700000e+02	4.800000e+02	1.020629e-13	8.304544e-14	0.000000e+00
4.800000e+02	4.900000e+02	-4.907664e-13	0.000000e+00	8.338849e-13
4.900000e+02	5.000000e+02	2.508319e-13	2.574044e-13	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.200304e-04	0.000000e+00	5.732810e-05
3.000000e+01	4.000000e+01	1.245899e-04	0.000000e+00	5.528200e-05
4.000000e+01	5.000000e+01	5.375860e-05	0.000000e+00	2.293674e-05
5.000000e+01	6.000000e+01	2.499208e-05	0.000000e+00	1.044824e-05
6.000000e+01	7.000000e+01	1.214458e-05	0.000000e+00	5.225640e-06
7.000000e+01	8.000000e+01	6.417703e-06	0.000000e+00	2.557800e-06
8.000000e+01	9.000000e+01	3.398707e-06	0.000000e+00	1.458946e-06
9.000000e+01	1.000000e+02	1.777739e-06	0.000000e+00	8.154100e-07
1.000000e+02	1.100000e+02	1.021067e-06	0.000000e+00	4.770250e-07
1.100000e+02	1.200000e+02	6.359013e-07	0.000000e+00	2.150292e-07
1.200000e+02	1.300000e+02	3.489541e-07	0.000000e+00	1.506460e-07
1.300000e+02	1.400000e+02	2.086411e-07	0.000000e+00	8.620770e-08
1.400000e+02	1.500000e+02	1.267687e-07	0.000000e+00	7.643640e-08
1.500000e+02	1.600000e+02	7.678633e-08	0.000000e+00	4.956747e-08
1.600000e+02	1.700000e+02	6.016888e-08	5.626800e-10	8.954070e-09
1.700000e+02	1.800000e+02	3.310309e-08	0.000000e+00	2.102473e-08
1.800000e+02	1.900000e+02	2.580436e-08	0.000000e+00	2.943840e-09
1.900000e+02	2.000000e+02	1.116821e-08	0.000000e+00	1.269836e-08
2.000000e+02	2.100000e+02	1.644194e-08	9.646461e-09	0.000000e+00
2.100000e+02	2.200000e+02	4.072921e-09	0.000000e+00	5.897121e-09
2.200000e+02	2.300000e+02	3.469888e-09	7.684600e-11	2.328246e-09
2.300000e+02	2.400000e+02	2.582808e-09	0.000000e+00	7.099760e-10
2.400000e+02	2.500000e+02	2.343846e-09	3.074980e-10	0.000000e+00
2.500000e+02	2.600000e+02	6.814146e-10	0.000000e+00	1.703305e-09
2.600000e+02	2.700000e+02	4.112061e-10	0.000000e+00	3.949007e-10
2.700000e+02	2.800000e+02	6.019655e-10	1.624610e-11	7.592045e-10
2.800000e+02	2.900000e+02	4.012356e-10	8.748120e-11	0.000000e+00
2.900000e+02	3.000000e+02	1.460638e-10	2.200440e-11	1.863364e-10
3.000000e+02	3.100000e+02	9.917840e-11	0.000000e+00	1.314003e-09
3.100000e+02	3.200000e+02	2.952342e-11	2.373627e-11	6.961167e-11
3.200000e+02	3.300000e+02	6.517220e-11	0.000000e+00	1.878088e-10
3.300000e+02	3.400000e+02	1.258004e-12	0.000000e+00	1.396603e-11
3.400000e+02	3.500000e+02	2.029302e-12	4.907760e-13	5.132905e-12
3.500000e+02	3.600000e+02	7.396443e-11	7.383283e-11	0.000000e+00
3.600000e+02	3.700000e+02	1.817534e-10	1.811695e-10	0.000000e+00
3.700000e+02	3.800000e+02	2.684336e-13	2.152704e-13	4.704171e-12
3.800000e+02	3.900000e+02	1.192150e-13	0.000000e+00	2.398690e-10
3.900000e+02	4.000000e+02	6.060052e-13	3.614867e-13	1.973197e-12
4.000000e+02	4.100000e+02	8.010335e-15	0.000000e+00	3.963226e-13
4.100000e+02	4.200000e+02	-1.791827e-13	0.000000e+00	1.245836e-12
4.200000e+02	4.300000e+02	8.369059e-16	0.000000e+00	9.307424e-13
4.300000e+02	4.400000e+02	4.798432e-15	4.777962e-15	5.376272e-13
4.400000e+02	4.500000e+02	9.214723e-14	9.195140e-14	0.000000e+00
4.500000e+02	4.600000e+02	2.197542e-14	3.159096e-14	1.498777e-14
4.600000e+02	4.700000e+02	1.325887e-17	0.000000e+00	1.399890e-13
4.700000e+02	4.800000e+02	8.375848e-16	8.375838e-16	2.398327e-13
4.800000e+02	4.900000e+02	2.230108e-18	2.226839e-18	8.533169e-15
4.900000e+02	5.000000e+02	6.572386e-21	0.000000e+00	1.903053e-13
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/jet4_pT_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
