# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$p_{T,h}^{incl}$ (GeV)
LegendAlign=r
XMax=300.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,h}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/H_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.430579e-04	5.146300e-06	6.203244e-04
1.000000e+01	2.000000e+01	9.933762e-04	3.557900e-05	0.000000e+00
2.000000e+01	3.000000e+01	1.640249e-03	6.662600e-05	0.000000e+00
3.000000e+01	4.000000e+01	2.208626e-03	8.327500e-05	0.000000e+00
4.000000e+01	5.000000e+01	2.725071e-03	1.130650e-04	0.000000e+00
5.000000e+01	6.000000e+01	3.176491e-03	9.611800e-05	0.000000e+00
6.000000e+01	7.000000e+01	3.598387e-03	1.451650e-04	0.000000e+00
7.000000e+01	8.000000e+01	3.883388e-03	9.555600e-05	0.000000e+00
8.000000e+01	9.000000e+01	4.142986e-03	7.928500e-05	0.000000e+00
9.000000e+01	1.000000e+02	4.379511e-03	1.573130e-04	0.000000e+00
1.000000e+02	1.100000e+02	4.468180e-03	8.249500e-05	0.000000e+00
1.100000e+02	1.200000e+02	4.608869e-03	1.334270e-04	0.000000e+00
1.200000e+02	1.300000e+02	4.580287e-03	7.567600e-05	0.000000e+00
1.300000e+02	1.400000e+02	4.647297e-03	2.041890e-04	0.000000e+00
1.400000e+02	1.500000e+02	4.523814e-03	1.378250e-04	0.000000e+00
1.500000e+02	1.600000e+02	4.396979e-03	2.107450e-04	0.000000e+00
1.600000e+02	1.700000e+02	4.262895e-03	3.249800e-05	0.000000e+00
1.700000e+02	1.800000e+02	4.118658e-03	1.069310e-04	9.501000e-06
1.800000e+02	1.900000e+02	3.956266e-03	2.295320e-04	0.000000e+00
1.900000e+02	2.000000e+02	3.808345e-03	2.834000e-05	4.148200e-05
2.000000e+02	2.100000e+02	3.740111e-03	1.598670e-04	0.000000e+00
2.100000e+02	2.200000e+02	3.467116e-03	6.248600e-05	0.000000e+00
2.200000e+02	2.300000e+02	3.213744e-03	1.658200e-05	4.486600e-05
2.300000e+02	2.400000e+02	2.965595e-03	0.000000e+00	1.451720e-04
2.400000e+02	2.500000e+02	3.066996e-03	1.271710e-04	0.000000e+00
2.500000e+02	2.600000e+02	2.817974e-03	1.045220e-04	0.000000e+00
2.600000e+02	2.700000e+02	2.655556e-03	6.811400e-05	0.000000e+00
2.700000e+02	2.800000e+02	2.531540e-03	7.890400e-05	0.000000e+00
2.800000e+02	2.900000e+02	2.361250e-03	1.937000e-06	1.058000e-06
