# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{h,j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}^{excl}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_Hjj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	7.763236e-04	0.000000e+00	3.328707e-04
1.047198e-01	2.094395e-01	8.206179e-04	0.000000e+00	2.698990e-04
2.094395e-01	3.141593e-01	7.533037e-04	0.000000e+00	6.444415e-04
3.141594e-01	4.188790e-01	7.046941e-04	0.000000e+00	4.391538e-04
4.188790e-01	5.235988e-01	8.378665e-04	5.999248e-05	5.499293e-04
5.235989e-01	6.283186e-01	9.383393e-04	0.000000e+00	3.109404e-04
6.283185e-01	7.330383e-01	9.089213e-04	0.000000e+00	4.823944e-04
7.330384e-01	8.377581e-01	1.117559e-03	8.020458e-06	3.261927e-04
8.377580e-01	9.424778e-01	1.068017e-03	0.000000e+00	6.739098e-04
9.424778e-01	1.047198e+00	1.076470e-03	0.000000e+00	6.100695e-04
1.047197e+00	1.151917e+00	1.309629e-03	0.000000e+00	6.095771e-04
1.151917e+00	1.256637e+00	1.595584e-03	0.000000e+00	5.937347e-04
1.256637e+00	1.361357e+00	1.549648e-03	0.000000e+00	8.079335e-04
1.361357e+00	1.466077e+00	1.909082e-03	0.000000e+00	6.971925e-04
1.466076e+00	1.570796e+00	2.278052e-03	0.000000e+00	7.095226e-04
1.570796e+00	1.675516e+00	2.558192e-03	0.000000e+00	1.253422e-03
1.675516e+00	1.780236e+00	3.007388e-03	0.000000e+00	1.254905e-03
1.780236e+00	1.884956e+00	3.698882e-03	0.000000e+00	1.636839e-03
1.884955e+00	1.989675e+00	4.578425e-03	0.000000e+00	2.260637e-03
1.989675e+00	2.094395e+00	5.642771e-03	0.000000e+00	2.273640e-03
2.094395e+00	2.199115e+00	7.708439e-03	1.435687e-03	3.298360e-03
2.199115e+00	2.303835e+00	1.029872e-02	0.000000e+00	4.580319e-03
2.303834e+00	2.408554e+00	1.458122e-02	0.000000e+00	6.500721e-03
2.408554e+00	2.513274e+00	2.205983e-02	0.000000e+00	8.796037e-03
2.513274e+00	2.617994e+00	3.419171e-02	0.000000e+00	1.396002e-02
2.617994e+00	2.722714e+00	6.010818e-02	0.000000e+00	2.346393e-02
2.722713e+00	2.827433e+00	1.171334e-01	0.000000e+00	3.845692e-02
2.827433e+00	2.932153e+00	2.689303e-01	0.000000e+00	7.558967e-02
2.932153e+00	3.036873e+00	8.127124e-01	0.000000e+00	1.506776e-01
3.036873e+00	3.141593e+00	5.048144e+00	6.644624e-01	0.000000e+00
# END HISTO1D


