# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_jfjb
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/deltaphi_jfjb
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	3.629396e-01	3.098644e-03	0.000000e+00
-3.036873e+00	-2.932153e+00	3.996335e-01	2.708050e-02	0.000000e+00
-2.932153e+00	-2.827433e+00	4.587401e-01	5.194872e-02	0.000000e+00
-2.827433e+00	-2.722713e+00	4.391546e-01	1.433799e-02	0.000000e+00
-2.722714e+00	-2.617994e+00	4.289613e-01	0.000000e+00	6.405558e-03
-2.617994e+00	-2.513274e+00	4.300150e-01	1.961144e-02	0.000000e+00
-2.513274e+00	-2.408554e+00	4.332641e-01	3.082907e-02	0.000000e+00
-2.408554e+00	-2.303834e+00	4.029890e-01	1.598019e-02	1.569152e-03
-2.303835e+00	-2.199115e+00	3.752470e-01	0.000000e+00	1.118898e-02
-2.199115e+00	-2.094395e+00	3.554942e-01	1.335676e-02	0.000000e+00
-2.094395e+00	-1.989675e+00	3.305041e-01	3.225458e-03	0.000000e+00
-1.989675e+00	-1.884955e+00	2.983944e-01	1.164163e-03	7.059846e-04
-1.884956e+00	-1.780236e+00	2.814735e-01	1.681341e-02	0.000000e+00
-1.780236e+00	-1.675516e+00	2.491206e-01	1.819691e-02	0.000000e+00
-1.675516e+00	-1.570796e+00	2.170222e-01	1.668258e-03	1.048510e-03
-1.570796e+00	-1.466076e+00	1.903911e-01	4.097633e-04	5.664684e-04
-1.466077e+00	-1.361357e+00	1.707147e-01	0.000000e+00	5.200535e-03
-1.361357e+00	-1.256637e+00	1.517526e-01	3.678094e-03	0.000000e+00
-1.256637e+00	-1.151917e+00	1.335679e-01	1.642666e-03	0.000000e+00
-1.151917e+00	-1.047197e+00	1.214346e-01	4.086651e-03	2.873213e-03
-1.047198e+00	-9.424778e-01	1.202383e-01	9.522614e-03	0.000000e+00
-9.424778e-01	-8.377580e-01	1.082023e-01	0.000000e+00	6.027131e-03
-8.377581e-01	-7.330384e-01	1.060008e-01	0.000000e+00	5.317147e-03
-7.330383e-01	-6.283185e-01	1.156119e-01	0.000000e+00	3.452547e-03
-6.283186e-01	-5.235989e-01	1.272534e-01	0.000000e+00	6.318486e-03
-5.235988e-01	-4.188790e-01	1.456198e-01	0.000000e+00	5.027607e-03
-4.188790e-01	-3.141594e-01	1.444349e-01	1.482434e-03	8.630659e-04
-3.141593e-01	-2.094395e-01	1.368668e-01	0.000000e+00	5.171801e-03
