# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j2j3_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	7.469107e-06	3.308672e-06	0.000000e+00
1.200000e+01	1.600000e+01	2.008131e-04	2.365745e-05	0.000000e+00
1.600000e+01	2.000000e+01	6.391405e-04	1.859650e-05	2.510750e-05
2.000000e+01	2.400000e+01	1.139763e-03	0.000000e+00	8.878625e-05
2.400000e+01	2.800000e+01	1.479295e-03	0.000000e+00	1.947050e-04
2.800000e+01	3.200000e+01	1.842649e-03	0.000000e+00	2.379563e-04
3.200000e+01	3.600000e+01	1.991340e-03	0.000000e+00	3.174705e-04
3.600000e+01	4.000000e+01	2.106431e-03	0.000000e+00	3.105692e-04
4.000000e+01	4.400000e+01	2.155985e-03	0.000000e+00	3.510302e-04
4.400000e+01	4.800000e+01	2.236580e-03	0.000000e+00	3.657372e-04
4.800000e+01	5.200000e+01	2.260481e-03	0.000000e+00	5.353893e-04
5.200000e+01	5.600000e+01	2.471791e-03	0.000000e+00	1.576487e-04
5.600000e+01	6.000000e+01	2.524275e-03	0.000000e+00	1.590900e-04
6.000000e+01	6.400000e+01	2.615715e-03	0.000000e+00	1.142250e-04
6.400000e+01	6.800000e+01	2.697135e-03	0.000000e+00	9.786500e-05
6.800000e+01	7.200000e+01	2.786567e-03	7.226250e-05	0.000000e+00
7.200000e+01	7.600000e+01	2.633935e-03	0.000000e+00	1.506225e-04
7.600000e+01	8.000000e+01	2.741225e-03	4.574500e-05	0.000000e+00
8.000000e+01	8.400000e+01	2.542193e-03	0.000000e+00	1.095775e-04
8.400000e+01	8.800000e+01	2.640133e-03	1.997000e-05	1.652525e-04
8.800000e+01	9.200000e+01	2.472502e-03	6.323175e-05	0.000000e+00
9.200000e+01	9.600000e+01	2.447678e-03	4.145450e-05	0.000000e+00
9.600000e+01	1.000000e+02	2.321799e-03	7.893050e-05	0.000000e+00
1.000000e+02	1.040000e+02	2.536107e-03	2.888842e-04	0.000000e+00
1.040000e+02	1.080000e+02	2.293491e-03	3.444300e-05	0.000000e+00
1.080000e+02	1.120000e+02	2.153100e-03	0.000000e+00	1.081785e-04
1.120000e+02	1.160000e+02	2.119286e-03	8.694475e-05	2.926425e-05
1.160000e+02	1.200000e+02	2.175211e-03	1.100865e-04	0.000000e+00
1.200000e+02	1.240000e+02	1.961995e-03	2.676957e-04	1.361395e-04
1.240000e+02	1.280000e+02	1.995314e-03	3.315750e-05	0.000000e+00
1.280000e+02	1.320000e+02	1.948385e-03	0.000000e+00	1.807825e-05
1.320000e+02	1.360000e+02	1.843651e-03	3.556500e-06	5.883000e-06
1.360000e+02	1.400000e+02	1.946709e-03	1.540700e-04	0.000000e+00
1.400000e+02	1.440000e+02	1.899857e-03	3.552318e-04	0.000000e+00
1.440000e+02	1.480000e+02	1.809158e-03	2.393147e-04	0.000000e+00
1.480000e+02	1.520000e+02	1.599924e-03	0.000000e+00	1.009390e-04
1.520000e+02	1.560000e+02	1.673954e-03	8.968225e-05	0.000000e+00
1.560000e+02	1.600000e+02	1.584379e-03	9.348750e-06	2.100925e-05
1.600000e+02	1.640000e+02	1.532576e-03	3.338100e-05	6.990750e-05
1.640000e+02	1.680000e+02	1.523220e-03	2.118800e-04	2.383650e-05
1.680000e+02	1.720000e+02	1.460094e-03	4.010500e-05	0.000000e+00
1.720000e+02	1.760000e+02	1.457588e-03	0.000000e+00	4.443225e-05
1.760000e+02	1.800000e+02	1.379362e-03	0.000000e+00	7.467075e-05
1.800000e+02	1.840000e+02	1.338916e-03	0.000000e+00	1.132183e-04
1.840000e+02	1.880000e+02	1.359678e-03	1.385940e-04	3.827600e-05
1.880000e+02	1.920000e+02	1.293857e-03	0.000000e+00	4.338425e-05
1.920000e+02	1.960000e+02	1.260233e-03	2.372975e-05	1.333475e-05
1.960000e+02	2.000000e+02	1.348235e-03	1.660265e-04	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	7.935618e-06	1.872875e-06	0.000000e+00
1.200000e+01	1.600000e+01	2.244798e-04	3.074105e-05	0.000000e+00
1.600000e+01	2.000000e+01	7.294003e-04	4.760575e-05	0.000000e+00
2.000000e+01	2.400000e+01	1.282885e-03	3.471700e-05	4.414800e-05
2.400000e+01	2.800000e+01	1.724148e-03	0.000000e+00	1.158658e-04
2.800000e+01	3.200000e+01	2.026571e-03	0.000000e+00	1.755320e-04
3.200000e+01	3.600000e+01	2.194335e-03	0.000000e+00	2.359857e-04
3.600000e+01	4.000000e+01	2.278932e-03	0.000000e+00	2.622705e-04
4.000000e+01	4.400000e+01	2.315015e-03	0.000000e+00	2.733847e-04
4.400000e+01	4.800000e+01	2.301743e-03	0.000000e+00	2.862370e-04
4.800000e+01	5.200000e+01	2.277153e-03	0.000000e+00	2.887018e-04
5.200000e+01	5.600000e+01	2.240778e-03	0.000000e+00	2.961895e-04
5.600000e+01	6.000000e+01	2.199709e-03	0.000000e+00	2.810168e-04
6.000000e+01	6.400000e+01	2.162752e-03	0.000000e+00	2.780528e-04
6.400000e+01	6.800000e+01	2.124991e-03	0.000000e+00	2.546475e-04
6.800000e+01	7.200000e+01	2.066294e-03	0.000000e+00	2.608187e-04
7.200000e+01	7.600000e+01	2.021970e-03	0.000000e+00	2.471275e-04
7.600000e+01	8.000000e+01	1.973468e-03	0.000000e+00	2.429077e-04
8.000000e+01	8.400000e+01	1.926982e-03	0.000000e+00	2.289548e-04
8.400000e+01	8.800000e+01	1.877918e-03	0.000000e+00	2.295200e-04
8.800000e+01	9.200000e+01	1.831914e-03	0.000000e+00	2.083740e-04
9.200000e+01	9.600000e+01	1.786445e-03	0.000000e+00	2.076370e-04
9.600000e+01	1.000000e+02	1.743614e-03	0.000000e+00	2.003230e-04
1.000000e+02	1.040000e+02	1.701756e-03	0.000000e+00	1.883532e-04
1.040000e+02	1.080000e+02	1.654877e-03	0.000000e+00	1.940550e-04
1.080000e+02	1.120000e+02	1.618040e-03	0.000000e+00	1.828077e-04
1.120000e+02	1.160000e+02	1.569827e-03	0.000000e+00	1.764645e-04
1.160000e+02	1.200000e+02	1.531485e-03	0.000000e+00	1.757365e-04
1.200000e+02	1.240000e+02	1.494626e-03	0.000000e+00	1.587528e-04
1.240000e+02	1.280000e+02	1.458024e-03	0.000000e+00	1.636470e-04
1.280000e+02	1.320000e+02	1.424790e-03	0.000000e+00	1.553360e-04
1.320000e+02	1.360000e+02	1.389241e-03	0.000000e+00	1.517010e-04
1.360000e+02	1.400000e+02	1.352633e-03	0.000000e+00	1.418447e-04
1.400000e+02	1.440000e+02	1.322379e-03	0.000000e+00	1.351247e-04
1.440000e+02	1.480000e+02	1.285559e-03	0.000000e+00	1.408037e-04
1.480000e+02	1.520000e+02	1.258645e-03	0.000000e+00	1.358605e-04
1.520000e+02	1.560000e+02	1.223814e-03	0.000000e+00	1.389255e-04
1.560000e+02	1.600000e+02	1.195670e-03	0.000000e+00	1.267562e-04
1.600000e+02	1.640000e+02	1.171211e-03	0.000000e+00	1.298465e-04
1.640000e+02	1.680000e+02	1.136516e-03	0.000000e+00	1.307208e-04
1.680000e+02	1.720000e+02	1.113590e-03	0.000000e+00	1.204038e-04
1.720000e+02	1.760000e+02	1.086757e-03	0.000000e+00	1.218310e-04
1.760000e+02	1.800000e+02	1.064185e-03	0.000000e+00	1.196022e-04
1.800000e+02	1.840000e+02	1.039704e-03	0.000000e+00	1.203417e-04
1.840000e+02	1.880000e+02	1.015935e-03	0.000000e+00	1.145345e-04
1.880000e+02	1.920000e+02	9.964490e-04	0.000000e+00	1.101103e-04
1.920000e+02	1.960000e+02	9.688297e-04	0.000000e+00	1.137142e-04
1.960000e+02	2.000000e+02	9.498990e-04	0.000000e+00	1.114382e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
