# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34
XLabel=$\sqrt{d_{34}}$ (GeV)
LegendAlign=r
XMax=3.0
YLabel=$ \text{d} \sigma / \sqrt{d_{34}}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/log10_d_34
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_INC/log10_d_34
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	7.025279e-02	6.628560e-02	0.000000e+00
2.361291e-01	2.722583e-01	9.685415e-02	9.042086e-02	0.000000e+00
2.722583e-01	3.083875e-01	1.308244e-01	1.207644e-01	0.000000e+00
3.083874e-01	3.445165e-01	1.708409e-01	1.553536e-01	0.000000e+00
3.445165e-01	3.806457e-01	2.124728e-01	1.867275e-01	0.000000e+00
3.806457e-01	4.167748e-01	2.667612e-01	2.321686e-01	0.000000e+00
4.167748e-01	4.529039e-01	3.246217e-01	2.753656e-01	0.000000e+00
4.529039e-01	4.890331e-01	3.800344e-01	3.048952e-01	0.000000e+00
4.890331e-01	5.251621e-01	4.573967e-01	3.492837e-01	0.000000e+00
5.251623e-01	5.612913e-01	5.286990e-01	3.871858e-01	0.000000e+00
5.612913e-01	5.974205e-01	6.042470e-01	4.029513e-01	0.000000e+00
5.974204e-01	6.335495e-01	6.853927e-01	4.156089e-01	0.000000e+00
6.335497e-01	6.696787e-01	7.677805e-01	4.239663e-01	0.000000e+00
6.696787e-01	7.058079e-01	8.440262e-01	4.083655e-01	0.000000e+00
7.058080e-01	7.419370e-01	9.140385e-01	3.777354e-01	0.000000e+00
7.419370e-01	7.780660e-01	9.679217e-01	3.289166e-01	0.000000e+00
7.780661e-01	8.141953e-01	1.037821e+00	2.823904e-01	0.000000e+00
8.141954e-01	8.503245e-01	1.087093e+00	2.199211e-01	0.000000e+00
8.503244e-01	8.864534e-01	1.123520e+00	1.380679e-01	1.304987e-02
8.864535e-01	9.225827e-01	1.194975e+00	1.097627e-01	0.000000e+00
9.225828e-01	9.587118e-01	1.224892e+00	3.031047e-02	3.284278e-02
9.587118e-01	9.948408e-01	1.277766e+00	0.000000e+00	3.004697e-02
9.948404e-01	1.030970e+00	1.273508e+00	0.000000e+00	1.470275e-01
1.030970e+00	1.067098e+00	1.301755e+00	0.000000e+00	1.490869e-01
1.067100e+00	1.103228e+00	1.323592e+00	0.000000e+00	2.562130e-01
1.103229e+00	1.139358e+00	1.312085e+00	0.000000e+00	2.062501e-01
1.139357e+00	1.175487e+00	1.318487e+00	0.000000e+00	2.558195e-01
1.175487e+00	1.211615e+00	1.294948e+00	0.000000e+00	3.142664e-01
1.211617e+00	1.247745e+00	1.428673e+00	3.780426e-02	1.643287e-01
