# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/HT_jets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	5.012337e-05	0.000000e+00	1.221845e-05
8.000000e+01	1.200000e+02	4.744227e-04	0.000000e+00	4.149325e-05
1.200000e+02	1.600000e+02	1.240841e-03	0.000000e+00	2.729450e-05
1.600000e+02	2.000000e+02	1.952863e-03	1.297100e-05	0.000000e+00
2.000000e+02	2.400000e+02	2.343811e-03	6.090475e-05	0.000000e+00
2.400000e+02	2.800000e+02	2.417059e-03	7.533900e-05	0.000000e+00
2.800000e+02	3.200000e+02	2.266056e-03	6.769450e-05	0.000000e+00
3.200000e+02	3.600000e+02	2.049283e-03	7.821100e-05	0.000000e+00
3.600000e+02	4.000000e+02	1.793371e-03	4.659650e-05	0.000000e+00
4.000000e+02	4.400000e+02	1.554236e-03	3.590075e-05	0.000000e+00
4.400000e+02	4.800000e+02	1.333247e-03	7.945200e-05	0.000000e+00
4.800000e+02	5.200000e+02	1.118024e-03	2.428375e-05	0.000000e+00
5.200000e+02	5.600000e+02	9.352717e-04	0.000000e+00	1.678450e-05
5.600000e+02	6.000000e+02	8.270052e-04	3.840000e-05	0.000000e+00
6.000000e+02	6.400000e+02	6.817990e-04	1.651350e-05	0.000000e+00
6.400000e+02	6.800000e+02	5.741755e-04	1.214000e-06	2.039950e-05
6.800000e+02	7.200000e+02	5.011740e-04	5.636075e-05	0.000000e+00
7.200000e+02	7.600000e+02	4.231320e-04	7.259750e-06	5.321750e-06
7.600000e+02	8.000000e+02	3.539798e-04	2.645550e-05	0.000000e+00
8.000000e+02	8.400000e+02	3.075810e-04	0.000000e+00	8.130000e-06
8.400000e+02	8.800000e+02	2.677208e-04	1.591725e-05	0.000000e+00
8.800000e+02	9.200000e+02	2.071068e-04	0.000000e+00	1.787518e-05
9.200000e+02	9.600000e+02	1.881517e-04	6.791250e-07	9.783500e-07
9.600000e+02	1.000000e+03	1.708242e-04	1.501360e-05	4.230700e-06
1.000000e+03	1.040000e+03	1.527018e-04	1.488655e-05	0.000000e+00
1.040000e+03	1.080000e+03	1.193795e-04	2.400525e-06	0.000000e+00
1.080000e+03	1.120000e+03	1.050564e-04	7.456125e-06	0.000000e+00
1.120000e+03	1.160000e+03	8.365680e-05	0.000000e+00	1.903130e-05
1.160000e+03	1.200000e+03	8.783845e-05	9.054300e-06	4.008400e-06
